shared_proportion,sample_counts,log10_sample_counts
1,488850,5.6891756195208245
2,124779,5.096141500798894
3,67462,4.829059212276966
4,45728,4.660182207110876
5,33810,4.529045170765769
6,27092,4.432841066934324
7,22430,4.350829273582968
8,19076,4.280487313761829
9,16253,4.210933535357622
10,14457,4.160078181020871
11,13141,4.118628415296599
12,11745,4.069853021113624
13,10833,4.034748743146489
14,10408,4.01736728355353
15,9642,3.9841671271469874
16,9237,3.9655309436228605
17,12941,4.111967837206072
18,8125,3.9098233696509115
19,7839,3.894260664446988
20,7179,3.8560639533330994
21,6844,3.8353100008690624
22,6621,3.820923587881317
23,6541,3.8156441491319653
24,6225,3.7941393557677734
25,5878,3.7692295817365933
26,5564,3.7453871213200087
27,5547,3.7440581658788354
28,5386,3.731266349075492
29,5230,3.718501688867274
30,4969,3.6962689967455327
31,4839,3.6847556221086237
32,4854,3.686099771995916
33,4821,3.683137131483006
34,4813,3.682415861677358
35,4685,3.670709595223797
36,4690,3.671172842715083
37,4479,3.6511810624446874
38,4391,3.642563437104387
39,4249,3.628286731089514
40,4413,3.644733927447192
41,4292,3.632659713293913
42,4228,3.6261349786353883
43,4251,3.628491104967123
44,4060,3.608526033577194
45,4263,3.629715332647132
46,4241,3.6274682724597094
47,4060,3.608526033577194
48,4172,3.6203442997544926
49,4153,3.6183619311098782
50,4160,3.6190933306267423
51,4316,3.6350814360108727
52,4351,3.6385890832927164
53,4319,3.635383204047498
54,4234,3.6267508536833932
55,4159,3.618988920364933
56,4399,3.643353961976862
57,4286,3.6320521667058094
58,4399,3.643353961976862
59,4584,3.661244608959333
60,4678,3.6700602174731336
61,4637,3.6662370958958044
62,4803,3.681512586638962
63,4917,3.6917002082901615
64,5125,3.7096938697277917
65,5390,3.7315887651867383
66,5530,3.742725131304698
67,5851,3.767230098110718
68,6393,3.8057047044338637
69,7580,3.8796692056320534
70,13753,4.138397442990546
71,55752,4.746260451511842
72,6489,3.812177774158754
73,6574,3.8178296997456047
74,7040,3.847572659142112
75,7272,3.8616538702139107
76,7722,3.88772979728803
77,8406,3.9245893856694183
78,9222,3.9648251178833886
79,10139,4.005995123054691
80,11849,4.073681699476283
81,13612,4.133921940423772
82,15820,4.199206479161657
83,19819,4.2970817376649855
84,25155,4.400624321661767
85,36268,4.559523607057893
86,60136,4.779134537238038
87,158980,5.201342492647707
88,1199213,6.078896327810255
