total_unique_motifs,pop
1817979,AFR
1817779,AFR
1817659,AMR
1817612,AFR
1817366,AFR
1817339,AFR
1817317,AFR
1817232,AFR
1817217,AFR
1817119,AFR
1817106,AMR
1817026,AFR
1816932,AFR
1816782,AFR
1816719,AFR
1816694,AMR
1816651,AFR
1816638,EAS
1816631,AFR
1816462,AFR
1816395,EAS
1816389,SAS
1816384,AMR
1816356,AFR
1816342,AMR
1816286,AFR
1816265,EAS
1816261,AMR
1816246,AFR
1816243,AFR
1816241,EAS
1816220,AFR
1816168,AMR
1816139,AFR
1816111,AMR
1816095,AMR
1816085,AFR
1816051,AFR
1815969,AMR
1815939,AMR
1815927,AMR
1815887,AFR
1815823,AFR
1815816,AFR
1815809,AMR
1815765,AMR
1815743,AFR
1815698,AFR
1815695,AMR
1815564,AFR
1815536,AFR
1815515,AMR
1815471,AMR
1815439,AFR
1815342,AFR
1815291,AFR
1815227,AFR
1815219,AMR
1815184,AMR
1815159,AFR
1815144,AFR
1815140,EAS
1815132,AMR
1814698,AFR
1814654,AMR
1814524,EAS
1814520,AMR
1814395,AMR
1813834,AMR
1813449,AFR
1810479,AMR
1755451,AFR
1754677,AMR
1754436,AFR
1753372,AFR
1753085,AFR
1752960,SAS
1752861,AMR
1752815,AFR
1752309,AMR
1752054,AMR
1751996,AFR
1751962,AMR
1751717,EAS
1751529,AMR
1750981,EAS
1750968,AMR
1748929,AFR
