shared_proportion,sample_counts,log10_sample_counts
1,127169,5.10438125620422
2,32571,4.512831092547524
3,17407,4.240723929318845
4,11672,4.067145278885395
5,8898,3.9492924014120248
6,7156,3.8546703318953353
7,5918,3.7721749608246133
8,4946,3.694254112025278
9,4402,3.643650038217329
10,3958,3.597475789870377
11,3531,3.547897717563097
12,3211,3.5066403055665023
13,2980,3.4742162640762553
14,2820,3.4502491083193605
15,2651,3.4234097277330933
16,2472,3.393048466416778
17,2779,3.443888546777371
18,2150,3.332438459915605
19,2137,3.329804522164069
20,1951,3.290257269394518
21,2012,3.3036279763838894
22,1832,3.2629254693318313
23,1916,3.2823955047425253
24,1958,3.2918126874671185
25,1949,3.289811839117621
26,1778,3.2499317566341945
27,1900,3.278753600952829
28,1953,3.290702243287854
29,1845,3.265996370495079
30,2393,3.3789426986134368
31,2342,3.3695868907363438
32,2638,3.421274791210346
33,3337,3.5233562066547925
34,3960,3.597695185925512
35,5023,3.700963178159549
36,5795,3.7630534402996143
37,5233,3.7187507347396647
38,6928,3.84060787900929
39,6782,3.831357785442067
40,7454,3.8723893884178207
41,7557,3.8783494222177755
42,8255,3.9167170775988125
43,7688,3.8858133746604886
44,7548,3.8778318914928933
45,7460,3.8727388274726686
46,7938,3.899711094571144
47,6563,3.8171024042569233
48,6332,3.801540906190318
49,6103,3.7855433699565926
50,5929,3.7729814503449637
51,4196,3.6228354795215196
52,4627,3.665299499499897
53,3587,3.5547313766759663
54,2547,3.4060289449636145
55,2044,3.310480891462675
56,1252,3.0976043288744104
57,1316,3.1192558892779365
58,1190,3.07554696139253
59,845,2.926856708949692
60,862,2.9355072658247123
61,830,2.9190780923760733
62,795,2.90036712865647
63,859,2.933993163831242
64,944,2.9749719942980684
65,861,2.9350031514536545
66,906,2.957128197676813
67,982,2.9921114877869495
68,934,2.970346876230093
69,1144,3.058426024457005
70,1771,3.2482185611900745
71,6447,3.809357670211105
72,984,2.9929950984313414
73,941,2.9735896234272565
74,959,2.9818186071706636
75,1034,3.0145205387579233
76,1085,3.0354297381845483
77,1143,3.058046230395281
78,1252,3.0976043288744104
79,1349,3.130011949671904
80,1567,3.19506899646859
81,1763,3.2462523122993217
82,2079,3.317854489331469
83,2435,3.3864989655506528
84,3232,3.509471352102548
85,4398,3.6432552250247707
86,7522,3.8763333290863797
87,19702,4.294510314733977
88,157100,5.196176185039973
