,average,q0025,q0975
0,1.071,0.832,1.298
1,1.058,0.819,1.274
2,1.033,0.803,1.251
3,1.02,0.792,1.247
4,1.008,0.769,1.221
5,1.008,0.769,1.222
6,0.945,0.706,1.151
7,0.957,0.717,1.161
8,0.945,0.715,1.148
9,0.995,0.768,1.219
10,0.97,0.745,1.185
11,0.97,0.756,1.184
12,0.932,0.719,1.147
13,0.92,0.704,1.146
14,0.957,0.743,1.172
15,0.97,0.754,1.185
16,0.97,0.744,1.196
17,1.008,0.781,1.225
18,1.008,0.782,1.23
19,1.02,0.793,1.248
20,0.983,0.779,1.197
21,1.083,0.868,1.311
22,1.033,0.819,1.26
23,1.046,0.831,1.274
24,1.046,0.832,1.281
25,0.957,0.744,1.173
26,0.97,0.757,1.182
27,0.97,0.769,1.185
28,0.995,0.794,1.2
29,1.02,0.807,1.237
30,1.046,0.82,1.261
31,1.033,0.807,1.245
32,1.02,0.795,1.233
33,1.058,0.841,1.275
34,1.083,0.869,1.299
35,1.109,0.882,1.346
36,1.096,0.883,1.323
37,1.096,0.879,1.32
38,1.134,0.896,1.364
39,1.159,0.93,1.396
40,1.171,0.933,1.411
41,1.171,0.945,1.411
42,1.109,0.893,1.348
43,1.096,0.869,1.326
44,1.071,0.853,1.298
45,1.083,0.868,1.311
46,1.046,0.828,1.275
47,1.046,0.832,1.284
48,1.033,0.807,1.27
49,1.046,0.83,1.272
50,1.02,0.805,1.247
51,0.983,0.769,1.21
52,0.957,0.743,1.195
53,0.92,0.717,1.148
54,0.894,0.704,1.121
55,0.894,0.705,1.133
56,0.894,0.703,1.111
57,0.907,0.717,1.122
58,0.932,0.731,1.158
59,0.957,0.744,1.196
60,0.92,0.719,1.146
61,0.907,0.718,1.131
62,0.945,0.753,1.16
63,1.008,0.806,1.233
64,1.02,0.819,1.246
65,1.008,0.806,1.232
66,1.046,0.832,1.272
67,1.046,0.831,1.268
68,1.02,0.806,1.249
69,1.033,0.818,1.261
70,1.071,0.834,1.298
71,1.071,0.833,1.299
72,1.046,0.818,1.273
73,1.046,0.83,1.286
74,1.096,0.872,1.348
75,1.109,0.884,1.359
76,1.109,0.883,1.358
77,1.159,0.929,1.41
78,1.146,0.919,1.397
79,1.197,0.969,1.447
80,1.197,0.967,1.448
81,1.222,0.983,1.471
82,1.159,0.931,1.409
83,1.184,0.947,1.433
84,1.184,0.947,1.426
85,1.184,0.945,1.427
86,1.184,0.947,1.424
87,1.159,0.932,1.407
88,1.083,0.868,1.323
89,1.071,0.855,1.31
90,1.046,0.831,1.275
91,1.046,0.833,1.282
92,1.058,0.847,1.294
93,1.033,0.817,1.271
94,1.096,0.882,1.334
95,1.046,0.842,1.274
96,1.046,0.832,1.27
97,1.046,0.832,1.269
98,1.046,0.822,1.261
99,1.008,0.782,1.235
100,0.995,0.769,1.223
101,0.97,0.755,1.186
102,0.945,0.731,1.159
103,0.957,0.744,1.18
104,0.957,0.756,1.184
105,0.97,0.768,1.187
106,0.932,0.73,1.145
107,0.957,0.756,1.162
108,0.983,0.77,1.197
109,1.008,0.805,1.222
110,1.008,0.804,1.218
111,0.995,0.79,1.209
112,1.058,0.846,1.283
113,1.058,0.845,1.281
114,1.109,0.895,1.335
115,1.134,0.919,1.363
116,1.109,0.894,1.335
117,1.083,0.88,1.31
118,1.046,0.832,1.256
119,1.096,0.881,1.312
120,1.134,0.918,1.349
121,1.184,0.958,1.407
122,1.159,0.942,1.384
123,1.134,0.921,1.35
124,1.146,0.932,1.376
125,1.121,0.906,1.347
126,1.134,0.92,1.351
127,1.134,0.919,1.35
128,1.109,0.883,1.333
129,1.121,0.895,1.347
130,1.121,0.889,1.36
131,1.26,1.008,1.502
132,1.272,1.02,1.538
133,1.234,0.993,1.486
134,1.171,0.932,1.41
135,1.197,0.945,1.424
136,1.234,0.994,1.475
137,1.31,1.061,1.561
138,1.335,1.083,1.587
139,1.335,1.083,1.585
140,1.272,1.032,1.521
141,1.234,0.984,1.475
142,1.184,0.943,1.427
143,1.209,0.958,1.462
144,1.171,0.943,1.413
145,1.197,0.958,1.448
146,1.247,1.009,1.512
147,1.272,1.032,1.526
148,1.26,1.018,1.502
149,1.26,1.011,1.502
150,1.184,0.957,1.426
151,1.159,0.942,1.4
152,1.171,0.954,1.401
153,1.121,0.906,1.358
154,1.171,0.943,1.41
155,1.171,0.933,1.425
156,1.121,0.906,1.372
157,1.109,0.893,1.348
158,1.096,0.881,1.336
159,1.058,0.845,1.297
160,1.083,0.881,1.323
161,1.071,0.856,1.31
162,1.083,0.857,1.312
163,1.096,0.869,1.323
164,1.109,0.882,1.345
165,1.121,0.895,1.352
166,1.096,0.858,1.332
167,1.134,0.906,1.364
168,1.134,0.908,1.385
169,1.121,0.919,1.357
170,1.146,0.944,1.385
171,1.159,0.946,1.399
172,1.159,0.948,1.406
173,1.146,0.933,1.377
174,1.159,0.945,1.398
175,1.121,0.906,1.347
176,1.134,0.92,1.373
177,1.134,0.919,1.373
178,1.096,0.882,1.334
179,1.109,0.895,1.336
180,1.096,0.871,1.316
181,1.146,0.919,1.387
182,1.121,0.894,1.36
183,1.134,0.918,1.386
184,1.146,0.919,1.396
185,1.171,0.944,1.412
186,1.171,0.944,1.422
187,1.159,0.931,1.409
188,1.184,0.958,1.424
189,1.197,0.967,1.426
190,1.159,0.933,1.375
191,1.109,0.884,1.336
192,1.134,0.906,1.369
193,1.134,0.904,1.361
194,1.171,0.944,1.422
195,1.184,0.96,1.424
196,1.159,0.944,1.396
197,1.134,0.918,1.382
198,1.146,0.932,1.386
199,1.046,0.842,1.275
200,0.995,0.794,1.222
201,1.046,0.844,1.285
202,0.995,0.794,1.223
203,1.02,0.818,1.236
204,1.058,0.845,1.275
205,1.109,0.894,1.345
206,1.071,0.857,1.297
207,1.033,0.819,1.27
208,1.008,0.795,1.245
209,1.008,0.793,1.235
210,0.983,0.77,1.221
211,0.957,0.754,1.183
212,0.97,0.768,1.193
213,0.983,0.781,1.208
214,1.058,0.844,1.285
215,1.058,0.855,1.285
216,1.046,0.832,1.271
217,1.02,0.82,1.258
218,0.995,0.795,1.222
219,1.02,0.819,1.254
220,1.02,0.819,1.258
221,1.008,0.807,1.234
222,1.008,0.807,1.23
223,0.957,0.757,1.184
224,0.995,0.793,1.233
225,0.995,0.792,1.234
226,1.008,0.794,1.223
227,1.046,0.831,1.28
