Haplotype,unique_seq
HG02572.maternal,2787
HG02055.maternal,2738
HG02572.paternal,2600
HG02055.paternal,2565
HG02145.paternal,2353
HG02145.maternal,2248
HG03098.maternal,2132
HG02109.maternal,2019
HG01071.paternal,1977
HG03098.paternal,1964
HG01109.maternal,1941
HG02109.paternal,1888
HG01071.maternal,1858
HG03516.maternal,1799
HG03516.paternal,1784
HG02080.maternal,1769
HG02486.maternal,1769
HG03492.maternal,1743
HG03492.paternal,1731
HG01109.paternal,1712
HG01175.maternal,1680
HG01175.paternal,1662
NA21309.maternal,1595
NA21309.paternal,1593
HG02080.paternal,1565
HG00741.paternal,1558
HG02717.maternal,1551
HG02257.paternal,1516
HG03486.paternal,1510
HG02559.maternal,1479
HG03579.maternal,1470
HG00741.maternal,1468
HG03486.maternal,1452
HG01243.maternal,1447
HG01978.maternal,1439
HG01891.paternal,1406
HG01978.paternal,1404
HG02559.paternal,1392
HG01258.maternal,1387
HG02486.paternal,1369
HG00438.maternal,1363
NA20129.paternal,1359
HG03540.maternal,1342
HG02818.paternal,1341
HG02630.maternal,1339
HG01243.paternal,1328
HG02818.maternal,1328
HG03579.paternal,1311
HG00438.paternal,1298
HG02622.paternal,1296
HG03453.maternal,1286
HG00621.maternal,1274
HG02257.maternal,1265
HG01891.maternal,1262
NA20129.maternal,1247
HG02717.paternal,1240
HG00673.paternal,1237
HG01928.maternal,1236
NA18906.maternal,1218
HG02622.maternal,1210
HG00673.maternal,1204
HG02630.paternal,1202
NA18906.paternal,1198
HG02886.paternal,1195
HG03453.paternal,1185
HG00735.maternal,1182
HG00735.paternal,1180
HG02886.maternal,1170
HG03540.paternal,1169
HG02723.paternal,1160
HG01361.maternal,1160
HG01361.paternal,1121
HG01928.paternal,1102
HG00621.paternal,1092
HG01358.maternal,1066
HG02723.maternal,1052
HG01258.paternal,1048
HG01106.paternal,1042
HG01106.maternal,1018
HG00733.paternal,1010
HG01123.paternal,1003
HG01358.paternal,1001
HG01952.maternal,976
HG01123.maternal,975
HG00733.maternal,940
HG01952.paternal,927
HG02148.paternal,926
HG02148.maternal,765
