haplotype,jaccard,union,total_ref,pop,mutual,total,seqID,unique_ref_motifs,shared_with_ref_perc
HG02257.paternal,0.0226180705033331,1820226,44164,AFR,41170,1817232,chr13,44164,93.22072276061951
HG02257.paternal,0.048071777821561995,1822067,92425,AFR,87590,1817232,chr17,92425,94.76873140384095
HG02257.paternal,0.045727405877372104,1822277,88373,AFR,83328,1817232,chr6,88373,94.29124280040284
HG02257.paternal,0.048403928453857124,1822600,93589,AFR,88221,1817232,chr19,93589,94.26428319567471
HG02257.paternal,0.027481133184178125,1820922,53731,AFR,50041,1817232,chr22,53731,93.13245612402524
HG02257.paternal,0.042942178971027735,1821915,82920,AFR,78237,1817232,chr9,82920,94.35238784370478
HG02257.paternal,0.052726264210694374,1822659,101529,AFR,96102,1817232,chr11,101529,94.65472919067459
HG02257.paternal,0.030667932758026983,1820827,59436,AFR,55841,1817232,chr15,59436,93.95147721919375
HG02257.paternal,0.08729664990542366,1826038,168213,AFR,159407,1817232,chr1,168213,94.76497060274771
HG02257.paternal,0.03130696100167337,1820873,60647,AFR,57006,1817232,chr20,60647,93.9964054281333
HG02257.paternal,0.04050587888524853,1821859,78423,AFR,73796,1817232,chr16,78423,94.0999451691468
HG02257.paternal,0.07084236219739037,1825165,137232,AFR,129299,1817232,chr2,137232,94.21927830243675
HG02257.paternal,0.04563374593756121,1822489,88424,AFR,83167,1817232,chr5,88424,94.0547815072831
HG02257.paternal,0.013168172765547157,1819159,25882,AFR,23955,1817232,chr21,25882,92.55467120006182
HG02257.paternal,0.043431438200520346,1821860,83754,AFR,79126,1817232,chr12,83754,94.47429376507391
HG02257.paternal,0.03944815823166532,1822189,76839,AFR,71882,1817232,chr4,76839,93.54884889183877
HG02257.paternal,0.049176236741848754,1823218,95645,AFR,89659,1817232,chr7,95645,93.74143969888651
HG02257.paternal,0.031522803256878645,1821253,61432,AFR,57411,1817232,chr14,61432,93.45455137387681
HG02257.paternal,0.04093531623976658,1821972,79323,AFR,74583,1817232,chr8,79323,94.02443175371582
HG02257.paternal,1.4857688110712889e-05,1817241,36,AFR,27,1817232,chrM,36,75.0
HG02257.paternal,0.0523396089368925,1822826,101000,AFR,95406,1817232,chr3,101000,94.46138613861386
HG02257.paternal,0.045423247489791006,1822657,88216,AFR,82791,1817232,chr10,88216,93.85032193706357
HG02257.paternal,0.02046920688967302,1819709,39725,AFR,37248,1817232,chr18,39725,93.76463184392699
HG02257.maternal,0.022537207420373483,1818992,44164,AFR,40995,1815823,chr13,44164,92.82447242097636
HG02257.maternal,0.048385377693829945,1820178,92425,AFR,88070,1815823,chr17,92425,95.28807140925075
HG02257.maternal,0.045646790073967505,1821070,88373,AFR,83126,1815823,chr6,88373,94.06266619895217
