,average,q0025,q0975
0,0.812,0.678,0.954
1,0.825,0.691,0.967
2,0.845,0.705,0.987
3,0.899,0.758,1.048
4,0.912,0.771,1.055
5,0.892,0.757,1.034
6,0.859,0.716,1.001
7,0.859,0.723,1.005
8,0.839,0.703,0.986
9,0.865,0.723,1.019
10,0.886,0.745,1.045
11,0.832,0.692,0.98
12,0.845,0.71,1.0
13,0.839,0.698,0.999
14,0.865,0.718,1.014
15,0.845,0.698,0.994
16,0.852,0.704,1.005
17,0.872,0.718,1.014
18,0.872,0.725,1.025
19,0.872,0.726,1.027
20,0.879,0.725,1.032
21,0.859,0.712,1.013
22,0.886,0.739,1.039
23,0.912,0.764,1.066
24,0.906,0.751,1.058
25,0.886,0.732,1.036
26,0.845,0.69,0.998
27,0.872,0.718,1.018
28,0.892,0.732,1.034
29,0.879,0.719,1.025
30,0.852,0.696,0.993
31,0.892,0.738,1.04
32,0.919,0.764,1.068
33,0.919,0.772,1.068
34,0.919,0.765,1.067
35,0.899,0.745,1.04
36,0.886,0.732,1.034
37,0.879,0.731,1.024
38,0.865,0.718,1.006
39,0.865,0.711,1.014
40,0.872,0.718,1.019
41,0.906,0.75,1.055
42,0.919,0.763,1.073
43,0.906,0.745,1.059
44,0.886,0.73,1.04
45,0.899,0.745,1.053
46,0.872,0.725,1.026
47,0.845,0.698,0.991
48,0.832,0.685,0.979
49,0.845,0.704,0.992
50,0.859,0.711,1.005
51,0.845,0.698,0.98
52,0.825,0.678,0.972
53,0.798,0.658,0.941
54,0.798,0.664,0.946
55,0.819,0.684,0.966
56,0.778,0.638,0.919
57,0.792,0.658,0.933
58,0.798,0.658,0.945
59,0.812,0.67,0.965
60,0.852,0.698,1.006
61,0.912,0.752,1.066
62,0.886,0.732,1.047
63,0.879,0.731,1.039
64,0.879,0.725,1.04
65,0.839,0.692,0.992
66,0.792,0.652,0.94
67,0.798,0.658,0.953
68,0.792,0.657,0.941
69,0.812,0.671,0.96
70,0.825,0.684,0.968
71,0.832,0.691,0.979
72,0.865,0.724,1.018
73,0.872,0.731,1.02
74,0.879,0.737,1.032
75,0.912,0.766,1.066
76,0.919,0.76,1.073
77,0.933,0.779,1.081
78,0.939,0.792,1.088
79,0.926,0.777,1.079
80,0.899,0.751,1.052
81,0.912,0.76,1.069
82,0.912,0.765,1.066
83,0.879,0.738,1.034
84,0.859,0.712,1.007
85,0.865,0.711,1.019
86,0.865,0.718,1.014
87,0.872,0.724,1.026
88,0.886,0.731,1.04
89,0.906,0.758,1.059
90,0.892,0.744,1.041
91,0.899,0.752,1.054
92,0.865,0.712,1.02
93,0.906,0.745,1.06
94,0.906,0.757,1.062
95,0.899,0.751,1.054
96,0.899,0.753,1.061
97,0.865,0.725,1.019
98,0.839,0.699,0.987
99,0.839,0.697,0.993
100,0.819,0.678,0.972
101,0.792,0.657,0.94
102,0.765,0.637,0.918
103,0.785,0.651,0.934
104,0.765,0.632,0.906
105,0.745,0.611,0.879
106,0.751,0.618,0.886
107,0.772,0.637,0.907
108,0.738,0.609,0.872
109,0.751,0.611,0.893
110,0.758,0.624,0.894
111,0.758,0.623,0.899
112,0.778,0.638,0.926
113,0.805,0.671,0.953
114,0.792,0.65,0.934
115,0.785,0.65,0.932
116,0.765,0.637,0.908
117,0.778,0.645,0.922
118,0.819,0.684,0.96
119,0.852,0.712,0.999
120,0.859,0.718,1.011
121,0.886,0.746,1.032
122,0.906,0.766,1.055
123,0.912,0.772,1.062
124,0.926,0.783,1.086
125,0.953,0.812,1.108
126,0.946,0.811,1.107
127,0.953,0.812,1.107
128,0.966,0.817,1.114
129,0.946,0.798,1.101
130,0.973,0.824,1.133
131,0.966,0.812,1.125
132,0.98,0.824,1.133
133,0.986,0.832,1.142
134,1.0,0.844,1.148
135,1.02,0.858,1.174
136,1.027,0.871,1.175
137,1.027,0.865,1.174
138,1.027,0.871,1.18
139,1.047,0.886,1.208
140,1.06,0.9,1.226
141,1.08,0.932,1.255
142,1.087,0.938,1.255
143,1.1,0.94,1.268
144,1.127,0.966,1.296
145,1.154,0.991,1.329
146,1.147,0.993,1.33
147,1.147,0.988,1.315
148,1.134,0.974,1.307
149,1.067,0.917,1.228
150,1.08,0.925,1.253
151,1.067,0.911,1.234
152,1.073,0.924,1.242
153,1.053,0.9,1.215
154,1.02,0.87,1.175
155,1.027,0.878,1.181
156,1.04,0.887,1.201
157,1.033,0.88,1.195
158,1.047,0.892,1.214
159,1.094,0.941,1.254
160,1.12,0.966,1.289
161,1.154,1.002,1.322
162,1.154,0.999,1.322
163,1.167,1.012,1.335
164,1.201,1.043,1.38
165,1.208,1.054,1.389
166,1.255,1.094,1.445
167,1.261,1.096,1.449
168,1.241,1.075,1.417
169,1.228,1.06,1.409
170,1.194,1.034,1.375
171,1.167,1.001,1.358
172,1.141,0.981,1.328
173,1.12,0.967,1.309
174,1.12,0.965,1.308
175,1.134,0.973,1.316
176,1.107,0.946,1.286
177,1.127,0.966,1.315
178,1.154,0.987,1.335
179,1.134,0.974,1.32
180,1.12,0.966,1.304
181,1.1,0.939,1.282
182,1.1,0.941,1.281
183,1.06,0.903,1.235
184,1.067,0.912,1.247
185,1.033,0.878,1.201
186,1.027,0.864,1.195
187,1.04,0.879,1.207
188,1.013,0.844,1.18
189,0.986,0.825,1.142
190,0.939,0.784,1.095
191,0.959,0.811,1.114
192,0.912,0.764,1.068
193,0.859,0.711,1.013
194,0.825,0.678,0.979
195,0.872,0.723,1.021
196,0.872,0.719,1.026
197,0.852,0.696,1.001
198,0.852,0.705,1.0
199,0.819,0.678,0.966
200,0.792,0.645,0.939
201,0.778,0.643,0.92
202,0.792,0.645,0.931
203,0.778,0.643,0.911
204,0.758,0.624,0.885
205,0.798,0.664,0.926
206,0.778,0.643,0.906
207,0.798,0.651,0.927
208,0.785,0.649,0.915
209,0.798,0.663,0.934
210,0.792,0.65,0.924
211,0.765,0.623,0.899
212,0.772,0.629,0.907
213,0.765,0.618,0.899
214,0.798,0.645,0.933
215,0.819,0.671,0.959
216,0.845,0.685,0.984
217,0.812,0.665,0.947
218,0.832,0.685,0.974
219,0.819,0.671,0.966
220,0.832,0.684,0.979
221,0.825,0.678,0.973
222,0.785,0.637,0.928
223,0.778,0.631,0.925
224,0.812,0.665,0.953
225,0.825,0.678,0.972
226,0.845,0.703,0.992
227,0.825,0.684,0.98
228,0.825,0.685,0.979
229,0.859,0.711,1.019
230,0.872,0.731,1.034
231,0.879,0.738,1.035
232,0.879,0.732,1.033
233,0.872,0.729,1.025
234,0.852,0.711,1.006
235,0.852,0.709,1.001
236,0.852,0.704,1.006
237,0.886,0.738,1.036
238,0.892,0.746,1.047
239,0.892,0.751,1.047
240,0.852,0.711,1.001
241,0.845,0.704,0.993
242,0.832,0.696,0.981
243,0.812,0.677,0.959
244,0.819,0.684,0.971
245,0.812,0.678,0.955
246,0.839,0.704,0.987
247,0.825,0.69,0.98
248,0.852,0.711,1.001
249,0.872,0.731,1.022
250,0.919,0.765,1.076
251,0.919,0.764,1.072
252,0.912,0.758,1.06
253,0.906,0.751,1.06
254,0.912,0.764,1.069
255,0.912,0.759,1.06
256,0.953,0.791,1.108
257,0.98,0.818,1.141
258,0.946,0.793,1.108
259,0.959,0.811,1.126
260,0.973,0.824,1.134
261,1.006,0.851,1.174
262,1.013,0.858,1.187
263,0.993,0.833,1.154
264,1.0,0.843,1.165
265,1.006,0.845,1.174
266,1.013,0.853,1.187
267,0.986,0.839,1.16
268,0.986,0.825,1.148
269,0.98,0.82,1.14
270,0.973,0.825,1.134
271,1.0,0.846,1.162
272,0.986,0.837,1.153
273,0.953,0.799,1.12
274,0.926,0.777,1.092
275,0.926,0.778,1.087
276,0.933,0.785,1.092
277,0.892,0.745,1.053
278,0.912,0.771,1.075
279,0.919,0.772,1.08
280,0.939,0.798,1.099
281,0.899,0.758,1.055
282,0.859,0.718,1.012
283,0.845,0.711,1.0
284,0.845,0.711,0.999
285,0.839,0.71,0.994
286,0.812,0.684,0.967
287,0.792,0.656,0.94
288,0.825,0.685,0.974
289,0.805,0.671,0.959
290,0.812,0.677,0.966
291,0.839,0.697,0.992
292,0.839,0.692,0.992
293,0.825,0.684,0.978
294,0.839,0.692,0.986
295,0.859,0.71,1.007
296,0.886,0.731,1.034
297,0.906,0.752,1.059
298,0.926,0.77,1.075
299,0.926,0.771,1.085
300,0.973,0.813,1.133
301,0.993,0.831,1.154
302,1.013,0.853,1.174
303,0.98,0.825,1.141
304,0.986,0.831,1.142
305,0.98,0.819,1.141
306,0.953,0.797,1.112
307,0.953,0.792,1.109
308,0.959,0.807,1.116
309,0.966,0.818,1.121
310,0.919,0.772,1.073
311,0.973,0.819,1.131
312,0.959,0.81,1.114
313,0.973,0.818,1.126
314,0.966,0.814,1.125
315,0.959,0.805,1.114
316,0.993,0.833,1.153
317,1.013,0.853,1.168
318,0.946,0.797,1.1
319,0.973,0.818,1.126
320,0.959,0.799,1.114
321,0.946,0.786,1.107
322,0.906,0.758,1.061
323,0.912,0.765,1.066
324,0.946,0.792,1.106
325,0.959,0.805,1.121
326,0.973,0.819,1.139
327,0.973,0.818,1.136
328,1.0,0.851,1.168
329,1.013,0.864,1.181
330,1.04,0.885,1.215
331,1.073,0.913,1.251
332,1.114,0.953,1.293
333,1.094,0.932,1.275
334,1.114,0.952,1.301
335,1.087,0.92,1.26
336,1.127,0.966,1.313
337,1.127,0.962,1.31
338,1.087,0.926,1.26
339,1.087,0.926,1.268
340,1.08,0.925,1.255
341,1.073,0.919,1.248
342,1.067,0.907,1.241
343,1.087,0.933,1.262
344,1.094,0.932,1.268
345,1.08,0.926,1.254
346,1.06,0.905,1.235
347,1.06,0.91,1.232
348,1.087,0.931,1.261
349,1.08,0.919,1.248
350,1.06,0.905,1.223
351,1.027,0.874,1.186
352,0.986,0.837,1.152
353,0.966,0.819,1.134
354,0.933,0.785,1.095
355,0.912,0.772,1.072
356,0.899,0.758,1.047
357,0.912,0.771,1.06
358,0.899,0.751,1.039
359,0.879,0.732,1.02
360,0.886,0.75,1.033
361,0.872,0.738,1.02
362,0.892,0.76,1.041
363,0.859,0.73,1.0
364,0.845,0.71,0.986
365,0.805,0.671,0.946
366,0.819,0.678,0.959
367,0.832,0.692,0.974
368,0.832,0.691,0.973
369,0.805,0.671,0.94
370,0.785,0.651,0.926
371,0.785,0.657,0.915
372,0.839,0.705,0.98
373,0.839,0.703,0.992
374,0.805,0.677,0.946
375,0.758,0.63,0.893
376,0.725,0.598,0.864
377,0.751,0.618,0.893
378,0.772,0.638,0.906
379,0.765,0.631,0.898
380,0.778,0.643,0.919
381,0.798,0.658,0.951
382,0.798,0.651,0.939
383,0.852,0.697,0.999
384,0.865,0.718,1.013
385,0.879,0.73,1.027
386,0.886,0.745,1.033
387,0.899,0.75,1.06
388,0.906,0.758,1.054
389,0.912,0.765,1.061
390,0.906,0.758,1.049
391,0.933,0.778,1.081
392,0.966,0.798,1.121
393,0.946,0.784,1.101
394,0.98,0.811,1.137
395,0.98,0.818,1.135
396,1.013,0.846,1.175
397,1.027,0.867,1.187
398,1.0,0.845,1.159
399,1.0,0.833,1.161
400,1.013,0.852,1.174
401,1.006,0.846,1.174
402,1.047,0.879,1.214
403,1.053,0.893,1.222
404,1.1,0.934,1.268
405,1.12,0.958,1.288
406,1.134,0.973,1.303
407,1.134,0.973,1.307
408,1.161,1.0,1.335
409,1.167,0.998,1.347
410,1.107,0.947,1.279
411,1.107,0.951,1.274
412,1.141,0.981,1.308
413,1.154,0.992,1.318
414,1.141,0.98,1.306
415,1.087,0.926,1.249
416,1.107,0.947,1.272
417,1.127,0.966,1.287
418,1.127,0.967,1.294
419,1.114,0.952,1.283
420,1.107,0.945,1.275
421,1.073,0.913,1.246
422,1.06,0.899,1.217
423,1.047,0.887,1.208
424,1.04,0.884,1.201
425,1.047,0.886,1.208
426,1.006,0.846,1.168
427,1.006,0.844,1.167
428,1.027,0.865,1.187
429,1.006,0.852,1.16
430,1.006,0.85,1.161
431,1.0,0.84,1.162
432,0.973,0.818,1.129
433,0.919,0.765,1.075
434,0.912,0.765,1.072
435,0.939,0.792,1.093
436,0.953,0.804,1.114
437,0.959,0.811,1.115
438,0.939,0.786,1.093
439,0.946,0.797,1.106
440,0.933,0.778,1.094
441,0.939,0.786,1.099
442,0.939,0.784,1.095
443,0.939,0.791,1.093
444,0.926,0.779,1.082
445,0.933,0.779,1.087
446,0.946,0.791,1.106
447,0.973,0.811,1.134
448,0.946,0.792,1.101
449,0.933,0.771,1.096
450,0.933,0.783,1.093
451,0.892,0.744,1.053
452,0.899,0.756,1.06
453,0.906,0.77,1.066
454,0.892,0.751,1.054
455,0.912,0.77,1.072
456,0.906,0.759,1.055
457,0.926,0.784,1.074
458,0.912,0.765,1.066
459,0.886,0.737,1.039
460,0.872,0.719,1.031
461,0.859,0.711,1.007
462,0.872,0.731,1.027
463,0.899,0.746,1.056
464,0.892,0.751,1.046
465,0.892,0.752,1.047
466,0.926,0.785,1.087
467,0.933,0.785,1.108
468,0.959,0.812,1.133
469,0.953,0.806,1.126
470,0.98,0.832,1.154
471,0.966,0.818,1.135
472,0.953,0.812,1.121
473,0.973,0.826,1.143
