Haplotype,unique_seq
HG02572,5464
HG02055,5385
HG02145,4647
HG03098,4127
HG01071,3964
HG02109,3941
HG01109,3684
HG03516,3649
HG03492,3521
HG02080,3430
HG01175,3411
NA21309,3259
HG02486,3195
HG00741,3070
HG03486,2990
HG01978,2963
HG02559,2897
HG02717,2832
HG03579,2819
HG02257,2817
HG01243,2816
HG00438,2739
HG02818,2711
HG01891,2697
NA20129,2626
HG02630,2566
HG03540,2548
HG02622,2543
HG00673,2525
HG03453,2515
HG01258,2502
NA18906,2444
HG00735,2418
HG00621,2399
HG02886,2397
HG01928,2385
HG01361,2342
HG02723,2251
HG01358,2123
HG01106,2093
HG00733,2050
HG01123,2048
HG01952,2006
HG02148,1785
