,average,q0025,q0975
0,1.134,1.028,1.24
1,1.154,1.049,1.26
2,1.154,1.051,1.261
3,1.161,1.06,1.271
4,1.151,1.052,1.259
5,1.156,1.049,1.269
6,1.166,1.059,1.284
7,1.171,1.064,1.281
8,1.151,1.045,1.254
9,1.151,1.044,1.262
10,1.164,1.056,1.28
11,1.171,1.061,1.281
12,1.189,1.079,1.297
13,1.193,1.08,1.304
14,1.193,1.087,1.306
15,1.191,1.082,1.302
16,1.201,1.092,1.308
17,1.171,1.062,1.279
18,1.149,1.041,1.254
19,1.124,1.017,1.23
20,1.091,0.987,1.194
21,1.094,0.989,1.196
22,1.079,0.977,1.18
23,1.094,0.989,1.199
24,1.089,0.982,1.196
25,1.066,0.964,1.171
26,1.036,0.934,1.135
27,1.056,0.951,1.153
28,1.061,0.964,1.16
29,1.069,0.97,1.165
30,1.036,0.938,1.134
31,1.039,0.941,1.134
32,1.021,0.928,1.115
33,1.016,0.922,1.113
34,1.029,0.931,1.128
35,1.046,0.948,1.143
36,1.041,0.945,1.14
37,1.044,0.948,1.142
38,1.044,0.947,1.143
39,1.009,0.913,1.105
40,0.994,0.899,1.088
41,1.004,0.906,1.104
42,1.001,0.904,1.102
43,0.996,0.901,1.101
44,1.011,0.915,1.114
45,0.989,0.896,1.093
46,0.994,0.896,1.097
47,0.996,0.898,1.098
48,0.996,0.897,1.099
49,0.996,0.894,1.101
50,1.001,0.901,1.106
51,1.001,0.9,1.107
52,1.014,0.913,1.116
53,0.989,0.894,1.088
54,0.989,0.896,1.092
55,1.006,0.909,1.111
56,0.999,0.904,1.1
57,1.004,0.905,1.107
58,1.006,0.909,1.11
59,1.004,0.908,1.111
60,0.974,0.879,1.075
61,0.964,0.868,1.067
62,0.936,0.844,1.041
63,0.934,0.835,1.035
64,0.926,0.833,1.024
65,0.934,0.846,1.033
66,0.931,0.84,1.028
67,0.941,0.853,1.04
68,0.949,0.86,1.044
69,0.966,0.878,1.062
70,0.989,0.896,1.086
71,1.006,0.907,1.102
72,1.019,0.919,1.113
73,1.014,0.915,1.104
74,1.014,0.916,1.106
75,1.009,0.912,1.106
76,1.001,0.902,1.094
77,1.021,0.922,1.12
78,1.019,0.921,1.116
79,1.019,0.922,1.119
80,1.006,0.913,1.108
81,0.984,0.887,1.081
82,0.986,0.891,1.085
83,0.989,0.892,1.089
84,1.009,0.915,1.109
85,1.014,0.918,1.111
86,1.031,0.935,1.128
87,1.051,0.958,1.153
88,1.049,0.95,1.15
89,1.051,0.95,1.152
90,1.071,0.964,1.175
91,1.069,0.965,1.173
92,1.071,0.969,1.175
93,1.069,0.966,1.173
94,1.084,0.982,1.185
95,1.081,0.978,1.185
96,1.079,0.975,1.185
97,1.064,0.96,1.168
98,1.064,0.957,1.17
99,1.046,0.944,1.153
100,1.056,0.953,1.163
101,1.059,0.953,1.163
102,1.061,0.955,1.164
103,1.066,0.957,1.17
104,1.034,0.929,1.138
105,1.039,0.934,1.143
106,1.054,0.947,1.157
107,1.044,0.937,1.144
108,1.039,0.934,1.14
109,1.036,0.933,1.138
110,1.041,0.935,1.135
111,1.041,0.938,1.137
112,1.026,0.923,1.122
113,1.039,0.936,1.133
114,1.031,0.928,1.128
115,1.031,0.928,1.129
116,1.014,0.909,1.108
117,1.009,0.908,1.101
118,1.009,0.909,1.103
119,1.001,0.9,1.094
120,1.004,0.906,1.096
121,0.989,0.891,1.082
122,0.999,0.898,1.088
123,0.999,0.901,1.093
124,0.991,0.898,1.083
125,0.971,0.876,1.064
