,average,q0025,q0975
0,0.847,0.709,0.992
1,0.87,0.732,1.01
2,0.87,0.727,1.019
3,0.853,0.715,0.997
4,0.864,0.726,1.013
5,0.864,0.725,1.004
6,0.864,0.721,1.012
7,0.859,0.72,0.999
8,0.882,0.748,1.023
9,0.899,0.763,1.042
10,0.864,0.732,1.007
11,0.876,0.738,1.02
12,0.893,0.766,1.037
13,0.887,0.749,1.035
14,0.893,0.75,1.041
15,0.876,0.739,1.024
16,0.859,0.727,0.996
17,0.841,0.711,0.978
18,0.87,0.744,1.013
19,0.859,0.732,0.996
20,0.864,0.733,1.002
21,0.836,0.709,0.978
22,0.836,0.709,0.972
23,0.83,0.703,0.962
24,0.796,0.669,0.927
25,0.773,0.647,0.898
26,0.796,0.669,0.928
27,0.796,0.669,0.922
28,0.801,0.675,0.932
29,0.79,0.669,0.912
30,0.801,0.681,0.926
31,0.796,0.676,0.922
32,0.819,0.697,0.955
33,0.836,0.715,0.971
34,0.819,0.699,0.95
35,0.836,0.714,0.972
36,0.859,0.727,1.001
37,0.882,0.749,1.031
38,0.882,0.745,1.025
39,0.876,0.744,1.02
40,0.87,0.744,1.013
41,0.87,0.74,1.013
42,0.904,0.771,1.054
43,0.876,0.744,1.023
44,0.882,0.754,1.03
45,0.87,0.739,1.02
46,0.864,0.733,1.013
47,0.904,0.772,1.052
48,0.899,0.766,1.048
49,0.91,0.773,1.058
50,0.91,0.778,1.057
51,0.887,0.756,1.03
52,0.859,0.727,0.997
53,0.847,0.71,0.985
54,0.847,0.716,0.985
55,0.841,0.71,0.984
56,0.813,0.681,0.952
57,0.79,0.665,0.917
58,0.796,0.669,0.927
59,0.784,0.658,0.916
60,0.784,0.658,0.916
61,0.756,0.635,0.888
62,0.767,0.641,0.9
63,0.784,0.654,0.918
64,0.761,0.635,0.898
65,0.756,0.625,0.89
66,0.744,0.618,0.882
67,0.75,0.625,0.883
68,0.767,0.63,0.903
69,0.756,0.631,0.889
70,0.761,0.636,0.9
71,0.79,0.664,0.923
72,0.801,0.676,0.934
73,0.813,0.687,0.945
74,0.841,0.714,0.972
75,0.836,0.715,0.972
76,0.824,0.7,0.954
77,0.824,0.698,0.957
78,0.807,0.681,0.937
79,0.813,0.687,0.945
80,0.819,0.692,0.952
81,0.853,0.721,0.989
82,0.859,0.727,0.995
83,0.87,0.745,1.007
84,0.882,0.75,1.021
85,0.893,0.767,1.035
86,0.91,0.779,1.053
87,0.91,0.784,1.048
88,0.916,0.78,1.06
89,0.933,0.796,1.076
90,0.956,0.819,1.1
91,0.893,0.763,1.026
92,0.916,0.778,1.058
93,0.939,0.802,1.086
94,0.933,0.796,1.077
95,0.945,0.802,1.088
96,0.945,0.807,1.091
97,0.922,0.785,1.07
98,0.939,0.802,1.088
99,0.922,0.789,1.07
100,0.933,0.804,1.087
101,0.985,0.848,1.151
102,0.973,0.837,1.134
103,0.962,0.825,1.127
104,0.973,0.837,1.132
105,0.967,0.831,1.127
106,0.985,0.841,1.149
107,0.979,0.836,1.145
108,1.03,0.892,1.188
109,1.036,0.894,1.196
110,1.025,0.883,1.185
111,0.99,0.854,1.145
112,0.996,0.857,1.151
113,1.007,0.866,1.169
114,1.019,0.875,1.179
115,0.996,0.853,1.152
116,1.03,0.881,1.192
117,1.03,0.883,1.191
118,1.036,0.883,1.191
119,1.048,0.891,1.205
120,1.07,0.916,1.226
121,1.076,0.923,1.239
122,1.065,0.91,1.221
123,1.042,0.894,1.2
124,1.03,0.886,1.188
125,1.036,0.894,1.195
126,1.013,0.87,1.173
127,0.996,0.857,1.161
128,0.979,0.831,1.144
129,0.956,0.803,1.112
130,0.933,0.795,1.091
131,0.927,0.784,1.082
132,0.939,0.791,1.096
133,0.933,0.785,1.086
