,average,q0025,q0975
0,0.856,0.809,0.905
1,0.862,0.813,0.911
2,0.853,0.804,0.902
3,0.845,0.796,0.892
4,0.849,0.801,0.897
5,0.838,0.79,0.887
6,0.84,0.793,0.888
7,0.849,0.804,0.897
8,0.862,0.815,0.909
9,0.862,0.819,0.91
10,0.863,0.819,0.91
11,0.867,0.821,0.915
12,0.865,0.821,0.915
13,0.856,0.812,0.906
14,0.864,0.82,0.911
15,0.867,0.823,0.915
16,0.862,0.817,0.911
17,0.868,0.823,0.915
18,0.873,0.83,0.918
19,0.875,0.831,0.92
20,0.865,0.82,0.91
21,0.867,0.821,0.916
22,0.873,0.826,0.918
23,0.877,0.831,0.922
24,0.884,0.839,0.93
25,0.897,0.852,0.944
26,0.9,0.855,0.949
27,0.911,0.865,0.96
28,0.913,0.866,0.96
29,0.915,0.869,0.964
30,0.913,0.867,0.962
31,0.905,0.859,0.954
32,0.899,0.853,0.949
33,0.904,0.859,0.956
34,0.909,0.862,0.959
35,0.917,0.87,0.967
36,0.917,0.868,0.967
37,0.915,0.866,0.963
38,0.913,0.865,0.961
39,0.911,0.862,0.959
40,0.889,0.841,0.936
41,0.888,0.838,0.934
42,0.899,0.851,0.945
43,0.902,0.854,0.949
44,0.897,0.849,0.942
45,0.888,0.84,0.938
46,0.889,0.842,0.941
47,0.888,0.84,0.937
48,0.874,0.826,0.922
49,0.874,0.829,0.924
50,0.866,0.82,0.914
51,0.863,0.815,0.91
52,0.864,0.816,0.911
53,0.86,0.813,0.908
54,0.864,0.815,0.914
55,0.865,0.817,0.913
56,0.86,0.813,0.909
57,0.864,0.82,0.911
58,0.852,0.809,0.901
59,0.852,0.81,0.9
60,0.846,0.801,0.892
61,0.844,0.8,0.888
62,0.832,0.787,0.877
63,0.836,0.793,0.883
64,0.835,0.79,0.883
65,0.836,0.791,0.882
66,0.843,0.799,0.89
67,0.845,0.801,0.891
68,0.841,0.795,0.886
69,0.848,0.802,0.892
70,0.844,0.799,0.888
71,0.849,0.806,0.893
72,0.854,0.808,0.9
73,0.858,0.812,0.902
74,0.854,0.81,0.899
75,0.841,0.794,0.887
76,0.846,0.799,0.889
77,0.85,0.806,0.894
78,0.851,0.809,0.896
79,0.849,0.804,0.894
80,0.854,0.81,0.9
81,0.851,0.805,0.898
82,0.847,0.804,0.894
83,0.849,0.804,0.895
84,0.853,0.807,0.898
85,0.851,0.805,0.896
86,0.85,0.804,0.893
87,0.844,0.798,0.889
88,0.85,0.802,0.896
89,0.851,0.804,0.896
90,0.849,0.801,0.894
91,0.858,0.81,0.905
92,0.858,0.811,0.907
93,0.86,0.812,0.908
94,0.864,0.816,0.91
95,0.869,0.823,0.914
96,0.878,0.832,0.923
97,0.878,0.832,0.924
98,0.887,0.839,0.934
99,0.89,0.841,0.938
100,0.902,0.852,0.953
101,0.899,0.85,0.947
102,0.905,0.855,0.955
103,0.908,0.858,0.954
104,0.917,0.868,0.962
105,0.914,0.862,0.959
106,0.903,0.853,0.947
107,0.908,0.859,0.952
108,0.914,0.865,0.96
109,0.909,0.862,0.954
110,0.906,0.857,0.951
111,0.912,0.859,0.956
112,0.913,0.862,0.956
113,0.928,0.877,0.974
114,0.932,0.881,0.977
115,0.934,0.883,0.981
116,0.932,0.882,0.979
117,0.936,0.885,0.984
118,0.937,0.885,0.987
119,0.932,0.881,0.979
120,0.933,0.882,0.98
121,0.941,0.891,0.991
122,0.94,0.889,0.989
123,0.921,0.871,0.97
124,0.921,0.87,0.969
125,0.913,0.862,0.964
126,0.915,0.866,0.965
127,0.916,0.866,0.964
128,0.906,0.858,0.957
129,0.916,0.865,0.967
130,0.915,0.865,0.967
131,0.914,0.864,0.965
132,0.908,0.86,0.958
133,0.908,0.859,0.96
134,0.908,0.857,0.959
135,0.915,0.864,0.966
136,0.912,0.861,0.962
137,0.908,0.859,0.956
138,0.908,0.857,0.957
139,0.904,0.857,0.954
140,0.904,0.857,0.955
141,0.9,0.853,0.953
142,0.895,0.848,0.946
143,0.901,0.855,0.951
144,0.908,0.86,0.958
145,0.912,0.865,0.961
146,0.906,0.861,0.954
147,0.904,0.857,0.953
148,0.906,0.86,0.955
149,0.912,0.864,0.961
150,0.913,0.865,0.963
151,0.917,0.868,0.966
152,0.917,0.867,0.966
153,0.921,0.871,0.97
154,0.916,0.869,0.965
155,0.912,0.864,0.962
156,0.906,0.86,0.955
157,0.906,0.86,0.954
158,0.917,0.871,0.965
159,0.915,0.871,0.964
160,0.908,0.863,0.956
161,0.923,0.878,0.972
162,0.928,0.882,0.978
163,0.925,0.879,0.975
164,0.913,0.869,0.962
165,0.917,0.874,0.968
166,0.911,0.868,0.96
167,0.908,0.866,0.956
168,0.91,0.867,0.958
169,0.911,0.865,0.959
170,0.911,0.865,0.962
171,0.913,0.87,0.962
172,0.912,0.868,0.962
173,0.91,0.865,0.96
174,0.909,0.866,0.958
175,0.906,0.863,0.952
176,0.906,0.863,0.952
177,0.901,0.856,0.946
178,0.899,0.854,0.947
179,0.891,0.847,0.937
180,0.884,0.839,0.929
181,0.891,0.844,0.936
182,0.895,0.848,0.94
183,0.903,0.857,0.946
184,0.903,0.856,0.95
185,0.912,0.864,0.956
186,0.91,0.861,0.955
187,0.911,0.864,0.958
188,0.916,0.868,0.961
189,0.924,0.876,0.97
190,0.916,0.868,0.962
191,0.926,0.879,0.973
192,0.925,0.877,0.971
193,0.928,0.879,0.973
194,0.923,0.874,0.968
195,0.929,0.881,0.974
196,0.924,0.876,0.97
197,0.905,0.856,0.949
198,0.902,0.856,0.949
199,0.902,0.855,0.947
200,0.901,0.855,0.947
201,0.906,0.858,0.951
202,0.906,0.857,0.953
