,average,q0025,q0975
0,1.091,0.865,1.344
1,1.128,0.902,1.382
2,1.141,0.914,1.395
3,1.091,0.864,1.33
4,1.066,0.851,1.304
5,1.041,0.815,1.278
6,0.978,0.752,1.203
7,0.99,0.753,1.214
8,0.978,0.752,1.201
9,0.953,0.738,1.179
10,0.94,0.727,1.169
11,0.978,0.753,1.199
12,0.965,0.741,1.191
13,0.953,0.738,1.177
14,0.903,0.69,1.107
15,0.915,0.7,1.118
16,0.928,0.714,1.142
17,0.903,0.689,1.116
18,0.928,0.726,1.139
19,0.928,0.725,1.138
20,0.903,0.702,1.106
21,0.865,0.675,1.067
22,0.928,0.728,1.139
23,0.94,0.739,1.139
24,0.903,0.702,1.103
25,0.903,0.703,1.104
26,0.84,0.653,1.038
27,0.852,0.664,1.041
28,0.878,0.69,1.065
29,0.84,0.652,1.028
30,0.827,0.651,1.013
31,0.802,0.615,0.992
32,0.74,0.564,0.918
33,0.702,0.538,0.88
34,0.727,0.552,0.914
35,0.752,0.576,0.94
36,0.752,0.576,0.951
37,0.765,0.588,0.966
38,0.74,0.564,0.928
39,0.79,0.603,0.989
40,0.752,0.566,0.952
41,0.715,0.539,0.915
42,0.74,0.565,0.94
43,0.765,0.578,0.969
44,0.79,0.602,0.993
45,0.802,0.614,1.016
46,0.827,0.639,1.039
47,0.852,0.654,1.077
48,0.84,0.651,1.065
49,0.852,0.663,1.076
50,0.865,0.664,1.08
51,0.84,0.651,1.052
52,0.903,0.69,1.116
53,0.903,0.69,1.115
54,0.903,0.69,1.116
55,0.94,0.739,1.165
56,0.94,0.739,1.155
57,0.965,0.765,1.188
58,0.953,0.752,1.17
59,0.99,0.789,1.216
60,1.053,0.841,1.267
61,1.053,0.84,1.275
62,1.053,0.848,1.269
63,1.041,0.828,1.256
64,1.078,0.865,1.295
65,1.091,0.866,1.319
66,1.116,0.892,1.352
67,1.103,0.878,1.34
68,1.128,0.898,1.367
69,1.116,0.891,1.345
70,1.116,0.89,1.339
71,1.078,0.853,1.303
72,1.066,0.84,1.288
73,1.091,0.855,1.305
74,1.078,0.853,1.29
75,1.066,0.841,1.278
76,1.028,0.827,1.23
77,1.053,0.841,1.266
78,1.053,0.84,1.266
79,1.066,0.841,1.292
80,1.028,0.803,1.251
81,1.053,0.839,1.277
82,1.028,0.813,1.255
83,0.99,0.777,1.214
84,1.041,0.815,1.269
85,1.015,0.801,1.24
86,0.99,0.788,1.205
87,1.003,0.779,1.215
88,1.003,0.79,1.227
89,1.053,0.839,1.28
90,1.028,0.815,1.254
91,1.015,0.801,1.241
92,1.015,0.803,1.228
93,0.978,0.763,1.189
94,0.965,0.751,1.169
95,0.99,0.777,1.215
96,0.99,0.778,1.206
97,1.003,0.79,1.217
98,0.99,0.778,1.213
99,0.928,0.715,1.152
100,0.878,0.677,1.091
101,0.878,0.676,1.081
102,0.878,0.676,1.092
103,0.89,0.689,1.114
104,0.928,0.727,1.152
105,0.89,0.701,1.116
106,0.953,0.752,1.178
107,0.965,0.765,1.18
108,0.99,0.777,1.204
109,1.003,0.778,1.215
110,0.978,0.764,1.179
111,1.003,0.778,1.219
112,0.99,0.778,1.204
113,1.003,0.789,1.227
114,0.978,0.764,1.192
115,0.953,0.75,1.167
116,0.953,0.74,1.168
117,0.94,0.739,1.151
118,0.903,0.702,1.116
119,0.965,0.753,1.192
120,0.965,0.739,1.202
121,0.978,0.752,1.216
122,0.965,0.751,1.192
123,0.928,0.726,1.142
124,0.878,0.689,1.091
125,0.878,0.678,1.1
126,0.865,0.676,1.089
127,0.878,0.676,1.101
128,0.852,0.663,1.076
129,0.84,0.651,1.052
130,0.84,0.651,1.053
131,0.79,0.59,1.001
