,average,q0025,q0975
0,0.921,0.837,1.013
1,0.936,0.854,1.029
2,0.945,0.861,1.035
3,0.942,0.858,1.036
4,0.942,0.858,1.037
5,0.964,0.88,1.062
6,0.971,0.883,1.071
7,0.966,0.879,1.064
8,0.969,0.883,1.061
9,0.988,0.901,1.083
10,1.004,0.919,1.098
11,0.995,0.91,1.088
12,1.012,0.925,1.109
13,0.988,0.903,1.08
14,0.991,0.903,1.081
15,0.986,0.898,1.075
16,0.982,0.893,1.071
17,0.991,0.904,1.082
18,0.999,0.911,1.091
19,1.004,0.917,1.096
20,1.03,0.943,1.122
21,1.039,0.948,1.132
22,1.036,0.947,1.127
23,1.039,0.948,1.13
24,1.041,0.951,1.129
25,1.03,0.944,1.12
26,1.041,0.95,1.131
27,1.047,0.957,1.136
28,1.047,0.956,1.137
29,1.056,0.968,1.146
30,1.041,0.951,1.131
31,1.036,0.946,1.128
32,1.036,0.945,1.129
33,1.061,0.968,1.155
34,1.065,0.974,1.164
35,1.067,0.975,1.159
36,1.065,0.977,1.159
37,1.05,0.96,1.142
38,1.028,0.941,1.122
39,1.026,0.94,1.115
40,1.021,0.932,1.11
41,1.01,0.92,1.099
42,1.041,0.948,1.131
43,1.039,0.948,1.13
44,1.041,0.955,1.13
45,1.041,0.952,1.13
46,1.034,0.942,1.12
47,1.032,0.943,1.12
48,1.034,0.943,1.123
49,1.036,0.944,1.12
50,1.067,0.977,1.158
51,1.058,0.967,1.144
52,1.085,0.993,1.174
53,1.069,0.976,1.16
54,1.061,0.97,1.15
55,1.065,0.971,1.157
56,1.089,0.992,1.178
57,1.109,1.012,1.201
58,1.089,0.991,1.181
59,1.089,0.995,1.178
60,1.085,0.987,1.169
61,1.08,0.985,1.17
62,1.078,0.981,1.164
63,1.08,0.981,1.171
64,1.065,0.969,1.151
65,1.058,0.959,1.144
66,1.069,0.975,1.161
67,1.074,0.983,1.165
68,1.08,0.99,1.169
69,1.078,0.985,1.17
70,1.091,1.002,1.186
71,1.087,0.997,1.181
72,1.067,0.977,1.165
73,1.065,0.977,1.161
74,1.067,0.98,1.169
75,1.041,0.954,1.139
76,1.034,0.944,1.131
77,1.041,0.947,1.141
78,1.039,0.947,1.138
79,1.054,0.962,1.151
80,1.058,0.962,1.157
81,1.056,0.957,1.157
82,1.065,0.968,1.165
83,1.08,0.98,1.181
84,1.069,0.972,1.163
85,1.076,0.979,1.172
86,1.056,0.96,1.152
87,1.067,0.973,1.164
88,1.052,0.958,1.152
89,1.065,0.973,1.16
90,1.074,0.977,1.171
91,1.069,0.973,1.164
92,1.078,0.984,1.176
93,1.065,0.973,1.164
94,1.056,0.964,1.157
95,1.047,0.953,1.146
96,1.054,0.957,1.154
97,1.058,0.962,1.159
98,1.063,0.966,1.169
99,1.045,0.949,1.146
100,1.043,0.947,1.149
101,1.021,0.925,1.119
102,1.017,0.92,1.114
103,1.008,0.909,1.107
104,1.012,0.915,1.108
105,1.023,0.929,1.118
106,1.004,0.91,1.095
107,0.995,0.9,1.092
108,0.995,0.899,1.093
109,0.973,0.877,1.07
110,0.982,0.887,1.081
111,0.984,0.887,1.078
112,0.993,0.898,1.088
113,1.023,0.926,1.121
114,1.004,0.907,1.1
115,0.975,0.879,1.071
116,0.995,0.899,1.091
117,1.015,0.916,1.113
118,1.021,0.922,1.117
119,1.012,0.915,1.106
120,1.023,0.926,1.121
121,1.028,0.928,1.126
122,1.032,0.934,1.127
123,0.999,0.901,1.093
124,0.986,0.89,1.076
125,0.977,0.883,1.069
126,0.96,0.869,1.049
127,0.993,0.901,1.078
128,0.988,0.894,1.078
129,0.971,0.877,1.063
130,0.962,0.872,1.05
131,0.956,0.867,1.045
132,0.969,0.881,1.056
133,0.969,0.881,1.057
134,0.982,0.895,1.07
135,0.975,0.888,1.063
136,0.98,0.894,1.066
137,0.991,0.902,1.075
138,0.997,0.908,1.084
139,1.004,0.912,1.092
140,0.995,0.902,1.084
141,0.999,0.909,1.089
142,1.004,0.91,1.094
143,0.986,0.894,1.079
144,0.995,0.905,1.087
145,1.001,0.915,1.094
146,1.006,0.916,1.095
147,1.019,0.931,1.114
148,1.004,0.918,1.098
149,1.015,0.925,1.11
150,1.017,0.927,1.114
151,1.012,0.919,1.109
152,1.015,0.924,1.111
153,1.028,0.936,1.125
154,1.023,0.934,1.119
155,1.001,0.907,1.099
156,1.001,0.907,1.1
157,0.993,0.9,1.089
158,0.98,0.888,1.078
159,0.991,0.896,1.088
160,0.975,0.884,1.074
161,0.973,0.881,1.064
162,0.956,0.868,1.05
163,0.953,0.865,1.045
164,0.969,0.88,1.057
165,0.96,0.868,1.052
166,0.949,0.86,1.038
167,0.953,0.864,1.045
168,0.947,0.855,1.035
169,0.96,0.868,1.05
170,0.975,0.885,1.072
171,0.973,0.882,1.064
172,0.964,0.87,1.054
173,0.982,0.889,1.069
174,0.973,0.882,1.065
175,0.969,0.881,1.057
176,0.962,0.868,1.054
177,0.958,0.865,1.051
178,0.953,0.864,1.044
179,0.953,0.864,1.041
180,0.956,0.867,1.045
181,0.964,0.876,1.055
182,0.971,0.878,1.064
183,0.971,0.879,1.063
184,0.975,0.884,1.067
185,0.993,0.895,1.086
186,1.006,0.912,1.1
187,1.017,0.923,1.106
188,1.008,0.917,1.099
189,1.001,0.909,1.093
190,1.015,0.92,1.108
191,1.01,0.918,1.102
192,1.015,0.92,1.11
193,1.026,0.927,1.116
194,1.026,0.927,1.119
195,1.001,0.907,1.091
196,1.021,0.921,1.109
197,1.021,0.922,1.11
198,1.017,0.917,1.106
199,0.997,0.896,1.085
200,1.004,0.905,1.094
201,1.017,0.916,1.107
202,1.001,0.907,1.09
203,1.015,0.921,1.103
204,1.019,0.921,1.107
205,1.021,0.924,1.11
206,1.001,0.909,1.087
207,0.999,0.908,1.085
208,1.023,0.928,1.109
209,1.008,0.918,1.101
210,1.012,0.921,1.102
211,1.001,0.91,1.097
212,1.004,0.912,1.1
213,1.021,0.929,1.115
214,1.028,0.932,1.123
215,1.03,0.937,1.123
216,1.023,0.931,1.114
217,1.017,0.926,1.102
218,1.026,0.932,1.113
219,1.012,0.918,1.102
220,0.999,0.905,1.087
221,1.004,0.909,1.09
222,0.993,0.9,1.083
223,0.975,0.883,1.07
224,0.986,0.894,1.08
225,0.988,0.902,1.082
226,0.993,0.907,1.084
227,0.999,0.909,1.094
228,0.991,0.899,1.083
229,0.973,0.883,1.059
230,0.973,0.886,1.062
231,0.993,0.903,1.086
232,1.004,0.914,1.098
233,1.028,0.934,1.122
234,1.023,0.933,1.115
235,1.019,0.932,1.109
236,1.019,0.929,1.109
237,0.999,0.908,1.085
238,1.01,0.919,1.102
239,1.001,0.914,1.095
240,1.015,0.924,1.109
241,1.012,0.921,1.106
242,1.008,0.919,1.102
243,1.041,0.951,1.137
244,1.043,0.956,1.136
245,1.058,0.969,1.154
246,1.074,0.981,1.167
247,1.076,0.981,1.176
248,1.074,0.978,1.177
249,1.087,0.988,1.188
250,1.082,0.985,1.185
251,1.08,0.982,1.183
252,1.071,0.969,1.177
253,1.082,0.981,1.188
254,1.052,0.953,1.152
255,1.043,0.947,1.145
256,1.041,0.947,1.143
257,1.054,0.958,1.153
258,1.041,0.939,1.144
259,1.034,0.935,1.133
260,1.039,0.935,1.137
261,1.03,0.93,1.124
262,1.03,0.934,1.125
263,1.032,0.935,1.128
264,1.026,0.93,1.119
265,1.01,0.917,1.101
266,1.026,0.93,1.117
267,1.032,0.936,1.124
268,1.023,0.931,1.11
269,1.034,0.938,1.13
270,1.015,0.926,1.103
271,1.017,0.927,1.107
272,1.015,0.923,1.1
273,1.012,0.918,1.103
274,1.023,0.927,1.112
275,0.993,0.898,1.085
276,0.993,0.897,1.083
277,0.975,0.883,1.065
278,0.969,0.876,1.059
279,0.966,0.876,1.059
280,0.982,0.892,1.072
281,0.977,0.888,1.071
282,0.98,0.889,1.067
283,0.964,0.872,1.052
284,0.945,0.854,1.036
285,0.927,0.84,1.014
286,0.934,0.846,1.02
287,0.907,0.818,0.993
288,0.921,0.83,1.009
289,0.916,0.824,0.999
290,0.918,0.829,1.002
291,0.912,0.822,0.998
292,0.901,0.813,0.987
293,0.886,0.799,0.969
294,0.897,0.808,0.977
295,0.918,0.831,1.0
296,0.938,0.854,1.023
297,0.934,0.853,1.018
298,0.932,0.848,1.016
299,0.936,0.852,1.018
300,0.951,0.869,1.034
301,0.947,0.865,1.032
302,0.956,0.869,1.04
303,0.956,0.871,1.037
304,0.964,0.881,1.048
305,0.938,0.851,1.023
306,0.956,0.866,1.039
307,0.962,0.871,1.049
308,0.973,0.879,1.062
309,0.988,0.894,1.074
310,0.973,0.883,1.055
311,0.993,0.901,1.078
312,0.993,0.9,1.08
313,0.984,0.892,1.073
314,0.995,0.901,1.087
315,0.999,0.906,1.09
316,0.993,0.9,1.087
317,1.006,0.91,1.099
318,1.008,0.909,1.101
319,1.01,0.911,1.102
320,0.995,0.899,1.086
321,0.977,0.885,1.07
322,0.969,0.877,1.061
323,0.982,0.892,1.076
324,0.991,0.895,1.084
325,0.995,0.896,1.09
326,0.984,0.887,1.077
327,0.98,0.885,1.072
328,0.977,0.882,1.071
329,0.958,0.861,1.05
330,0.962,0.87,1.054
331,0.966,0.875,1.058
332,0.956,0.865,1.051
333,0.942,0.852,1.036
334,0.932,0.841,1.023
335,0.918,0.831,1.014
336,0.897,0.81,0.988
337,0.901,0.814,0.995
338,0.892,0.809,0.983
339,0.886,0.802,0.977
340,0.892,0.811,0.987
341,0.886,0.807,0.979
342,0.872,0.79,0.966
343,0.848,0.767,0.935
344,0.857,0.778,0.943
345,0.855,0.777,0.936
346,0.851,0.773,0.93
347,0.851,0.772,0.935
348,0.851,0.771,0.929
349,0.864,0.782,0.947
350,0.853,0.772,0.937
351,0.864,0.781,0.948
352,0.84,0.759,0.924
353,0.848,0.77,0.936
354,0.846,0.766,0.932
355,0.851,0.772,0.941
356,0.862,0.781,0.947
357,0.87,0.791,0.957
358,0.866,0.79,0.95
359,0.846,0.767,0.93
360,0.855,0.773,0.941
361,0.848,0.768,0.932
362,0.857,0.774,0.941
363,0.844,0.763,0.926
364,0.844,0.762,0.927
365,0.853,0.772,0.932
366,0.842,0.762,0.922
367,0.848,0.769,0.931
368,0.857,0.778,0.935
369,0.859,0.778,0.938
370,0.901,0.82,0.985
371,0.905,0.826,0.988
372,0.91,0.828,0.992
373,0.921,0.841,1.003
374,0.925,0.843,1.006
375,0.934,0.853,1.019
376,0.94,0.861,1.025
377,0.96,0.877,1.047
378,0.951,0.867,1.038
379,0.951,0.866,1.036
380,0.969,0.881,1.056
381,0.962,0.877,1.054
382,0.975,0.888,1.067
383,0.971,0.886,1.063
384,0.973,0.884,1.067
385,0.975,0.888,1.068
386,0.993,0.908,1.085
387,1.004,0.918,1.093
388,1.021,0.932,1.11
389,1.021,0.931,1.113
390,1.032,0.943,1.124
391,1.039,0.95,1.129
392,1.05,0.955,1.14
393,1.054,0.964,1.145
394,1.069,0.977,1.164
395,1.063,0.972,1.152
396,1.074,0.984,1.166
397,1.089,1.001,1.18
398,1.089,0.996,1.183
399,1.109,1.014,1.197
400,1.111,1.017,1.202
401,1.133,1.037,1.222
402,1.146,1.053,1.242
403,1.148,1.052,1.244
404,1.15,1.056,1.242
405,1.17,1.073,1.265
406,1.174,1.077,1.272
407,1.181,1.084,1.281
408,1.2,1.104,1.298
409,1.207,1.116,1.309
410,1.205,1.116,1.303
411,1.205,1.115,1.304
412,1.198,1.107,1.297
413,1.17,1.077,1.271
414,1.148,1.056,1.243
415,1.155,1.064,1.251
416,1.174,1.08,1.276
417,1.179,1.086,1.28
418,1.198,1.103,1.3
419,1.211,1.117,1.314
420,1.2,1.104,1.3
