,average,q0025,q0975
0,0.971,0.922,1.023
1,0.968,0.92,1.02
2,0.969,0.919,1.021
3,0.973,0.922,1.026
4,0.966,0.915,1.017
5,0.962,0.912,1.015
6,0.965,0.918,1.018
7,0.965,0.917,1.014
8,0.968,0.92,1.016
9,0.963,0.916,1.014
10,0.97,0.923,1.02
11,0.97,0.922,1.021
12,0.975,0.924,1.027
13,0.976,0.925,1.026
14,0.968,0.918,1.017
15,0.963,0.914,1.013
16,0.97,0.92,1.02
17,0.971,0.92,1.021
18,0.96,0.911,1.01
19,0.955,0.905,1.005
20,0.96,0.91,1.012
21,0.958,0.908,1.008
22,0.965,0.916,1.015
23,0.964,0.916,1.015
24,0.964,0.916,1.017
25,0.968,0.918,1.02
26,0.977,0.93,1.028
27,0.968,0.919,1.02
28,0.951,0.9,1.003
29,0.949,0.899,0.999
30,0.962,0.912,1.012
31,0.961,0.912,1.012
32,0.956,0.907,1.005
33,0.958,0.91,1.007
34,0.955,0.904,1.005
35,0.951,0.901,1.001
36,0.951,0.902,0.999
37,0.946,0.897,0.992
38,0.95,0.897,0.998
39,0.956,0.903,1.003
40,0.959,0.907,1.009
41,0.956,0.904,1.005
42,0.953,0.901,1.003
43,0.969,0.917,1.02
44,0.986,0.933,1.037
45,0.989,0.936,1.042
46,0.986,0.929,1.037
47,0.986,0.931,1.035
48,0.991,0.935,1.04
49,0.99,0.936,1.04
50,0.993,0.94,1.042
51,0.99,0.936,1.04
52,0.983,0.929,1.033
53,0.995,0.94,1.046
54,1.003,0.948,1.057
55,0.993,0.938,1.047
56,0.986,0.934,1.039
57,0.981,0.93,1.033
58,0.994,0.942,1.046
59,0.996,0.944,1.047
60,0.993,0.939,1.042
61,0.99,0.938,1.044
62,0.993,0.94,1.046
63,0.99,0.937,1.041
64,1.001,0.948,1.051
65,0.988,0.936,1.041
66,0.973,0.921,1.026
67,0.978,0.926,1.031
68,0.966,0.913,1.02
69,0.977,0.922,1.029
70,0.985,0.931,1.034
71,0.987,0.933,1.035
72,0.993,0.94,1.042
73,1.003,0.952,1.053
74,1.006,0.954,1.055
75,0.998,0.947,1.051
76,1.012,0.96,1.065
77,1.006,0.954,1.059
78,1.02,0.967,1.072
79,1.018,0.967,1.071
80,1.013,0.963,1.068
81,1.014,0.964,1.069
82,1.011,0.962,1.065
83,1.019,0.968,1.073
84,1.021,0.97,1.075
85,1.017,0.967,1.071
86,1.024,0.972,1.08
87,1.026,0.974,1.08
88,1.026,0.973,1.079
89,1.026,0.976,1.081
90,1.027,0.977,1.083
91,1.018,0.966,1.072
92,1.019,0.97,1.074
93,1.027,0.977,1.082
94,1.016,0.965,1.071
95,1.015,0.961,1.071
96,1.012,0.959,1.069
97,1.006,0.954,1.061
98,1.005,0.952,1.061
99,1.001,0.948,1.054
100,0.996,0.945,1.052
101,1.0,0.947,1.054
102,1.006,0.955,1.062
103,1.006,0.957,1.059
104,1.011,0.959,1.066
105,1.015,0.964,1.07
106,1.021,0.971,1.076
107,1.013,0.965,1.069
108,1.004,0.953,1.061
109,1.003,0.951,1.057
110,1.002,0.949,1.055
111,1.008,0.954,1.062
112,0.998,0.945,1.05
113,0.99,0.935,1.042
114,0.993,0.938,1.044
115,1.002,0.947,1.052
116,1.011,0.958,1.061
117,1.009,0.955,1.06
118,1.008,0.955,1.059
119,1.008,0.955,1.06
120,1.001,0.945,1.052
121,1.008,0.955,1.062
122,1.01,0.956,1.062
123,1.001,0.948,1.056
124,1.004,0.952,1.06
125,1.0,0.947,1.054
126,1.006,0.954,1.059
127,1.013,0.962,1.066
128,1.008,0.956,1.058
129,1.011,0.959,1.062
130,0.999,0.947,1.053
131,1.006,0.952,1.057
132,1.007,0.955,1.062
133,1.0,0.948,1.054
134,0.997,0.947,1.051
135,0.988,0.939,1.039
136,0.98,0.929,1.031
137,0.973,0.924,1.024
138,0.976,0.927,1.026
139,0.978,0.93,1.029
140,0.974,0.925,1.027
141,0.963,0.913,1.013
142,0.961,0.913,1.012
143,0.963,0.915,1.013
144,0.964,0.916,1.014
145,0.957,0.908,1.007
146,0.948,0.9,0.998
147,0.952,0.904,1.001
148,0.939,0.891,0.989
149,0.928,0.881,0.975
150,0.933,0.887,0.983
151,0.94,0.893,0.99
152,0.94,0.892,0.989
153,0.945,0.897,0.996
154,0.947,0.9,0.997
155,0.95,0.903,1.001
156,0.949,0.902,1.0
157,0.949,0.901,1.0
158,0.953,0.905,1.004
159,0.954,0.907,1.007
160,0.97,0.921,1.022
161,0.985,0.934,1.036
162,0.983,0.933,1.033
163,0.98,0.931,1.029
164,0.982,0.933,1.037
165,0.988,0.938,1.042
166,0.987,0.939,1.041
167,0.985,0.933,1.038
168,0.987,0.936,1.04
169,0.997,0.947,1.051
170,0.996,0.944,1.049
171,1.001,0.951,1.055
172,0.998,0.946,1.05
173,0.989,0.939,1.042
174,0.987,0.936,1.038
175,0.99,0.939,1.041
176,0.985,0.936,1.034
177,0.983,0.934,1.032
178,0.998,0.947,1.048
179,1.004,0.954,1.054
180,1.004,0.955,1.056
181,1.002,0.954,1.054
182,0.994,0.946,1.045
183,1.003,0.955,1.053
184,0.998,0.947,1.048
185,0.994,0.946,1.044
186,0.989,0.941,1.039
187,0.988,0.941,1.038
188,0.986,0.937,1.035
189,0.989,0.941,1.04
190,0.981,0.933,1.032
191,0.984,0.937,1.035
192,0.992,0.945,1.045
193,0.996,0.947,1.049
194,1.005,0.956,1.058
195,1.003,0.956,1.056
196,0.996,0.947,1.049
197,0.994,0.944,1.049
198,0.997,0.948,1.048
199,0.996,0.949,1.049
200,0.986,0.937,1.036
201,0.983,0.931,1.035
202,0.995,0.941,1.047
203,0.996,0.944,1.048
204,0.999,0.948,1.051
205,1.002,0.949,1.054
206,1.005,0.951,1.055
207,1.007,0.953,1.058
208,1.0,0.944,1.052
209,0.988,0.934,1.039
210,0.993,0.938,1.045
211,1.001,0.949,1.052
212,1.006,0.953,1.056
213,1.008,0.953,1.059
214,1.016,0.963,1.068
215,1.033,0.98,1.084
216,1.039,0.987,1.091
217,1.045,0.992,1.097
218,1.039,0.986,1.09
219,1.043,0.991,1.094
220,1.036,0.986,1.088
221,1.041,0.988,1.095
222,1.051,0.998,1.106
223,1.044,0.994,1.098
224,1.037,0.987,1.091
225,1.031,0.98,1.086
226,1.029,0.978,1.084
227,1.011,0.96,1.065
228,1.013,0.964,1.067
229,1.001,0.951,1.055
230,1.001,0.949,1.052
231,0.996,0.942,1.048
232,0.984,0.933,1.036
233,0.984,0.932,1.037
234,0.973,0.922,1.025
235,0.977,0.926,1.027
236,0.974,0.922,1.025
237,0.972,0.921,1.023
238,0.961,0.911,1.01
239,0.963,0.912,1.015
240,0.963,0.914,1.014
241,0.95,0.9,1.001
242,0.95,0.9,1.0
243,0.956,0.907,1.007
244,0.94,0.89,0.989
245,0.953,0.901,1.003
246,0.953,0.902,1.001
247,0.957,0.908,1.006
248,0.954,0.906,1.004
249,0.955,0.908,1.008
250,0.971,0.923,1.021
251,0.968,0.919,1.019
252,0.97,0.925,1.021
253,0.96,0.913,1.012
254,0.957,0.908,1.011
255,0.953,0.902,1.005
256,0.958,0.909,1.01
257,0.96,0.911,1.011
258,0.968,0.919,1.022
259,0.97,0.923,1.024
260,0.97,0.919,1.022
261,0.969,0.918,1.022
262,0.98,0.929,1.033
263,0.986,0.933,1.038
264,0.995,0.944,1.048
265,0.999,0.948,1.053
266,0.996,0.943,1.05
267,0.993,0.94,1.046
268,1.007,0.955,1.062
269,1.003,0.949,1.055
270,1.013,0.959,1.069
271,1.018,0.964,1.071
272,1.032,0.977,1.083
273,1.034,0.977,1.087
274,1.041,0.988,1.092
275,1.046,0.993,1.099
276,1.041,0.988,1.095
277,1.049,0.997,1.105
278,1.058,0.999,1.113
279,1.059,1.002,1.114
280,1.071,1.017,1.124
281,1.052,0.998,1.105
282,1.06,1.006,1.114
283,1.057,1.002,1.112
284,1.054,1.001,1.108
285,1.058,1.004,1.111
286,1.051,0.999,1.105
287,1.037,0.985,1.092
288,1.031,0.982,1.086
289,1.029,0.977,1.082
290,1.018,0.967,1.07
291,1.011,0.961,1.062
292,1.008,0.956,1.06
293,1.001,0.946,1.052
294,0.988,0.935,1.037
295,0.984,0.933,1.035
296,0.988,0.939,1.038
297,0.993,0.945,1.045
298,0.977,0.927,1.029
299,0.965,0.915,1.016
300,0.976,0.926,1.027
301,0.969,0.92,1.021
302,0.961,0.911,1.012
303,0.945,0.895,0.994
304,0.95,0.899,1.0
305,0.943,0.891,0.993
306,0.947,0.898,0.998
307,0.943,0.893,0.994
308,0.935,0.886,0.983
309,0.937,0.889,0.985
310,0.945,0.897,0.993
311,0.945,0.895,0.992
312,0.946,0.896,0.993
313,0.955,0.906,1.002
314,0.958,0.909,1.007
315,0.961,0.911,1.013
316,0.96,0.912,1.011
317,0.961,0.912,1.013
318,0.967,0.921,1.017
319,0.972,0.925,1.022
320,0.978,0.93,1.03
321,0.978,0.928,1.028
322,0.971,0.922,1.022
323,0.973,0.924,1.022
324,0.968,0.919,1.018
325,0.973,0.923,1.024
326,0.968,0.918,1.015
327,0.972,0.922,1.019
328,0.986,0.933,1.035
329,0.984,0.932,1.035
330,0.992,0.94,1.044
331,0.993,0.943,1.043
332,0.991,0.941,1.04
333,1.002,0.952,1.053
334,0.998,0.948,1.051
335,0.999,0.947,1.053
336,1.008,0.958,1.064
337,1.008,0.959,1.062
338,1.006,0.956,1.057
339,1.005,0.953,1.059
340,1.003,0.954,1.056
341,0.999,0.95,1.054
342,0.992,0.945,1.047
343,0.993,0.94,1.045
344,0.986,0.933,1.038
345,0.978,0.928,1.032
346,0.978,0.93,1.034
347,0.972,0.925,1.026
348,0.975,0.927,1.03
349,0.978,0.928,1.032
350,0.981,0.93,1.035
351,0.968,0.918,1.019
352,0.975,0.923,1.029
353,0.986,0.933,1.039
354,0.98,0.93,1.034
355,0.982,0.929,1.034
356,0.976,0.921,1.03
357,0.987,0.931,1.04
358,0.981,0.927,1.033
359,0.977,0.924,1.03
360,0.981,0.932,1.033
361,0.983,0.933,1.036
362,0.983,0.931,1.036
363,0.986,0.935,1.039
364,0.986,0.938,1.039
365,0.981,0.93,1.032
366,0.996,0.944,1.051
367,0.992,0.94,1.047
368,0.994,0.942,1.048
369,0.991,0.94,1.044
370,0.987,0.938,1.042
371,0.99,0.942,1.045
372,0.997,0.949,1.051
373,0.996,0.948,1.05
374,0.995,0.945,1.05
375,0.995,0.944,1.047
376,1.001,0.952,1.053
377,0.998,0.949,1.049
378,0.996,0.946,1.048
379,0.992,0.939,1.046
380,0.981,0.927,1.036
381,0.979,0.926,1.034
382,0.984,0.931,1.041
383,0.982,0.929,1.039
384,0.985,0.934,1.043
385,0.98,0.929,1.036
386,0.977,0.928,1.03
387,0.979,0.929,1.034
388,0.973,0.922,1.028
389,0.969,0.92,1.024
390,0.968,0.919,1.023
391,0.972,0.925,1.026
392,0.965,0.918,1.016
393,0.956,0.909,1.006
394,0.954,0.906,1.006
395,0.955,0.906,1.007
396,0.956,0.907,1.009
397,0.954,0.903,1.006
398,0.943,0.894,0.994
399,0.953,0.904,1.004
400,0.957,0.909,1.008
401,0.96,0.911,1.013
402,0.969,0.92,1.021
403,0.976,0.924,1.028
404,0.975,0.924,1.022
405,0.978,0.928,1.028
406,0.978,0.929,1.027
407,0.979,0.932,1.028
408,0.986,0.939,1.035
409,0.979,0.932,1.031
410,0.987,0.936,1.038
411,0.986,0.937,1.037
412,0.977,0.927,1.03
413,0.986,0.936,1.041
414,0.981,0.93,1.033
415,0.988,0.937,1.039
416,0.99,0.939,1.043
417,0.991,0.94,1.043
418,0.985,0.935,1.036
419,0.99,0.941,1.042
420,0.992,0.94,1.044
421,0.991,0.938,1.043
422,0.991,0.938,1.04
423,0.986,0.934,1.036
424,1.001,0.948,1.05
425,1.014,0.96,1.066
426,1.008,0.956,1.06
427,1.01,0.957,1.063
428,1.007,0.953,1.059
429,1.001,0.947,1.053
430,0.992,0.939,1.045
431,0.996,0.944,1.049
432,0.986,0.934,1.039
433,0.973,0.922,1.026
434,0.976,0.926,1.03
435,0.968,0.918,1.023
436,0.97,0.919,1.024
437,0.976,0.923,1.029
438,0.971,0.918,1.025
439,0.97,0.917,1.023
440,0.971,0.92,1.024
441,0.963,0.91,1.014
442,0.968,0.917,1.021
443,0.97,0.919,1.025
444,0.969,0.919,1.022
445,0.973,0.923,1.028
446,0.965,0.914,1.02
447,0.967,0.916,1.023
448,0.972,0.923,1.028
449,0.992,0.94,1.047
450,0.985,0.935,1.041
451,0.99,0.94,1.048
452,0.986,0.936,1.042
453,0.978,0.929,1.032
454,0.973,0.924,1.029
455,0.986,0.937,1.042
456,0.98,0.927,1.032
457,0.973,0.922,1.025
458,0.977,0.927,1.028
459,0.981,0.931,1.03
