,average,q0025,q0975
0,0.928,0.865,0.995
1,0.935,0.867,1.001
2,0.948,0.883,1.014
3,0.941,0.876,1.009
4,0.951,0.884,1.017
5,0.942,0.879,1.01
6,0.942,0.879,1.006
7,0.932,0.867,0.997
8,0.928,0.862,0.995
9,0.922,0.855,0.985
10,0.925,0.86,0.988
11,0.915,0.849,0.977
12,0.91,0.847,0.97
13,0.902,0.836,0.964
14,0.908,0.846,0.97
15,0.9,0.835,0.959
16,0.923,0.856,0.986
17,0.921,0.857,0.984
18,0.925,0.855,0.989
19,0.923,0.854,0.99
20,0.921,0.854,0.986
21,0.917,0.848,0.981
22,0.91,0.842,0.976
23,0.915,0.846,0.979
24,0.913,0.846,0.978
25,0.913,0.843,0.977
26,0.922,0.85,0.985
27,0.92,0.848,0.985
28,0.921,0.85,0.985
29,0.925,0.854,0.99
30,0.928,0.859,0.994
31,0.91,0.843,0.973
32,0.907,0.837,0.973
33,0.912,0.842,0.975
34,0.911,0.846,0.977
35,0.906,0.841,0.97
36,0.901,0.839,0.962
37,0.91,0.849,0.972
38,0.917,0.854,0.979
39,0.917,0.854,0.978
40,0.933,0.869,0.997
41,0.916,0.85,0.979
42,0.911,0.846,0.973
43,0.94,0.876,1.002
44,0.938,0.873,1.003
45,0.942,0.876,1.006
46,0.946,0.878,1.01
47,0.951,0.883,1.015
48,0.943,0.879,1.01
49,0.954,0.888,1.022
50,0.959,0.893,1.026
51,0.967,0.902,1.033
52,0.957,0.892,1.023
53,0.957,0.891,1.026
54,0.957,0.891,1.025
55,0.953,0.887,1.02
56,0.941,0.876,1.007
57,0.952,0.885,1.018
58,0.94,0.87,1.007
59,0.938,0.872,1.006
60,0.935,0.867,1.0
61,0.931,0.865,0.997
62,0.942,0.877,1.009
63,0.942,0.878,1.008
64,0.942,0.877,1.008
65,0.947,0.879,1.014
66,0.953,0.885,1.019
67,0.953,0.883,1.017
68,0.958,0.891,1.023
69,0.963,0.897,1.027
70,0.958,0.894,1.02
71,0.969,0.905,1.033
72,0.956,0.888,1.02
73,0.958,0.892,1.021
74,0.956,0.889,1.018
75,0.946,0.882,1.012
76,0.952,0.888,1.019
77,0.942,0.879,1.007
78,0.942,0.877,1.012
79,0.93,0.864,0.998
80,0.925,0.86,0.992
81,0.906,0.841,0.972
82,0.895,0.83,0.959
83,0.889,0.823,0.952
84,0.905,0.838,0.974
85,0.89,0.821,0.955
86,0.895,0.826,0.96
87,0.898,0.83,0.964
88,0.895,0.826,0.962
89,0.882,0.816,0.948
90,0.871,0.803,0.937
91,0.864,0.793,0.927
92,0.88,0.812,0.944
93,0.889,0.818,0.954
94,0.901,0.832,0.966
95,0.905,0.836,0.969
96,0.896,0.83,0.962
97,0.898,0.834,0.964
98,0.884,0.821,0.952
99,0.884,0.817,0.95
100,0.881,0.814,0.947
101,0.879,0.812,0.942
102,0.884,0.819,0.946
103,0.89,0.826,0.956
104,0.894,0.83,0.961
105,0.897,0.835,0.964
106,0.908,0.845,0.978
107,0.901,0.836,0.971
108,0.908,0.845,0.976
109,0.913,0.849,0.982
110,0.896,0.831,0.963
111,0.889,0.824,0.955
112,0.89,0.825,0.958
113,0.907,0.843,0.976
114,0.91,0.844,0.978
115,0.897,0.831,0.967
116,0.898,0.837,0.964
117,0.913,0.851,0.983
118,0.917,0.853,0.987
119,0.922,0.858,0.991
120,0.92,0.856,0.986
121,0.921,0.859,0.987
122,0.927,0.864,0.994
123,0.94,0.875,1.008
124,0.932,0.87,0.998
