,average,q0025,q0975
0,1.047,0.967,1.128
1,1.056,0.976,1.135
2,1.039,0.957,1.121
3,1.039,0.957,1.123
4,1.024,0.945,1.105
5,1.029,0.95,1.11
6,1.036,0.951,1.118
7,1.052,0.971,1.136
8,1.041,0.96,1.124
9,1.029,0.946,1.111
10,1.041,0.958,1.126
11,1.026,0.944,1.108
12,1.021,0.938,1.103
13,1.014,0.932,1.098
14,1.009,0.929,1.09
15,1.001,0.921,1.084
16,1.021,0.94,1.108
17,1.024,0.947,1.107
18,1.017,0.94,1.096
19,1.021,0.943,1.101
20,1.011,0.935,1.091
21,1.012,0.932,1.096
22,1.007,0.928,1.089
23,1.004,0.923,1.088
24,0.994,0.916,1.073
25,1.016,0.933,1.095
26,1.014,0.93,1.095
27,1.004,0.921,1.083
28,1.011,0.929,1.091
29,1.024,0.939,1.105
30,1.026,0.945,1.108
31,1.012,0.932,1.091
32,1.014,0.94,1.094
33,1.007,0.933,1.09
34,1.019,0.945,1.101
35,1.002,0.93,1.082
36,1.001,0.927,1.079
37,1.006,0.93,1.087
38,1.011,0.931,1.096
39,1.016,0.939,1.097
40,1.021,0.943,1.1
41,1.009,0.932,1.086
42,1.012,0.937,1.094
43,1.006,0.927,1.086
44,1.002,0.925,1.085
45,1.001,0.93,1.082
46,0.996,0.922,1.076
47,1.011,0.934,1.094
48,1.016,0.939,1.095
49,1.014,0.935,1.097
50,1.024,0.945,1.104
51,1.014,0.935,1.094
52,0.989,0.909,1.066
53,0.986,0.906,1.063
54,0.989,0.91,1.069
55,0.989,0.91,1.068
56,1.002,0.924,1.082
57,0.996,0.917,1.074
58,1.002,0.923,1.08
59,1.007,0.928,1.086
60,1.016,0.936,1.091
61,0.999,0.922,1.077
62,0.987,0.911,1.067
63,0.981,0.903,1.062
64,0.958,0.884,1.037
65,0.962,0.888,1.039
66,0.967,0.891,1.042
67,0.977,0.901,1.055
68,0.979,0.902,1.056
69,0.994,0.913,1.073
70,0.974,0.894,1.049
71,0.977,0.899,1.055
72,0.961,0.88,1.039
73,0.958,0.877,1.04
74,0.956,0.877,1.033
75,0.936,0.861,1.015
76,0.931,0.857,1.008
77,0.911,0.837,0.988
78,0.908,0.833,0.983
79,0.919,0.846,0.995
80,0.919,0.844,0.994
81,0.939,0.863,1.019
82,0.933,0.856,1.008
83,0.931,0.857,1.009
84,0.923,0.847,1.0
85,0.909,0.834,0.99
86,0.904,0.828,0.98
87,0.906,0.831,0.983
88,0.911,0.837,0.987
89,0.916,0.846,0.991
90,0.918,0.845,0.993
91,0.921,0.847,0.996
92,0.923,0.848,0.997
93,0.918,0.843,0.994
94,0.916,0.841,0.99
95,0.924,0.848,0.996
96,0.918,0.843,0.988
97,0.918,0.84,0.989
98,0.909,0.833,0.985
99,0.913,0.837,0.986
100,0.911,0.837,0.985
101,0.911,0.834,0.984
102,0.916,0.838,0.988
103,0.924,0.845,0.996
104,0.906,0.828,0.977
