,average,q0025,q0975
0,0.862,0.75,0.976
1,0.85,0.733,0.96
2,0.871,0.753,0.984
3,0.9,0.786,1.013
4,0.9,0.785,1.018
5,0.921,0.806,1.043
6,0.912,0.799,1.032
7,0.896,0.779,1.012
8,0.9,0.783,1.017
9,0.896,0.778,1.012
10,0.912,0.792,1.031
11,0.904,0.783,1.025
12,0.887,0.77,1.009
13,0.883,0.77,1.005
14,0.9,0.786,1.021
15,0.912,0.795,1.03
16,0.896,0.778,1.017
17,0.904,0.787,1.026
18,0.929,0.808,1.042
19,0.925,0.799,1.037
20,0.917,0.794,1.03
21,0.917,0.791,1.03
22,0.946,0.816,1.06
23,0.958,0.826,1.069
24,0.958,0.825,1.068
25,0.921,0.799,1.033
26,0.933,0.807,1.054
27,0.958,0.833,1.08
28,0.946,0.817,1.069
29,0.942,0.82,1.066
30,0.963,0.838,1.087
31,0.992,0.866,1.121
32,1.0,0.875,1.13
33,1.021,0.894,1.148
34,1.0,0.871,1.126
35,0.979,0.851,1.101
36,1.017,0.886,1.144
37,1.017,0.891,1.142
38,1.034,0.908,1.162
39,1.021,0.896,1.154
40,1.005,0.879,1.137
41,1.03,0.904,1.156
42,1.013,0.891,1.144
43,1.005,0.879,1.138
44,1.009,0.888,1.135
45,0.992,0.875,1.123
46,0.971,0.851,1.101
47,0.942,0.833,1.071
48,0.95,0.841,1.084
49,0.942,0.833,1.077
50,0.908,0.8,1.038
51,0.862,0.759,0.984
52,0.871,0.761,0.999
53,0.862,0.753,0.992
54,0.837,0.728,0.967
55,0.833,0.724,0.963
56,0.829,0.716,0.959
57,0.829,0.717,0.955
58,0.808,0.699,0.926
59,0.804,0.699,0.922
60,0.77,0.666,0.883
61,0.791,0.686,0.915
62,0.787,0.679,0.909
63,0.753,0.644,0.87
64,0.732,0.627,0.846
65,0.741,0.632,0.858
66,0.749,0.645,0.866
67,0.745,0.641,0.857
68,0.753,0.649,0.861
69,0.787,0.682,0.9
70,0.804,0.695,0.913
71,0.816,0.707,0.929
72,0.825,0.716,0.938
73,0.804,0.694,0.921
74,0.825,0.715,0.946
75,0.825,0.719,0.943
76,0.85,0.737,0.974
77,0.85,0.737,0.974
78,0.858,0.744,0.979
79,0.879,0.766,1.0
80,0.866,0.754,0.988
81,0.866,0.758,0.988
82,0.875,0.765,1.001
83,0.904,0.792,1.027
84,0.921,0.808,1.041
85,0.938,0.821,1.066
86,0.938,0.815,1.068
87,0.963,0.841,1.09
88,0.988,0.864,1.113
89,0.992,0.87,1.123
90,0.988,0.864,1.114
91,0.988,0.864,1.117
92,0.971,0.841,1.097
93,0.95,0.824,1.08
94,0.921,0.792,1.046
95,0.933,0.809,1.055
96,0.917,0.798,1.038
97,0.925,0.8,1.05
98,0.929,0.807,1.054
99,0.933,0.804,1.059
100,0.917,0.791,1.039
101,0.917,0.792,1.038
102,0.912,0.787,1.035
103,0.904,0.782,1.025
104,0.879,0.753,0.997
105,0.883,0.754,1.009
106,0.896,0.766,1.021
107,0.862,0.737,0.983
108,0.854,0.733,0.974
109,0.854,0.74,0.975
110,0.841,0.729,0.96
111,0.871,0.754,0.993
112,0.896,0.774,1.02
113,0.917,0.798,1.042
114,0.908,0.783,1.04
115,0.921,0.797,1.05
116,0.942,0.816,1.068
117,0.963,0.832,1.092
118,0.963,0.834,1.096
119,0.963,0.834,1.093
120,0.946,0.815,1.075
121,0.963,0.834,1.093
122,0.971,0.844,1.104
123,0.967,0.842,1.098
124,0.984,0.858,1.113
125,0.992,0.866,1.122
126,1.03,0.907,1.16
127,1.051,0.92,1.176
128,1.046,0.916,1.172
129,1.063,0.938,1.189
130,1.055,0.928,1.181
131,1.034,0.909,1.16
132,1.03,0.904,1.152
133,1.021,0.892,1.143
134,1.017,0.886,1.142
135,1.038,0.908,1.166
136,1.0,0.871,1.126
137,1.0,0.874,1.119
138,0.963,0.838,1.085
139,0.967,0.841,1.092
140,0.946,0.817,1.069
141,0.921,0.803,1.042
142,0.929,0.808,1.051
143,0.933,0.813,1.058
144,0.938,0.813,1.06
145,0.921,0.804,1.038
146,0.896,0.778,1.006
147,0.9,0.787,1.013
148,0.879,0.763,0.992
149,0.862,0.749,0.976
150,0.825,0.715,0.931
