,average,q0025,q0975
0,1.008,0.887,1.138
1,0.984,0.866,1.113
2,0.96,0.839,1.089
3,0.944,0.823,1.069
4,0.92,0.803,1.045
5,0.916,0.792,1.045
6,0.904,0.787,1.033
7,0.912,0.794,1.036
8,0.908,0.792,1.029
9,0.876,0.76,0.993
10,0.851,0.735,0.969
11,0.859,0.743,0.977
12,0.851,0.731,0.967
13,0.872,0.748,0.993
14,0.847,0.723,0.965
15,0.843,0.722,0.959
16,0.843,0.723,0.96
17,0.819,0.698,0.935
18,0.835,0.714,0.951
19,0.827,0.711,0.943
20,0.811,0.694,0.921
21,0.831,0.711,0.94
22,0.819,0.703,0.927
23,0.807,0.694,0.913
24,0.795,0.686,0.896
25,0.795,0.678,0.903
26,0.803,0.69,0.906
27,0.803,0.686,0.904
28,0.827,0.706,0.932
29,0.799,0.686,0.904
30,0.815,0.706,0.92
31,0.811,0.706,0.919
32,0.819,0.706,0.927
33,0.823,0.71,0.928
34,0.819,0.713,0.924
35,0.791,0.683,0.896
36,0.779,0.675,0.879
37,0.815,0.711,0.927
38,0.827,0.722,0.936
39,0.831,0.722,0.941
40,0.876,0.766,0.989
41,0.867,0.759,0.984
42,0.888,0.779,1.008
43,0.924,0.811,1.044
44,0.956,0.843,1.073
45,0.964,0.847,1.082
46,0.932,0.811,1.053
47,0.932,0.811,1.056
48,0.948,0.827,1.076
49,0.952,0.829,1.079
50,0.964,0.837,1.081
51,0.948,0.827,1.065
52,0.984,0.857,1.104
53,1.008,0.88,1.125
54,1.012,0.883,1.133
55,1.036,0.904,1.16
56,1.032,0.904,1.157
57,1.06,0.928,1.182
58,1.024,0.896,1.141
59,1.016,0.895,1.133
60,1.008,0.884,1.128
61,0.996,0.878,1.119
62,1.004,0.887,1.126
63,1.008,0.892,1.142
64,0.972,0.852,1.101
65,0.952,0.84,1.08
66,0.956,0.844,1.081
67,0.94,0.827,1.064
68,0.944,0.831,1.069
69,0.944,0.832,1.071
70,0.908,0.788,1.028
71,0.908,0.794,1.032
72,0.896,0.784,1.025
73,0.863,0.751,0.99
74,0.872,0.76,1.0
75,0.859,0.751,0.988
76,0.843,0.734,0.969
77,0.863,0.755,0.992
78,0.855,0.743,0.979
79,0.831,0.715,0.949
80,0.803,0.686,0.923
81,0.799,0.687,0.916
82,0.783,0.674,0.903
83,0.767,0.655,0.88
84,0.763,0.654,0.88
85,0.775,0.67,0.895
86,0.775,0.67,0.892
87,0.759,0.655,0.872
88,0.775,0.668,0.887
89,0.767,0.664,0.879
90,0.795,0.691,0.908
91,0.763,0.662,0.88
92,0.787,0.682,0.903
93,0.803,0.7,0.916
94,0.763,0.658,0.871
95,0.759,0.659,0.875
96,0.767,0.667,0.875
97,0.755,0.655,0.863
98,0.767,0.662,0.875
99,0.763,0.651,0.872
100,0.787,0.676,0.899
101,0.791,0.679,0.905
102,0.787,0.675,0.895
103,0.799,0.691,0.91
104,0.823,0.708,0.931
105,0.863,0.751,0.981
106,0.884,0.779,1.006
107,0.88,0.774,0.997
108,0.888,0.779,1.012
109,0.888,0.779,1.011
110,0.884,0.775,1.001
111,0.9,0.788,1.019
112,0.916,0.807,1.033
113,0.932,0.816,1.057
114,0.94,0.823,1.064
115,0.952,0.835,1.075
116,0.948,0.832,1.072
117,0.956,0.84,1.08
118,0.968,0.851,1.095
119,0.98,0.863,1.104
120,0.972,0.852,1.095
121,1.012,0.889,1.134
122,1.032,0.909,1.152
123,1.04,0.916,1.163
124,1.04,0.915,1.16
125,1.044,0.921,1.168
126,1.056,0.936,1.185
127,1.072,0.954,1.205
128,1.084,0.966,1.213
129,1.048,0.925,1.172
130,1.1,0.977,1.23
131,1.116,0.989,1.244
132,1.112,0.988,1.245
133,1.121,0.994,1.255
134,1.149,1.022,1.288
135,1.129,1.004,1.258
136,1.125,0.997,1.257
137,1.108,0.979,1.244
138,1.1,0.972,1.237
139,1.068,0.943,1.201
140,1.044,0.921,1.174
141,1.056,0.929,1.182
142,1.056,0.936,1.187
143,1.076,0.955,1.205
144,1.052,0.926,1.185
145,1.056,0.931,1.197
146,1.024,0.895,1.156
147,1.016,0.888,1.152
148,1.0,0.875,1.137
149,1.008,0.881,1.138
150,0.992,0.871,1.128
151,0.98,0.855,1.109
152,0.96,0.836,1.091
153,0.964,0.847,1.095
154,0.968,0.855,1.104
155,0.924,0.807,1.048
156,0.912,0.8,1.032
157,0.884,0.772,1.006
158,0.867,0.756,0.988
159,0.884,0.77,1.003
160,0.892,0.774,1.013
161,0.92,0.799,1.052
162,0.924,0.803,1.048
163,0.932,0.811,1.052
164,0.992,0.871,1.118
165,1.004,0.884,1.125
166,1.012,0.884,1.135
167,1.016,0.896,1.132
168,1.032,0.908,1.152
169,1.024,0.9,1.14
170,1.024,0.9,1.148
171,1.02,0.895,1.144
172,1.012,0.888,1.132
173,1.02,0.899,1.143
174,1.036,0.915,1.159
175,1.04,0.919,1.163
176,1.016,0.896,1.137
177,1.036,0.919,1.162
178,1.012,0.891,1.136
179,1.012,0.893,1.137
180,1.012,0.898,1.137
181,0.98,0.86,1.106
182,0.972,0.862,1.093
183,0.968,0.851,1.087
184,0.996,0.877,1.124
185,0.968,0.855,1.094
186,0.932,0.812,1.056
187,0.9,0.775,1.021
188,0.892,0.774,1.008
189,0.888,0.762,1.008
190,0.863,0.744,0.98
191,0.867,0.748,0.976
192,0.859,0.744,0.972
193,0.855,0.739,0.968
194,0.867,0.751,0.985
195,0.855,0.739,0.975
196,0.843,0.722,0.952
197,0.839,0.722,0.948
198,0.839,0.723,0.949
199,0.859,0.741,0.968
200,0.847,0.724,0.956
201,0.876,0.754,0.991
202,0.92,0.8,1.037
203,0.904,0.784,1.024
204,0.892,0.772,1.008
205,0.896,0.784,1.012
206,0.932,0.819,1.055
207,0.956,0.839,1.076
208,0.952,0.83,1.072
209,0.956,0.836,1.084
210,0.972,0.854,1.098
211,0.976,0.856,1.1
212,0.968,0.848,1.093
213,0.98,0.86,1.103
214,1.004,0.887,1.128
215,0.98,0.86,1.105
216,0.98,0.859,1.107
217,0.964,0.836,1.092
218,0.948,0.822,1.073
219,0.928,0.807,1.052
220,0.92,0.799,1.046
221,0.928,0.806,1.049
222,0.964,0.835,1.092
223,0.964,0.843,1.081
224,0.948,0.827,1.061
225,0.936,0.809,1.054
226,0.932,0.806,1.055
227,0.896,0.776,1.02
228,0.908,0.787,1.037
229,0.9,0.78,1.024
230,0.88,0.763,1.0
231,0.851,0.735,0.965
232,0.827,0.711,0.943
233,0.815,0.699,0.933
234,0.831,0.714,0.951
235,0.851,0.726,0.965
236,0.847,0.719,0.963
237,0.847,0.726,0.959
238,0.859,0.742,0.975
239,0.896,0.766,1.013
240,0.92,0.792,1.037
241,0.928,0.799,1.049
242,0.912,0.78,1.031
243,0.912,0.783,1.033
244,0.916,0.791,1.032
245,0.928,0.799,1.049
246,0.952,0.827,1.068
247,0.952,0.827,1.065
248,0.948,0.823,1.063
249,0.96,0.836,1.077
250,0.96,0.839,1.077
251,0.976,0.856,1.089
252,1.016,0.899,1.133
253,1.02,0.901,1.137
254,1.024,0.906,1.142
255,1.024,0.904,1.144
256,0.992,0.875,1.108
257,1.004,0.883,1.12
258,0.996,0.878,1.117
259,0.98,0.868,1.101
260,0.972,0.86,1.102
261,0.988,0.875,1.111
262,0.992,0.877,1.116
263,0.968,0.855,1.095
264,0.948,0.836,1.072
265,0.948,0.835,1.074
266,0.916,0.8,1.046
267,0.888,0.778,1.012
268,0.928,0.815,1.055
269,0.916,0.807,1.044
270,0.944,0.832,1.077
271,0.932,0.82,1.063
272,0.928,0.814,1.051
273,0.94,0.827,1.061
274,0.92,0.803,1.042
275,0.928,0.811,1.053
276,0.94,0.824,1.062
277,0.976,0.848,1.102
278,0.996,0.868,1.116
279,1.02,0.895,1.149
280,1.016,0.887,1.141
281,1.004,0.88,1.129
282,1.04,0.908,1.169
283,1.056,0.92,1.185
284,1.044,0.915,1.172
285,1.04,0.915,1.176
286,1.04,0.915,1.172
287,1.044,0.92,1.179
288,1.052,0.931,1.182
289,1.04,0.918,1.172
290,1.068,0.949,1.2
291,1.064,0.95,1.198
292,1.044,0.924,1.176
293,1.032,0.914,1.164
294,1.024,0.915,1.149
295,1.004,0.896,1.127
296,0.988,0.875,1.112
297,0.956,0.843,1.072
298,0.972,0.86,1.092
299,0.956,0.851,1.076
300,0.956,0.847,1.08
301,0.944,0.835,1.064
302,0.952,0.841,1.077
303,0.972,0.859,1.101
304,0.984,0.868,1.116
305,0.98,0.863,1.109
306,0.944,0.827,1.079
307,0.944,0.831,1.073
308,0.94,0.827,1.068
309,0.924,0.81,1.048
310,0.944,0.828,1.066
311,0.94,0.826,1.065
312,0.916,0.799,1.033
313,0.92,0.806,1.037
314,0.916,0.803,1.031
315,0.896,0.782,1.004
316,0.912,0.803,1.027
317,0.924,0.811,1.037
318,0.928,0.811,1.042
319,0.912,0.791,1.023
320,0.944,0.823,1.057
321,0.964,0.843,1.077
322,0.952,0.828,1.066
323,0.94,0.819,1.057
324,0.912,0.79,1.029
325,0.884,0.767,0.997
326,0.872,0.756,0.984
327,0.867,0.759,0.98
328,0.863,0.755,0.979
329,0.859,0.746,0.974
330,0.851,0.743,0.967
331,0.847,0.735,0.965
332,0.872,0.754,0.99
333,0.916,0.799,1.036
334,0.92,0.802,1.037
335,0.928,0.807,1.043
336,0.932,0.807,1.056
337,0.932,0.811,1.053
338,0.912,0.795,1.032
339,0.912,0.794,1.033
340,0.96,0.84,1.089
341,0.98,0.86,1.109
342,0.964,0.844,1.092
343,0.972,0.859,1.104
344,0.972,0.855,1.101
345,0.96,0.843,1.087
346,0.956,0.838,1.081
347,0.988,0.872,1.116
348,0.968,0.848,1.092
349,0.992,0.871,1.116
350,0.984,0.865,1.106
351,1.012,0.888,1.133
352,1.044,0.923,1.173
353,1.056,0.932,1.186
354,1.068,0.939,1.203
355,1.072,0.939,1.208
356,1.084,0.952,1.222
357,1.092,0.96,1.227
358,1.092,0.96,1.224
359,1.092,0.967,1.222
360,1.104,0.979,1.237
361,1.088,0.963,1.225
362,1.1,0.972,1.226
363,1.088,0.96,1.225
364,1.084,0.96,1.214
365,1.052,0.931,1.177
366,1.024,0.907,1.142
367,1.024,0.907,1.142
368,1.02,0.9,1.141
369,1.036,0.916,1.156
370,1.044,0.925,1.169
371,1.076,0.951,1.204
372,1.068,0.945,1.198
373,1.08,0.955,1.208
374,1.076,0.952,1.2
375,1.088,0.96,1.212
376,1.064,0.94,1.191
377,1.06,0.944,1.181
378,1.056,0.939,1.177
379,1.02,0.904,1.141
380,1.008,0.892,1.135
381,0.984,0.868,1.112
382,0.996,0.88,1.123
383,1.008,0.892,1.135
384,1.004,0.891,1.13
385,1.02,0.904,1.145
386,1.04,0.916,1.168
387,1.044,0.923,1.166
388,1.04,0.919,1.167
389,1.052,0.923,1.176
390,1.028,0.9,1.15
391,0.992,0.876,1.115
392,0.976,0.855,1.099
393,0.992,0.872,1.112
394,0.964,0.852,1.087
395,0.964,0.855,1.092
396,0.964,0.848,1.092
397,0.952,0.836,1.079
398,0.96,0.847,1.085
399,0.948,0.828,1.076
400,0.94,0.826,1.065
401,0.956,0.839,1.084
402,0.984,0.869,1.112
403,0.952,0.836,1.069
404,0.96,0.84,1.081
405,0.992,0.87,1.12
406,0.98,0.866,1.104
407,0.976,0.86,1.105
408,0.94,0.824,1.067
409,0.964,0.848,1.088
410,0.948,0.827,1.074
411,0.952,0.836,1.075
412,0.936,0.819,1.056
413,0.936,0.818,1.059
414,0.964,0.839,1.088
415,0.952,0.828,1.073
416,0.948,0.823,1.068
417,0.956,0.828,1.08
418,0.952,0.828,1.077
419,0.96,0.832,1.088
420,0.984,0.859,1.112
421,0.992,0.868,1.12
422,1.004,0.876,1.134
423,1.048,0.916,1.178
424,1.0,0.875,1.132
425,1.012,0.88,1.143
426,1.004,0.876,1.14
427,0.976,0.847,1.108
428,0.968,0.84,1.103
429,0.948,0.828,1.084
430,0.928,0.804,1.06
431,0.932,0.811,1.061
432,0.928,0.811,1.056
433,0.896,0.776,1.021
434,0.888,0.767,1.012
435,0.88,0.758,1.004
436,0.888,0.767,1.012
437,0.896,0.769,1.017
438,0.904,0.778,1.024
439,0.892,0.775,1.008
440,0.888,0.767,1.008
441,0.847,0.735,0.961
442,0.884,0.767,0.993
443,0.9,0.783,1.016
444,0.896,0.779,1.012
445,0.912,0.795,1.028
446,0.892,0.772,1.008
447,0.92,0.796,1.04
448,0.924,0.803,1.045
449,0.908,0.788,1.025
450,0.924,0.802,1.048
451,0.92,0.796,1.039
452,0.932,0.811,1.047
453,0.948,0.824,1.065
454,0.96,0.834,1.076
455,0.984,0.851,1.099
456,1.004,0.871,1.117
457,1.016,0.892,1.136
458,1.028,0.901,1.148
459,1.032,0.9,1.154
460,1.048,0.912,1.169
461,1.052,0.924,1.174
462,1.044,0.914,1.163
463,1.048,0.919,1.17
464,1.044,0.911,1.174
465,1.04,0.916,1.171
466,1.028,0.899,1.154
467,1.008,0.883,1.138
468,0.992,0.87,1.121
469,1.004,0.879,1.13
470,1.02,0.894,1.14
471,0.996,0.871,1.119
472,1.024,0.898,1.144
473,1.036,0.907,1.155
474,1.016,0.892,1.129
475,1.008,0.884,1.128
476,1.012,0.884,1.131
477,1.024,0.897,1.138
478,1.04,0.911,1.158
479,1.028,0.904,1.148
480,1.016,0.895,1.137
481,0.988,0.87,1.104
482,0.984,0.859,1.109
483,0.976,0.855,1.098
484,0.964,0.84,1.084
485,0.96,0.839,1.084
486,0.96,0.835,1.081
487,0.952,0.824,1.067
488,0.932,0.806,1.049
489,0.944,0.827,1.064
490,0.948,0.824,1.068
491,0.952,0.832,1.069
492,0.972,0.85,1.092
493,0.972,0.85,1.088
494,0.976,0.852,1.093
495,0.968,0.843,1.092
496,0.96,0.832,1.084
497,0.932,0.811,1.059
498,0.932,0.804,1.061
499,0.912,0.795,1.031
500,0.924,0.8,1.053
501,0.92,0.798,1.047
502,0.896,0.778,1.025
503,0.884,0.771,1.011
504,0.884,0.765,1.004
505,0.876,0.763,0.996
506,0.88,0.765,1.005
507,0.863,0.751,0.984
508,0.835,0.728,0.952
509,0.851,0.742,0.968
510,0.843,0.738,0.96
511,0.843,0.735,0.96
512,0.859,0.746,0.975
513,0.859,0.746,0.974
514,0.855,0.746,0.973
515,0.855,0.743,0.971
516,0.876,0.764,0.995
517,0.908,0.795,1.028
518,0.928,0.819,1.049
519,0.928,0.815,1.055
520,0.92,0.801,1.044
521,0.936,0.823,1.064
522,0.928,0.822,1.056
523,0.912,0.799,1.037
524,0.932,0.816,1.053
525,0.96,0.845,1.085
526,0.96,0.847,1.084
527,1.016,0.892,1.144
528,1.048,0.927,1.174
529,1.076,0.957,1.209
530,1.084,0.964,1.22
531,1.088,0.97,1.226
532,1.088,0.964,1.226
533,1.137,1.016,1.286
534,1.112,0.984,1.257
535,1.116,0.987,1.258
536,1.116,0.984,1.253
537,1.125,0.999,1.26
538,1.116,0.988,1.254
539,1.1,0.974,1.23
540,1.084,0.952,1.213
541,1.076,0.948,1.206
542,1.076,0.948,1.208
543,1.068,0.943,1.2
544,1.08,0.951,1.212
545,1.08,0.952,1.214
546,1.08,0.951,1.212
547,1.056,0.935,1.188
548,1.032,0.911,1.157
549,0.992,0.875,1.119
550,0.952,0.836,1.074
551,0.948,0.83,1.069
552,0.944,0.826,1.061
553,0.952,0.831,1.07
554,0.932,0.811,1.049
555,0.932,0.815,1.045
556,0.924,0.808,1.037
557,0.9,0.787,1.02
558,0.892,0.775,1.015
559,0.855,0.747,0.979
560,0.823,0.714,0.939
561,0.835,0.727,0.957
562,0.831,0.722,0.949
563,0.827,0.715,0.944
564,0.859,0.75,0.98
565,0.847,0.739,0.967
566,0.847,0.735,0.967
567,0.839,0.727,0.952
568,0.835,0.726,0.951
569,0.855,0.743,0.975
570,0.872,0.755,0.992
571,0.851,0.742,0.968
572,0.888,0.776,1.004
573,0.896,0.782,1.012
574,0.888,0.775,1.007
575,0.92,0.799,1.039
576,0.92,0.8,1.04
577,0.944,0.819,1.06
578,0.972,0.85,1.093
579,0.972,0.848,1.095
580,0.98,0.856,1.096
581,1.008,0.889,1.124
582,1.0,0.876,1.116
583,1.012,0.892,1.13
584,0.976,0.861,1.097
585,0.964,0.84,1.083
586,0.988,0.863,1.112
587,1.008,0.883,1.126
588,1.028,0.904,1.153
589,1.04,0.913,1.17
590,1.048,0.92,1.176
591,1.02,0.892,1.145
592,1.02,0.899,1.155
593,1.064,0.936,1.201
594,1.08,0.951,1.212
595,1.056,0.928,1.185
596,1.08,0.951,1.213
597,1.068,0.944,1.196
598,1.056,0.926,1.181
599,1.02,0.889,1.149
600,1.02,0.891,1.155
601,1.008,0.879,1.132
602,0.988,0.86,1.109
603,0.98,0.85,1.107
604,0.948,0.823,1.074
605,0.96,0.835,1.084
606,0.948,0.828,1.078
607,0.984,0.86,1.105
608,0.956,0.828,1.072
609,0.956,0.835,1.073
610,0.952,0.831,1.061
611,0.944,0.823,1.057
612,0.964,0.843,1.08
613,0.952,0.831,1.056
614,0.968,0.839,1.076
615,0.968,0.84,1.072
616,0.976,0.856,1.092
617,0.984,0.86,1.096
618,0.976,0.855,1.086
619,0.996,0.876,1.112
620,0.972,0.851,1.087
621,0.972,0.855,1.085
622,0.968,0.848,1.089
623,0.976,0.854,1.093
624,1.008,0.887,1.13
625,0.992,0.871,1.117
626,1.024,0.904,1.148
627,1.052,0.935,1.181
628,1.04,0.916,1.172
629,1.0,0.877,1.128
630,1.012,0.895,1.14
631,1.024,0.903,1.148
632,1.028,0.9,1.152
633,0.992,0.869,1.116
634,0.98,0.859,1.103
635,0.948,0.83,1.068
636,0.972,0.851,1.089
637,0.992,0.868,1.113
638,0.976,0.855,1.1
639,0.972,0.856,1.092
640,0.968,0.847,1.092
641,0.976,0.853,1.098
642,0.94,0.826,1.06
643,0.976,0.86,1.097
644,0.96,0.848,1.078
645,0.992,0.875,1.12
646,0.988,0.868,1.114
647,0.96,0.847,1.084
648,0.952,0.836,1.08
649,0.984,0.861,1.109
650,1.012,0.89,1.14
651,1.02,0.895,1.148
652,1.008,0.88,1.137
653,0.992,0.864,1.12
654,0.98,0.852,1.104
655,0.988,0.864,1.113
656,0.98,0.855,1.102
657,0.94,0.816,1.06
658,0.94,0.814,1.06
659,0.94,0.818,1.057
660,0.936,0.808,1.049
661,0.908,0.791,1.024
662,0.884,0.767,1.0
663,0.867,0.75,0.98
664,0.872,0.746,0.983
665,0.867,0.75,0.977
666,0.855,0.735,0.967
667,0.88,0.759,0.992
668,0.912,0.783,1.025
669,0.904,0.779,1.016
670,0.9,0.779,1.007
671,0.92,0.792,1.028
672,0.916,0.792,1.024
673,0.916,0.796,1.028
674,0.884,0.767,0.995
675,0.863,0.755,0.968
676,0.847,0.739,0.952
677,0.847,0.736,0.952
678,0.839,0.727,0.948
679,0.863,0.754,0.976
680,0.884,0.775,1.0
681,0.9,0.787,1.02
682,0.904,0.784,1.021
683,0.936,0.818,1.06
684,0.952,0.831,1.076
685,0.94,0.82,1.065
686,0.96,0.842,1.085
687,0.976,0.852,1.1
688,0.972,0.852,1.102
689,1.02,0.9,1.153
690,1.048,0.924,1.177
691,1.06,0.94,1.197
692,1.06,0.936,1.196
693,1.104,0.975,1.243
694,1.104,0.977,1.241
695,1.1,0.969,1.237
696,1.104,0.97,1.24
697,1.125,0.995,1.258
698,1.108,0.981,1.253
699,1.149,1.02,1.286
700,1.129,0.997,1.269
701,1.145,1.015,1.278
