,average,q0025,q0975
0,0.826,0.772,0.882
1,0.833,0.781,0.89
2,0.83,0.778,0.889
3,0.837,0.785,0.896
4,0.832,0.78,0.889
5,0.822,0.769,0.88
6,0.819,0.767,0.877
7,0.812,0.757,0.868
8,0.819,0.765,0.875
9,0.821,0.767,0.878
10,0.819,0.763,0.876
11,0.823,0.771,0.882
12,0.835,0.781,0.893
13,0.829,0.775,0.887
14,0.819,0.763,0.876
15,0.817,0.763,0.873
16,0.828,0.773,0.883
17,0.825,0.77,0.881
18,0.824,0.772,0.88
19,0.823,0.77,0.879
20,0.831,0.778,0.89
21,0.829,0.777,0.889
22,0.819,0.769,0.877
23,0.817,0.762,0.877
24,0.823,0.77,0.882
25,0.822,0.771,0.882
26,0.814,0.762,0.871
27,0.813,0.763,0.869
28,0.824,0.77,0.878
29,0.825,0.772,0.88
30,0.831,0.778,0.888
31,0.829,0.774,0.885
32,0.835,0.777,0.89
33,0.818,0.759,0.872
34,0.816,0.759,0.871
35,0.827,0.77,0.878
36,0.823,0.766,0.876
37,0.829,0.775,0.884
38,0.824,0.77,0.877
39,0.83,0.775,0.886
40,0.838,0.78,0.894
41,0.833,0.776,0.888
42,0.835,0.78,0.892
43,0.838,0.782,0.896
44,0.845,0.791,0.902
45,0.841,0.783,0.901
46,0.83,0.774,0.888
47,0.819,0.766,0.875
48,0.82,0.768,0.875
49,0.828,0.776,0.886
50,0.838,0.781,0.896
51,0.847,0.793,0.907
52,0.856,0.802,0.916
53,0.845,0.79,0.905
54,0.836,0.779,0.891
55,0.838,0.784,0.896
56,0.847,0.795,0.906
57,0.849,0.797,0.91
58,0.861,0.809,0.922
59,0.865,0.812,0.924
60,0.867,0.812,0.928
61,0.867,0.813,0.931
62,0.871,0.817,0.932
63,0.872,0.819,0.939
64,0.876,0.822,0.94
65,0.885,0.833,0.949
66,0.883,0.83,0.947
67,0.89,0.838,0.951
68,0.9,0.845,0.96
69,0.895,0.838,0.955
70,0.886,0.831,0.945
71,0.892,0.836,0.953
72,0.891,0.838,0.95
73,0.892,0.838,0.951
74,0.888,0.835,0.944
75,0.888,0.832,0.944
76,0.883,0.827,0.939
77,0.884,0.827,0.938
78,0.88,0.823,0.934
79,0.871,0.815,0.924
80,0.858,0.804,0.912
81,0.856,0.803,0.913
82,0.862,0.809,0.913
83,0.863,0.809,0.914
84,0.849,0.796,0.9
85,0.843,0.79,0.895
86,0.841,0.786,0.891
87,0.832,0.778,0.885
88,0.828,0.773,0.881
89,0.826,0.77,0.881
90,0.837,0.781,0.891
91,0.844,0.788,0.9
92,0.837,0.782,0.892
93,0.828,0.774,0.884
94,0.83,0.774,0.887
95,0.842,0.788,0.899
96,0.854,0.8,0.91
97,0.866,0.811,0.921
98,0.871,0.815,0.927
99,0.874,0.817,0.931
100,0.867,0.811,0.923
101,0.867,0.812,0.923
102,0.864,0.811,0.923
103,0.879,0.824,0.94
104,0.873,0.818,0.932
105,0.876,0.82,0.934
106,0.886,0.829,0.944
107,0.899,0.843,0.955
108,0.901,0.845,0.957
109,0.89,0.837,0.947
110,0.88,0.826,0.934
111,0.882,0.829,0.939
112,0.877,0.821,0.931
113,0.877,0.819,0.931
114,0.876,0.817,0.929
115,0.883,0.826,0.938
116,0.88,0.824,0.934
117,0.877,0.822,0.929
118,0.876,0.82,0.927
119,0.89,0.834,0.943
120,0.885,0.828,0.939
121,0.887,0.831,0.94
122,0.883,0.826,0.936
123,0.88,0.825,0.932
124,0.879,0.823,0.932
125,0.867,0.814,0.918
126,0.874,0.819,0.925
127,0.871,0.814,0.922
128,0.862,0.807,0.914
129,0.863,0.808,0.918
130,0.861,0.808,0.918
131,0.863,0.81,0.921
132,0.854,0.801,0.912
133,0.842,0.792,0.896
134,0.831,0.78,0.887
135,0.833,0.783,0.889
136,0.852,0.8,0.908
137,0.862,0.808,0.918
138,0.869,0.813,0.925
139,0.876,0.822,0.934
140,0.891,0.834,0.95
141,0.89,0.836,0.946
142,0.879,0.826,0.934
143,0.879,0.827,0.934
144,0.874,0.819,0.928
145,0.874,0.82,0.927
146,0.87,0.812,0.923
147,0.87,0.812,0.922
148,0.86,0.807,0.914
149,0.863,0.807,0.916
150,0.851,0.796,0.902
151,0.844,0.787,0.896
152,0.844,0.789,0.897
153,0.839,0.784,0.892
154,0.833,0.781,0.888
155,0.825,0.772,0.88
156,0.83,0.775,0.888
157,0.832,0.781,0.887
158,0.842,0.787,0.896
159,0.843,0.791,0.899
160,0.845,0.793,0.902
161,0.849,0.795,0.907
162,0.855,0.8,0.911
163,0.866,0.812,0.923
164,0.877,0.822,0.933
165,0.883,0.824,0.937
166,0.881,0.824,0.941
167,0.878,0.823,0.937
168,0.871,0.817,0.929
169,0.866,0.81,0.923
170,0.87,0.815,0.929
171,0.88,0.823,0.939
172,0.877,0.822,0.934
173,0.866,0.812,0.925
174,0.862,0.805,0.919
175,0.861,0.806,0.917
176,0.868,0.814,0.924
177,0.877,0.821,0.932
178,0.885,0.829,0.94
179,0.894,0.838,0.947
180,0.891,0.834,0.945
181,0.903,0.849,0.959
182,0.903,0.849,0.957
183,0.914,0.86,0.969
184,0.926,0.87,0.98
185,0.916,0.862,0.972
186,0.914,0.859,0.969
187,0.911,0.854,0.968
188,0.913,0.858,0.967
189,0.921,0.863,0.977
190,0.928,0.871,0.983
191,0.916,0.86,0.971
192,0.918,0.862,0.973
193,0.919,0.863,0.974
194,0.919,0.865,0.972
195,0.924,0.867,0.976
196,0.933,0.877,0.985
197,0.935,0.878,0.988
198,0.939,0.881,0.989
199,0.939,0.884,0.993
200,0.939,0.887,0.994
201,0.937,0.882,0.993
202,0.934,0.882,0.989
203,0.926,0.873,0.98
204,0.912,0.857,0.967
205,0.914,0.86,0.968
206,0.913,0.856,0.97
207,0.912,0.853,0.971
208,0.916,0.859,0.977
209,0.913,0.857,0.972
210,0.914,0.859,0.97
211,0.907,0.851,0.963
212,0.912,0.856,0.97
213,0.913,0.856,0.973
214,0.911,0.85,0.968
215,0.926,0.865,0.983
216,0.917,0.859,0.977
217,0.909,0.85,0.966
218,0.893,0.835,0.95
219,0.895,0.837,0.954
220,0.902,0.845,0.962
221,0.893,0.835,0.951
222,0.896,0.837,0.958
223,0.889,0.835,0.951
224,0.89,0.833,0.95
225,0.893,0.838,0.956
226,0.89,0.833,0.949
227,0.875,0.82,0.933
228,0.882,0.825,0.939
229,0.877,0.822,0.934
230,0.879,0.823,0.937
231,0.89,0.834,0.946
232,0.904,0.845,0.96
233,0.883,0.825,0.942
234,0.886,0.83,0.944
235,0.885,0.829,0.94
236,0.882,0.827,0.937
237,0.888,0.831,0.947
238,0.888,0.833,0.943
239,0.891,0.835,0.943
240,0.888,0.831,0.942
241,0.873,0.817,0.926
242,0.886,0.829,0.937
243,0.895,0.837,0.949
244,0.896,0.839,0.949
245,0.904,0.845,0.958
246,0.901,0.844,0.954
247,0.9,0.842,0.954
248,0.895,0.837,0.947
249,0.89,0.833,0.944
250,0.88,0.822,0.934
251,0.871,0.812,0.926
252,0.865,0.806,0.92
253,0.859,0.8,0.912
254,0.85,0.792,0.906
255,0.856,0.802,0.91
256,0.857,0.804,0.913
257,0.851,0.796,0.907
258,0.842,0.787,0.899
259,0.846,0.793,0.903
260,0.855,0.8,0.909
261,0.853,0.798,0.907
262,0.856,0.8,0.91
263,0.847,0.795,0.902
264,0.844,0.793,0.899
265,0.837,0.785,0.89
266,0.834,0.781,0.888
267,0.829,0.777,0.884
268,0.832,0.781,0.886
269,0.816,0.766,0.87
270,0.813,0.765,0.869
271,0.814,0.766,0.871
272,0.812,0.763,0.868
273,0.816,0.77,0.873
274,0.815,0.77,0.87
275,0.824,0.775,0.882
276,0.835,0.787,0.893
277,0.833,0.782,0.893
278,0.842,0.792,0.901
279,0.85,0.799,0.909
280,0.859,0.808,0.916
281,0.862,0.811,0.919
282,0.852,0.801,0.907
283,0.854,0.805,0.907
284,0.853,0.803,0.907
285,0.846,0.797,0.903
286,0.845,0.795,0.901
287,0.859,0.808,0.915
288,0.867,0.814,0.923
289,0.865,0.814,0.923
290,0.861,0.81,0.918
291,0.864,0.808,0.922
292,0.874,0.817,0.931
293,0.879,0.824,0.933
294,0.876,0.819,0.93
295,0.885,0.825,0.94
296,0.894,0.835,0.95
297,0.885,0.829,0.94
298,0.884,0.825,0.942
299,0.892,0.832,0.948
300,0.891,0.834,0.948
301,0.896,0.839,0.953
302,0.889,0.834,0.947
303,0.876,0.818,0.934
304,0.871,0.814,0.927
305,0.857,0.799,0.914
306,0.855,0.797,0.909
307,0.851,0.793,0.904
308,0.853,0.796,0.908
309,0.852,0.796,0.907
310,0.853,0.798,0.911
311,0.856,0.801,0.911
312,0.87,0.815,0.926
313,0.851,0.797,0.906
314,0.84,0.787,0.896
315,0.835,0.783,0.89
316,0.831,0.778,0.888
317,0.822,0.769,0.876
318,0.824,0.77,0.878
319,0.833,0.779,0.887
320,0.827,0.775,0.882
321,0.826,0.777,0.88
322,0.828,0.777,0.882
323,0.831,0.782,0.884
324,0.831,0.78,0.884
325,0.835,0.782,0.888
326,0.828,0.78,0.882
327,0.828,0.778,0.882
328,0.82,0.769,0.874
329,0.829,0.778,0.884
330,0.828,0.775,0.881
331,0.84,0.787,0.893
332,0.837,0.783,0.889
333,0.842,0.79,0.894
334,0.838,0.784,0.89
335,0.842,0.789,0.895
336,0.837,0.783,0.887
337,0.84,0.787,0.891
338,0.835,0.783,0.884
339,0.82,0.767,0.869
340,0.839,0.786,0.889
341,0.845,0.793,0.896
342,0.842,0.789,0.894
343,0.842,0.788,0.893
344,0.85,0.794,0.902
345,0.849,0.792,0.901
346,0.852,0.795,0.905
347,0.851,0.794,0.904
348,0.858,0.804,0.911
349,0.862,0.806,0.917
350,0.855,0.8,0.909
351,0.862,0.806,0.916
352,0.856,0.8,0.909
353,0.86,0.805,0.911
354,0.852,0.797,0.905
355,0.856,0.8,0.91
356,0.867,0.813,0.918
357,0.861,0.805,0.913
358,0.854,0.799,0.908
359,0.85,0.794,0.904
360,0.841,0.783,0.892
361,0.84,0.782,0.892
362,0.838,0.781,0.889
363,0.828,0.772,0.882
364,0.828,0.772,0.884
365,0.82,0.766,0.874
366,0.821,0.768,0.873
367,0.826,0.772,0.88
368,0.828,0.775,0.882
369,0.824,0.769,0.877
370,0.83,0.777,0.885
371,0.832,0.778,0.887
372,0.841,0.786,0.894
373,0.844,0.788,0.899
374,0.854,0.797,0.908
375,0.857,0.8,0.914
376,0.853,0.793,0.91
377,0.858,0.8,0.914
378,0.855,0.796,0.911
379,0.845,0.789,0.901
380,0.852,0.795,0.908
381,0.853,0.796,0.908
382,0.856,0.798,0.911
383,0.858,0.8,0.916
384,0.862,0.803,0.92
385,0.872,0.812,0.931
386,0.875,0.814,0.933
387,0.874,0.815,0.93
388,0.871,0.812,0.927
389,0.873,0.816,0.929
390,0.88,0.824,0.939
391,0.863,0.808,0.917
392,0.869,0.811,0.926
393,0.871,0.814,0.927
394,0.87,0.813,0.923
395,0.877,0.819,0.934
396,0.882,0.824,0.938
397,0.887,0.831,0.945
398,0.878,0.821,0.935
399,0.883,0.826,0.941
400,0.874,0.818,0.932
401,0.875,0.819,0.932
402,0.88,0.824,0.934
403,0.883,0.826,0.94
404,0.89,0.832,0.947
405,0.884,0.826,0.939
406,0.886,0.832,0.941
407,0.881,0.828,0.935
408,0.887,0.834,0.947
409,0.88,0.829,0.935
410,0.867,0.815,0.921
411,0.876,0.823,0.93
412,0.876,0.821,0.931
413,0.871,0.819,0.926
414,0.874,0.819,0.931
415,0.885,0.831,0.943
416,0.889,0.835,0.945
417,0.888,0.834,0.945
418,0.88,0.826,0.939
419,0.888,0.833,0.945
420,0.908,0.852,0.968
421,0.921,0.862,0.982
422,0.909,0.85,0.967
423,0.887,0.831,0.945
424,0.898,0.84,0.954
425,0.895,0.838,0.949
426,0.892,0.836,0.945
427,0.895,0.837,0.95
428,0.886,0.827,0.94
429,0.889,0.831,0.946
430,0.881,0.821,0.937
431,0.871,0.811,0.925
432,0.883,0.825,0.938
433,0.888,0.829,0.944
434,0.887,0.828,0.946
435,0.896,0.835,0.953
436,0.899,0.841,0.953
437,0.894,0.837,0.95
438,0.9,0.842,0.954
439,0.897,0.837,0.95
440,0.881,0.822,0.936
441,0.872,0.814,0.927
442,0.885,0.824,0.94
443,0.879,0.821,0.931
444,0.878,0.82,0.933
445,0.887,0.83,0.946
446,0.885,0.827,0.942
447,0.884,0.824,0.94
448,0.895,0.837,0.952
449,0.903,0.845,0.961
450,0.909,0.852,0.965
451,0.906,0.849,0.962
452,0.911,0.855,0.968
453,0.907,0.852,0.962
454,0.904,0.85,0.959
455,0.912,0.857,0.967
456,0.897,0.84,0.954
457,0.893,0.839,0.949
458,0.89,0.836,0.946
459,0.892,0.838,0.949
460,0.899,0.843,0.956
461,0.913,0.857,0.97
462,0.924,0.868,0.982
463,0.919,0.865,0.977
464,0.917,0.863,0.976
465,0.907,0.85,0.964
466,0.903,0.846,0.959
467,0.89,0.835,0.947
468,0.895,0.838,0.954
469,0.891,0.832,0.948
470,0.889,0.833,0.945
471,0.891,0.835,0.946
472,0.888,0.831,0.943
473,0.88,0.822,0.935
474,0.874,0.817,0.932
475,0.861,0.804,0.912
476,0.855,0.797,0.908
477,0.863,0.804,0.915
478,0.863,0.804,0.917
479,0.864,0.804,0.917
480,0.86,0.801,0.914
481,0.871,0.813,0.928
482,0.868,0.81,0.925
483,0.87,0.811,0.93
484,0.882,0.823,0.942
485,0.872,0.814,0.93
486,0.867,0.81,0.925
487,0.857,0.802,0.913
488,0.851,0.794,0.91
489,0.852,0.797,0.907
490,0.856,0.798,0.911
491,0.862,0.805,0.921
492,0.864,0.807,0.921
493,0.861,0.805,0.919
494,0.852,0.794,0.908
495,0.858,0.8,0.917
496,0.839,0.783,0.897
497,0.848,0.794,0.907
498,0.855,0.8,0.912
499,0.861,0.809,0.92
500,0.866,0.814,0.926
501,0.865,0.811,0.924
502,0.872,0.817,0.932
503,0.861,0.808,0.921
504,0.855,0.801,0.915
505,0.864,0.811,0.924
506,0.872,0.818,0.934
507,0.863,0.81,0.923
508,0.871,0.816,0.931
509,0.871,0.817,0.933
510,0.879,0.826,0.941
511,0.875,0.82,0.936
512,0.881,0.823,0.943
513,0.887,0.831,0.95
514,0.887,0.834,0.948
515,0.889,0.834,0.95
516,0.892,0.837,0.953
517,0.905,0.85,0.966
518,0.893,0.84,0.951
519,0.893,0.84,0.952
520,0.885,0.832,0.942
521,0.881,0.827,0.935
522,0.874,0.822,0.932
523,0.871,0.817,0.928
524,0.875,0.823,0.931
525,0.872,0.82,0.928
526,0.883,0.83,0.939
527,0.885,0.832,0.942
528,0.89,0.837,0.946
529,0.881,0.827,0.938
530,0.881,0.826,0.94
531,0.875,0.821,0.932
532,0.87,0.816,0.929
533,0.881,0.83,0.942
534,0.881,0.827,0.947
535,0.867,0.814,0.927
536,0.859,0.805,0.917
537,0.867,0.813,0.923
538,0.873,0.82,0.931
539,0.874,0.822,0.932
540,0.869,0.817,0.924
541,0.862,0.808,0.917
542,0.863,0.81,0.923
543,0.868,0.815,0.928
544,0.881,0.828,0.942
545,0.88,0.827,0.938
546,0.885,0.834,0.944
547,0.891,0.838,0.949
548,0.887,0.836,0.943
549,0.892,0.841,0.949
550,0.898,0.845,0.954
551,0.909,0.854,0.969
552,0.905,0.848,0.964
553,0.916,0.861,0.975
554,0.92,0.865,0.98
555,0.925,0.871,0.986
556,0.92,0.863,0.978
557,0.928,0.872,0.987
558,0.929,0.874,0.989
559,0.935,0.879,0.994
560,0.949,0.891,1.009
561,0.948,0.892,1.008
562,0.941,0.883,0.999
563,0.94,0.882,0.997
564,0.934,0.876,0.991
565,0.938,0.879,0.992
566,0.946,0.887,1.002
567,0.957,0.896,1.016
568,0.962,0.904,1.018
569,0.97,0.908,1.027
570,0.969,0.91,1.027
571,0.965,0.903,1.022
572,0.966,0.902,1.024
573,0.954,0.892,1.013
574,0.961,0.9,1.019
575,0.967,0.906,1.022
576,0.971,0.91,1.028
577,0.964,0.905,1.022
578,0.955,0.897,1.012
579,0.945,0.887,1.001
580,0.944,0.887,1.001
581,0.941,0.882,0.997
582,0.931,0.873,0.988
583,0.924,0.863,0.978
584,0.925,0.863,0.981
585,0.926,0.865,0.981
586,0.914,0.855,0.971
587,0.921,0.863,0.979
588,0.926,0.868,0.983
589,0.919,0.862,0.976
590,0.91,0.853,0.965
591,0.898,0.842,0.954
592,0.889,0.836,0.946
593,0.891,0.836,0.948
594,0.879,0.827,0.936
595,0.874,0.821,0.931
596,0.877,0.823,0.932
597,0.864,0.808,0.919
598,0.866,0.813,0.92
599,0.865,0.812,0.921
600,0.856,0.803,0.911
601,0.847,0.797,0.902
602,0.844,0.792,0.899
603,0.846,0.794,0.903
604,0.838,0.786,0.891
605,0.842,0.789,0.897
606,0.846,0.794,0.903
607,0.835,0.781,0.89
608,0.842,0.789,0.897
609,0.844,0.792,0.9
610,0.843,0.791,0.898
611,0.842,0.791,0.897
612,0.853,0.801,0.908
613,0.849,0.798,0.905
614,0.857,0.802,0.916
615,0.846,0.793,0.904
616,0.838,0.784,0.892
617,0.842,0.787,0.896
618,0.845,0.791,0.904
619,0.844,0.789,0.902
620,0.853,0.795,0.91
621,0.862,0.806,0.919
622,0.852,0.797,0.907
623,0.848,0.793,0.905
624,0.849,0.795,0.906
625,0.862,0.806,0.921
626,0.871,0.814,0.927
627,0.87,0.813,0.927
628,0.876,0.818,0.932
629,0.882,0.823,0.94
630,0.876,0.818,0.933
631,0.856,0.799,0.912
632,0.858,0.801,0.916
633,0.858,0.797,0.915
634,0.865,0.806,0.918
635,0.865,0.805,0.918
636,0.87,0.808,0.924
637,0.872,0.815,0.93
638,0.864,0.802,0.919
639,0.868,0.807,0.924
640,0.871,0.812,0.927
641,0.867,0.808,0.924
642,0.876,0.814,0.933
643,0.871,0.809,0.927
644,0.875,0.816,0.93
645,0.879,0.816,0.939
646,0.895,0.833,0.951
647,0.9,0.836,0.958
648,0.895,0.833,0.951
649,0.891,0.829,0.948
650,0.895,0.834,0.951
651,0.901,0.844,0.959
652,0.904,0.847,0.961
653,0.9,0.841,0.956
654,0.9,0.842,0.958
655,0.891,0.834,0.947
656,0.896,0.838,0.949
657,0.882,0.827,0.936
658,0.877,0.819,0.932
659,0.879,0.821,0.936
660,0.892,0.833,0.952
661,0.89,0.834,0.95
662,0.89,0.837,0.95
663,0.894,0.839,0.956
664,0.908,0.852,0.969
665,0.907,0.853,0.969
666,0.914,0.858,0.975
667,0.912,0.855,0.97
668,0.903,0.846,0.964
669,0.905,0.847,0.965
670,0.911,0.854,0.969
671,0.908,0.851,0.966
672,0.911,0.853,0.967
673,0.9,0.846,0.954
674,0.897,0.838,0.953
675,0.9,0.842,0.957
676,0.895,0.839,0.953
677,0.899,0.842,0.957
678,0.907,0.851,0.961
679,0.912,0.854,0.966
680,0.903,0.846,0.959
681,0.908,0.853,0.963
682,0.917,0.859,0.969
683,0.925,0.864,0.982
684,0.929,0.872,0.988
685,0.931,0.873,0.991
686,0.938,0.88,0.994
687,0.92,0.86,0.977
688,0.919,0.861,0.976
689,0.916,0.857,0.975
690,0.908,0.849,0.967
691,0.908,0.853,0.965
692,0.91,0.853,0.967
693,0.899,0.842,0.955
694,0.905,0.849,0.961
695,0.902,0.845,0.957
696,0.899,0.843,0.955
697,0.901,0.842,0.956
698,0.899,0.84,0.952
699,0.894,0.833,0.948
700,0.897,0.835,0.949
701,0.889,0.829,0.943
702,0.879,0.82,0.933
703,0.885,0.825,0.939
704,0.871,0.813,0.923
705,0.875,0.813,0.928
706,0.88,0.818,0.934
707,0.878,0.816,0.933
708,0.882,0.821,0.942
709,0.881,0.818,0.939
710,0.876,0.814,0.936
711,0.879,0.817,0.939
712,0.888,0.83,0.948
713,0.885,0.823,0.944
714,0.885,0.825,0.942
715,0.889,0.829,0.944
716,0.891,0.831,0.946
717,0.897,0.841,0.952
718,0.9,0.843,0.958
719,0.91,0.851,0.967
720,0.902,0.844,0.96
721,0.903,0.844,0.961
722,0.905,0.846,0.964
723,0.911,0.853,0.97
724,0.915,0.856,0.975
725,0.911,0.852,0.968
726,0.915,0.859,0.972
727,0.922,0.865,0.978
728,0.922,0.864,0.979
729,0.926,0.868,0.984
730,0.932,0.874,0.991
731,0.936,0.879,0.993
732,0.938,0.88,0.996
733,0.929,0.873,0.987
734,0.918,0.862,0.976
735,0.927,0.87,0.984
736,0.923,0.867,0.982
737,0.918,0.864,0.975
738,0.918,0.863,0.975
739,0.929,0.876,0.985
740,0.929,0.878,0.985
741,0.916,0.865,0.973
742,0.917,0.866,0.975
743,0.903,0.851,0.96
744,0.902,0.85,0.959
745,0.91,0.854,0.967
746,0.905,0.849,0.964
747,0.901,0.845,0.959
748,0.894,0.838,0.951
749,0.9,0.846,0.958
750,0.897,0.844,0.953
751,0.902,0.849,0.961
752,0.879,0.827,0.934
753,0.883,0.83,0.936
754,0.889,0.835,0.947
755,0.894,0.843,0.947
756,0.903,0.85,0.959
757,0.914,0.861,0.968
758,0.901,0.847,0.956
759,0.9,0.848,0.957
760,0.905,0.851,0.959
761,0.903,0.849,0.956
762,0.898,0.847,0.949
763,0.905,0.853,0.955
764,0.903,0.849,0.955
765,0.906,0.852,0.957
766,0.903,0.848,0.956
767,0.906,0.852,0.958
768,0.896,0.843,0.945
769,0.9,0.844,0.953
770,0.903,0.845,0.956
771,0.902,0.846,0.956
772,0.908,0.85,0.962
773,0.906,0.851,0.96
774,0.911,0.854,0.964
775,0.914,0.857,0.969
776,0.912,0.854,0.965
777,0.914,0.855,0.967
778,0.922,0.866,0.979
779,0.923,0.866,0.977
780,0.915,0.857,0.97
781,0.919,0.861,0.974
782,0.907,0.848,0.962
783,0.916,0.858,0.972
784,0.902,0.844,0.958
785,0.901,0.844,0.957
786,0.906,0.848,0.963
787,0.901,0.844,0.96
788,0.891,0.835,0.951
789,0.886,0.829,0.945
790,0.885,0.831,0.943
791,0.891,0.835,0.95
792,0.87,0.814,0.927
793,0.864,0.81,0.921
794,0.868,0.813,0.923
795,0.869,0.814,0.922
796,0.871,0.816,0.926
797,0.868,0.81,0.924
798,0.877,0.822,0.933
799,0.871,0.816,0.927
800,0.869,0.814,0.923
801,0.855,0.801,0.907
802,0.855,0.8,0.907
803,0.856,0.802,0.909
804,0.852,0.795,0.904
805,0.852,0.795,0.903
806,0.842,0.788,0.897
807,0.853,0.798,0.905
808,0.859,0.803,0.913
809,0.86,0.804,0.915
810,0.862,0.807,0.917
811,0.859,0.803,0.911
812,0.86,0.804,0.914
813,0.86,0.804,0.912
814,0.877,0.82,0.931
815,0.868,0.812,0.924
816,0.87,0.817,0.926
817,0.868,0.814,0.924
818,0.857,0.801,0.912
819,0.856,0.802,0.91
820,0.858,0.8,0.911
821,0.859,0.803,0.913
822,0.865,0.808,0.92
823,0.881,0.824,0.936
824,0.875,0.817,0.929
825,0.882,0.824,0.937
826,0.879,0.824,0.933
827,0.889,0.834,0.942
828,0.893,0.841,0.944
829,0.904,0.848,0.957
830,0.909,0.85,0.964
831,0.905,0.846,0.958
832,0.914,0.856,0.968
833,0.919,0.861,0.975
834,0.928,0.868,0.982
835,0.924,0.867,0.981
836,0.915,0.858,0.969
837,0.922,0.861,0.977
838,0.919,0.858,0.974
839,0.913,0.852,0.967
840,0.91,0.852,0.966
841,0.902,0.845,0.957
842,0.897,0.839,0.952
843,0.904,0.846,0.961
844,0.896,0.839,0.95
845,0.904,0.847,0.961
846,0.905,0.847,0.958
847,0.913,0.854,0.966
848,0.911,0.852,0.964
849,0.914,0.856,0.968
850,0.914,0.857,0.967
851,0.927,0.868,0.98
852,0.922,0.864,0.975
853,0.925,0.869,0.98
854,0.914,0.858,0.967
855,0.908,0.854,0.964
856,0.904,0.849,0.961
857,0.9,0.846,0.954
858,0.904,0.848,0.958
859,0.91,0.852,0.966
860,0.909,0.85,0.964
861,0.888,0.83,0.941
862,0.892,0.834,0.945
863,0.888,0.833,0.941
864,0.893,0.838,0.948
865,0.887,0.83,0.941
866,0.892,0.837,0.948
867,0.9,0.841,0.952
868,0.903,0.845,0.956
869,0.903,0.845,0.956
870,0.908,0.853,0.962
871,0.914,0.858,0.97
872,0.908,0.849,0.962
873,0.916,0.859,0.971
874,0.918,0.861,0.976
875,0.911,0.857,0.966
876,0.914,0.861,0.97
