,average,q0025,q0975
0,1.013,0.803,1.251
1,1.038,0.827,1.283
2,1.1,0.877,1.348
3,1.075,0.852,1.299
4,1.137,0.913,1.383
5,1.161,0.937,1.411
6,1.186,0.953,1.437
7,1.198,0.967,1.449
8,1.211,0.988,1.471
9,1.211,0.987,1.483
10,1.223,0.999,1.496
11,1.223,0.999,1.483
12,1.186,0.963,1.457
13,1.186,0.975,1.448
14,1.186,0.965,1.449
15,1.235,1.023,1.492
16,1.248,1.026,1.504
17,1.285,1.061,1.539
18,1.31,1.086,1.568
19,1.285,1.063,1.53
20,1.26,1.037,1.497
21,1.285,1.049,1.52
22,1.248,1.013,1.483
23,1.211,0.977,1.447
24,1.174,0.952,1.407
25,1.087,0.864,1.299
26,1.038,0.817,1.247
27,1.013,0.792,1.225
28,1.001,0.79,1.211
29,0.988,0.777,1.197
30,1.05,0.827,1.257
31,1.062,0.83,1.269
32,1.087,0.864,1.297
33,1.1,0.866,1.322
34,1.075,0.853,1.284
35,1.087,0.867,1.298
36,1.075,0.853,1.286
37,1.062,0.839,1.273
38,1.075,0.852,1.293
39,1.112,0.88,1.344
40,1.087,0.853,1.311
41,1.075,0.843,1.285
42,1.161,0.917,1.385
43,1.149,0.905,1.373
44,1.186,0.951,1.42
45,1.211,0.966,1.445
46,1.211,0.976,1.444
47,1.248,0.999,1.484
48,1.223,0.975,1.456
49,1.211,0.964,1.445
50,1.223,0.973,1.461
51,1.223,0.964,1.469
52,1.198,0.949,1.445
53,1.186,0.939,1.432
54,1.161,0.914,1.408
55,1.186,0.938,1.43
56,1.211,0.963,1.459
57,1.198,0.94,1.446
58,1.161,0.903,1.408
59,1.1,0.865,1.336
60,1.05,0.828,1.272
61,1.05,0.838,1.272
62,1.001,0.79,1.213
63,0.939,0.742,1.148
64,0.914,0.718,1.112
65,0.902,0.705,1.097
66,0.939,0.74,1.146
67,0.988,0.789,1.187
68,0.976,0.778,1.174
69,0.976,0.778,1.187
70,0.976,0.778,1.196
71,1.001,0.792,1.213
72,1.05,0.849,1.262
73,1.075,0.866,1.286
74,1.05,0.851,1.262
75,1.038,0.838,1.259
76,1.062,0.854,1.285
77,1.025,0.829,1.248
78,1.025,0.817,1.258
79,0.964,0.765,1.186
80,0.988,0.778,1.21
81,0.976,0.779,1.198
82,0.951,0.753,1.175
83,0.964,0.767,1.186
84,0.939,0.73,1.148
85,0.927,0.727,1.147
86,0.976,0.777,1.198
87,0.988,0.79,1.212
88,1.001,0.803,1.222
89,0.988,0.79,1.199
90,0.988,0.781,1.207
91,0.976,0.767,1.187
92,0.976,0.767,1.19
93,0.976,0.778,1.197
94,0.951,0.754,1.172
95,0.964,0.752,1.175
96,0.939,0.719,1.15
97,0.976,0.755,1.185
98,0.976,0.753,1.189
99,0.976,0.756,1.187
100,0.976,0.766,1.185
101,1.001,0.791,1.213
102,0.964,0.742,1.186
103,0.939,0.717,1.15
104,0.927,0.717,1.147
105,0.927,0.716,1.148
106,0.951,0.74,1.175
107,1.025,0.803,1.26
108,1.038,0.815,1.274
109,1.05,0.817,1.284
110,0.976,0.755,1.186
111,0.976,0.754,1.176
112,1.013,0.791,1.234
113,1.013,0.791,1.236
114,1.001,0.779,1.224
115,0.964,0.754,1.177
116,0.951,0.741,1.163
117,0.964,0.754,1.175
118,0.902,0.716,1.113
119,0.939,0.741,1.161
120,0.939,0.741,1.161
121,0.964,0.765,1.187
122,0.976,0.78,1.189
123,1.001,0.802,1.212
