,average,q0025,q0975
0,0.823,0.668,0.996
1,0.849,0.695,1.028
2,0.858,0.702,1.03
3,0.883,0.72,1.063
4,0.909,0.738,1.091
5,0.883,0.712,1.063
6,0.866,0.704,1.047
7,0.866,0.695,1.046
8,0.832,0.67,0.996
9,0.858,0.696,1.03
10,0.875,0.705,1.056
11,0.875,0.711,1.047
12,0.866,0.712,1.04
13,0.909,0.736,1.089
14,0.875,0.703,1.047
15,0.858,0.695,1.028
16,0.849,0.686,1.013
17,0.841,0.685,1.012
18,0.832,0.685,1.012
19,0.841,0.685,1.014
20,0.798,0.65,0.962
21,0.815,0.668,0.987
22,0.806,0.653,0.978
23,0.823,0.662,1.004
24,0.875,0.72,1.056
25,0.858,0.703,1.038
26,0.858,0.703,1.038
27,0.841,0.679,1.02
28,0.806,0.651,0.972
29,0.841,0.686,1.013
30,0.823,0.676,0.989
31,0.858,0.702,1.03
32,0.883,0.713,1.065
33,0.944,0.779,1.125
34,0.926,0.772,1.116
35,0.901,0.746,1.081
36,0.866,0.711,1.045
37,0.841,0.688,1.013
38,0.806,0.661,0.977
39,0.883,0.726,1.062
40,0.892,0.731,1.078
41,0.926,0.771,1.114
42,0.926,0.764,1.106
43,0.935,0.773,1.116
44,0.935,0.773,1.105
45,0.944,0.78,1.124
46,0.944,0.781,1.123
47,0.909,0.763,1.088
48,0.901,0.747,1.075
49,0.841,0.687,1.004
50,0.875,0.721,1.046
51,0.841,0.693,1.012
52,0.815,0.669,0.98
53,0.798,0.643,0.96
54,0.789,0.634,0.96
55,0.832,0.677,1.003
56,0.849,0.686,1.021
57,0.909,0.73,1.09
58,0.935,0.763,1.117
59,0.935,0.765,1.115
60,0.918,0.747,1.098
61,0.944,0.772,1.131
62,0.935,0.763,1.124
63,0.909,0.737,1.089
64,0.926,0.753,1.107
65,0.901,0.728,1.088
66,0.866,0.702,1.047
67,0.875,0.712,1.048
68,0.892,0.729,1.064
69,0.892,0.729,1.064
70,0.926,0.763,1.096
71,0.892,0.73,1.055
72,0.892,0.729,1.062
73,0.841,0.679,1.004
74,0.858,0.695,1.021
75,0.883,0.712,1.057
76,0.875,0.711,1.045
77,0.875,0.711,1.038
78,0.849,0.693,1.011
79,0.849,0.686,1.013
80,0.823,0.668,0.989
81,0.815,0.659,0.98
82,0.823,0.668,0.989
83,0.815,0.669,0.978
84,0.772,0.625,0.928
85,0.763,0.616,0.924
86,0.721,0.582,0.874
87,0.729,0.59,0.884
88,0.695,0.556,0.845
89,0.712,0.574,0.866
90,0.721,0.575,0.876
91,0.746,0.593,0.909
92,0.763,0.609,0.926
93,0.789,0.635,0.953
94,0.763,0.609,0.925
95,0.806,0.652,0.97
96,0.815,0.652,0.98
97,0.841,0.678,1.003
98,0.849,0.685,1.013
99,0.875,0.711,1.046
100,0.892,0.728,1.062
101,0.901,0.737,1.071
102,0.892,0.737,1.064
103,0.909,0.746,1.079
104,0.935,0.756,1.113
105,0.952,0.773,1.133
106,0.909,0.738,1.089
107,0.901,0.73,1.081
108,0.918,0.747,1.108
109,0.918,0.754,1.101
110,0.926,0.763,1.108
111,0.918,0.753,1.099
112,0.918,0.746,1.098
113,0.978,0.806,1.158
114,1.021,0.843,1.2
115,0.961,0.798,1.141
116,0.952,0.807,1.126
117,0.935,0.781,1.115
118,0.952,0.79,1.139
119,0.952,0.797,1.13
120,0.926,0.773,1.105
121,0.892,0.739,1.065
122,0.901,0.747,1.081
123,0.918,0.763,1.095
124,0.944,0.788,1.116
125,0.909,0.754,1.081
126,0.875,0.72,1.055
127,0.823,0.669,0.986
128,0.806,0.661,0.97
129,0.763,0.618,0.936
130,0.781,0.636,0.954
131,0.755,0.618,0.925
132,0.781,0.645,0.954
133,0.755,0.618,0.925
134,0.746,0.611,0.917
135,0.721,0.584,0.877
136,0.695,0.565,0.849
137,0.712,0.575,0.866
138,0.703,0.573,0.856
139,0.746,0.61,0.907
140,0.729,0.591,0.883
141,0.729,0.585,0.877
142,0.695,0.558,0.855
143,0.695,0.565,0.848
144,0.712,0.575,0.872
145,0.721,0.583,0.877
146,0.678,0.541,0.832
147,0.721,0.575,0.882
148,0.746,0.6,0.912
149,0.729,0.583,0.894
150,0.755,0.609,0.919
151,0.806,0.659,0.977
152,0.832,0.685,1.002
153,0.815,0.661,0.988
154,0.832,0.679,1.011
155,0.832,0.685,1.004
156,0.823,0.676,0.994
157,0.823,0.668,0.995
158,0.815,0.669,0.995
159,0.892,0.738,1.073
160,0.866,0.712,1.046
161,0.926,0.764,1.108
162,0.935,0.772,1.117
163,0.926,0.763,1.105
164,0.926,0.756,1.106
165,0.935,0.765,1.114
166,0.952,0.78,1.131
167,0.978,0.807,1.158
168,0.978,0.806,1.156
169,0.944,0.781,1.12
170,0.969,0.806,1.15
171,0.961,0.796,1.139
172,0.978,0.806,1.166
173,0.986,0.823,1.175
174,0.969,0.8,1.157
175,0.926,0.763,1.108
176,0.909,0.746,1.081
177,0.926,0.77,1.107
178,0.918,0.747,1.106
179,0.883,0.712,1.071
180,0.926,0.762,1.114
181,0.892,0.721,1.071
182,0.866,0.701,1.045
183,0.858,0.694,1.023
184,0.858,0.695,1.023
185,0.858,0.695,1.021
186,0.858,0.696,1.021
187,0.866,0.703,1.039
188,0.823,0.668,0.994
189,0.858,0.695,1.032
190,0.892,0.728,1.065
191,0.952,0.781,1.151
192,0.978,0.8,1.175
193,0.969,0.796,1.156
194,1.021,0.841,1.214
195,1.055,0.868,1.247
196,1.064,0.876,1.26
197,1.055,0.867,1.247
198,1.046,0.859,1.225
199,1.064,0.876,1.25
200,1.098,0.911,1.29
201,1.107,0.918,1.288
202,1.064,0.877,1.245
203,1.089,0.908,1.271
204,1.055,0.873,1.237
205,1.089,0.901,1.269
206,1.107,0.918,1.293
207,1.089,0.901,1.285
208,1.064,0.875,1.262
209,1.098,0.909,1.294
210,1.089,0.9,1.276
211,1.072,0.877,1.259
212,1.046,0.858,1.229
