,average,q0025,q0975
0,1.049,0.965,1.141
1,1.037,0.947,1.131
2,1.056,0.969,1.148
3,1.037,0.947,1.125
4,1.026,0.939,1.114
5,1.03,0.945,1.117
6,1.034,0.95,1.121
7,1.039,0.954,1.125
8,1.06,0.979,1.147
9,1.062,0.979,1.151
10,1.075,0.993,1.162
11,1.079,0.997,1.169
12,1.095,1.013,1.188
13,1.097,1.013,1.191
14,1.093,1.01,1.186
15,1.093,1.011,1.187
16,1.101,1.015,1.191
17,1.095,1.011,1.184
18,1.11,1.025,1.198
19,1.107,1.021,1.195
20,1.112,1.029,1.202
21,1.095,1.008,1.186
22,1.088,1.005,1.175
23,1.084,1.002,1.174
24,1.069,0.989,1.159
25,1.069,0.987,1.154
26,1.073,0.989,1.161
27,1.058,0.974,1.146
28,1.071,0.986,1.161
29,1.075,0.994,1.169
30,1.067,0.984,1.153
31,1.073,0.986,1.158
32,1.056,0.971,1.144
33,1.058,0.973,1.148
34,1.045,0.961,1.135
35,1.064,0.98,1.153
36,1.06,0.976,1.147
37,1.056,0.971,1.148
38,1.05,0.961,1.138
39,1.024,0.94,1.108
40,1.019,0.934,1.097
41,1.002,0.923,1.083
42,1.002,0.919,1.085
43,1.007,0.921,1.09
44,1.0,0.915,1.08
45,1.019,0.936,1.101
46,1.03,0.945,1.115
47,1.045,0.964,1.132
48,1.032,0.952,1.117
49,1.024,0.941,1.11
50,1.021,0.937,1.105
51,1.015,0.933,1.101
52,1.019,0.939,1.104
53,1.024,0.941,1.109
54,1.007,0.928,1.091
55,1.009,0.93,1.09
56,1.021,0.943,1.106
57,1.043,0.965,1.128
58,1.06,0.979,1.144
59,1.071,0.989,1.156
60,1.08,0.999,1.165
61,1.056,0.971,1.14
62,1.06,0.978,1.146
63,1.052,0.973,1.137
64,1.049,0.968,1.131
65,1.054,0.972,1.138
66,1.054,0.974,1.137
67,1.045,0.96,1.128
68,1.036,0.951,1.12
69,1.024,0.944,1.107
70,1.036,0.952,1.12
71,1.041,0.954,1.125
72,1.045,0.961,1.131
73,1.03,0.948,1.115
74,1.03,0.95,1.115
75,1.019,0.941,1.1
76,1.007,0.931,1.089
77,0.985,0.908,1.068
78,0.983,0.904,1.066
79,0.957,0.879,1.042
80,0.974,0.897,1.059
81,0.966,0.887,1.054
82,0.959,0.879,1.044
83,0.961,0.878,1.047
84,0.94,0.859,1.025
85,0.948,0.863,1.034
86,0.948,0.867,1.031
87,0.944,0.862,1.025
88,0.94,0.857,1.021
89,0.927,0.846,1.005
90,0.908,0.825,0.989
91,0.899,0.82,0.976
92,0.899,0.821,0.978
