,average,q0025,q0975
0,0.878,0.715,1.037
1,0.893,0.721,1.05
2,0.915,0.751,1.079
3,0.893,0.73,1.051
4,0.9,0.736,1.065
5,0.878,0.721,1.041
6,0.9,0.737,1.065
7,0.886,0.731,1.043
8,0.871,0.714,1.035
9,0.841,0.685,0.997
10,0.833,0.677,0.989
11,0.848,0.692,1.004
12,0.841,0.685,0.99
13,0.923,0.766,1.086
14,0.908,0.751,1.071
15,0.945,0.787,1.114
16,0.93,0.773,1.109
17,0.945,0.787,1.124
18,0.93,0.766,1.101
19,0.945,0.783,1.122
20,0.915,0.758,1.079
21,0.923,0.759,1.087
22,0.945,0.787,1.122
23,0.953,0.796,1.124
24,0.938,0.782,1.109
25,0.96,0.81,1.136
26,0.975,0.826,1.161
27,0.997,0.842,1.177
28,1.012,0.849,1.19
29,1.012,0.857,1.192
30,1.005,0.857,1.177
31,0.997,0.848,1.17
32,1.005,0.842,1.183
33,1.012,0.856,1.192
34,0.975,0.819,1.153
35,0.945,0.788,1.118
36,0.96,0.803,1.131
37,0.975,0.812,1.153
38,0.96,0.803,1.132
39,0.967,0.804,1.139
40,0.997,0.826,1.168
41,1.005,0.834,1.183
42,0.953,0.788,1.112
43,0.9,0.737,1.071
44,0.93,0.767,1.108
45,0.915,0.753,1.094
46,0.915,0.752,1.089
47,0.9,0.743,1.079
48,0.9,0.744,1.07
49,0.908,0.751,1.078
50,0.886,0.722,1.055
51,0.9,0.737,1.071
52,0.893,0.737,1.057
53,0.856,0.701,1.018
54,0.841,0.691,0.997
55,0.841,0.692,0.997
56,0.848,0.699,1.005
57,0.863,0.714,1.02
58,0.863,0.714,1.027
59,0.871,0.722,1.028
60,0.893,0.737,1.051
61,0.871,0.721,1.032
62,0.893,0.742,1.051
63,0.923,0.774,1.074
64,0.93,0.783,1.087
65,0.923,0.774,1.086
66,0.93,0.781,1.102
67,0.953,0.804,1.123
68,0.967,0.818,1.132
69,0.975,0.819,1.146
70,0.945,0.789,1.11
71,0.96,0.803,1.133
72,0.96,0.797,1.133
73,0.96,0.803,1.126
74,0.938,0.775,1.114
75,0.93,0.774,1.107
76,0.923,0.773,1.086
77,0.9,0.744,1.07
78,0.893,0.738,1.058
79,0.878,0.722,1.048
