haplotype,jaccard,union,total_ref,pop,mutual,total,seqID,unique_ref_motifs,shared_with_ref_perc
HG02257.paternal,0.03946233652558954,310752,15028,AFR,12263,307987,chr5,15028,81.6010114453021
HG02257.paternal,0.026890263358913948,310261,10617,AFR,8343,307987,chr22,10617,78.5815202034473
HG02257.paternal,0.01974260581706974,309331,7451,AFR,6107,307987,chr13,7451,81.96215273117703
HG02257.paternal,0.0476300980449034,310266,17057,AFR,14778,307987,chr7,17057,86.63891657384065
HG02257.paternal,0.03382903958531519,309054,11522,AFR,10455,307987,chr20,11522,90.73945495573685
HG02257.paternal,0.0166595099650344,309733,6906,AFR,5160,307987,chr18,6906,74.71763683753258
HG02257.paternal,0.026872557516165095,310391,10745,AFR,8341,307987,chr15,10745,77.62680316426244
HG02257.paternal,0.05308136191220849,309506,17948,AFR,16429,307987,chr17,17948,91.53666146645865
HG02257.paternal,0.05504977288102832,310410,19511,AFR,17088,307987,chr19,19511,87.58136435856696
HG02257.paternal,0.04750768235484393,309150,15850,AFR,14687,307987,chr10,15850,92.66246056782335
HG02257.paternal,0.08761342925041701,310546,29767,AFR,27208,307987,chr1,29767,91.40323176672153
HG02257.paternal,0.02685428171236295,310565,10918,AFR,8340,307987,chr14,10918,76.38761677962997
HG02257.paternal,0.013038244221944637,309014,5056,AFR,4029,307987,chr21,5056,79.6875
HG02257.paternal,0.0443009033495883,312725,18592,AFR,13854,307987,chr11,18592,74.51592082616179
HG02257.paternal,0.04186053974264352,311630,16688,AFR,13045,307987,chr3,16688,78.16994247363375
HG02257.paternal,0.034742795583086454,311892,14741,AFR,10836,307987,chr12,14741,73.50925988738892
HG02257.paternal,0.03936172606553109,311089,15347,AFR,12245,307987,chr16,15347,79.78758063465172
HG02257.paternal,0.03893152558041002,311547,15689,AFR,12129,307987,chr9,15689,77.30894257122824
HG02257.paternal,9.74060761910328e-06,307989,5,AFR,3,307987,chrM,5,60.0
HG02257.paternal,0.06763519954654368,310504,23518,AFR,21001,307987,chr2,23518,89.29755931626839
HG02257.paternal,0.03921803556856599,308812,12936,AFR,12111,307987,chr4,12936,93.62244897959184
HG02257.paternal,0.04020350480497456,309575,14034,AFR,12446,307987,chr8,14034,88.68462305828702
HG02257.paternal,0.03834696280473289,310846,14779,AFR,11920,307987,chr6,14779,80.65498342242371
HG02257.maternal,0.03967015679801939,310208,15028,AFR,12306,307486,chr5,15028,81.88714399787064
HG02257.maternal,0.025255666893353144,310267,10617,AFR,7836,307486,chr22,10617,73.80615993218423
HG02257.maternal,0.018356722498868265,309260,7451,AFR,5677,307486,chr13,7451,76.19111528653872
HG02257.maternal,0.04606592726534322,310251,17057,AFR,14292,307486,chr7,17057,83.78964647945125
HG02257.maternal,0.029307090425102846,309925,11522,AFR,9083,307486,chr20,11522,78.8318000347162
HG02257.maternal,0.01875212650475527,308605,6906,AFR,5787,307486,chr18,6906,83.79669852302345
HG02257.maternal,0.02764555817483127,309670,10745,AFR,8561,307486,chr15,10745,79.6742671009772
HG02257.maternal,0.04681885878428585,310879,17948,AFR,14555,307486,chr17,17948,81.09538667260976
HG02257.maternal,0.0552170798293566,309886,19511,AFR,17111,307486,chr19,19511,87.69924657885295
HG02257.maternal,0.04095758723045323,310614,15850,AFR,12722,307486,chr10,15850,80.26498422712933
HG02257.maternal,0.08880853605385075,309745,29767,AFR,27508,307486,chr1,29767,92.4110592266604
HG02257.maternal,0.033655047932553556,308037,10918,AFR,10367,307486,chr14,10918,94.95328814801246
HG02257.maternal,0.0121145980744881,308801,5056,AFR,3741,307486,chr21,5056,73.99129746835443
HG02257.maternal,0.04715569343018812,311394,18592,AFR,14684,307486,chr11,18592,78.9802065404475
HG02257.maternal,0.04673555053277365,309700,16688,AFR,14474,307486,chr3,16688,86.73298178331736
HG02257.maternal,0.036763073477884566,310801,14741,AFR,11426,307486,chr12,14741,77.51170205549148
HG02257.maternal,0.03964279618578978,310523,15347,AFR,12310,307486,chr16,15347,80.2111161790578
HG02257.maternal,0.045041811373469666,309246,15689,AFR,13929,307486,chr9,15689,88.78194913633756
HG02257.maternal,1.3008680041757864e-05,307487,5,AFR,4,307486,chrM,5,80.0
HG02257.maternal,0.05742617273854096,313028,23518,AFR,17976,307486,chr2,23518,76.43507100943958
HG02257.maternal,0.03446027092991722,309748,12936,AFR,10674,307486,chr4,12936,82.5139146567718
HG02257.maternal,0.03617191326991002,310296,14034,AFR,11224,307486,chr8,14034,79.97719823286305
HG02257.maternal,0.0390282434872324,310160,14779,AFR,12105,307486,chr6,14779,81.906759591312
HG02559.paternal,0.03934705967578358,310595,15028,AFR,12221,307788,chr5,15028,81.32153313814213
HG02559.paternal,0.03147170300301273,308690,10617,AFR,9715,307788,chr22,10617,91.50419139116511
HG02559.paternal,0.018292761712794273,309576,7451,AFR,5663,307788,chr13,7451,76.00322104415514
HG02559.paternal,0.049417214777675834,309548,17057,AFR,15297,307788,chr7,17057,89.6816556252565
HG02559.paternal,0.02693158720765688,310936,11522,AFR,8374,307788,chr20,11522,72.67835445235202
HG02559.paternal,0.01772564542887912,309213,6906,AFR,5481,307788,chr18,6906,79.36576889661164
HG02559.paternal,0.02687986589081062,310195,10745,AFR,8338,307788,chr15,10745,77.59888320148906
HG02559.paternal,0.04547321932932779,311568,17948,AFR,14168,307788,chr17,17948,78.93915756630265
HG02559.paternal,0.0446323987041795,313315,19511,AFR,13984,307788,chr19,19511,71.67238993388345
HG02559.paternal,0.04505208501514437,309686,15850,AFR,13952,307788,chr10,15850,88.02523659305994
HG02559.paternal,0.07616406038289257,313665,29767,AFR,23890,307788,chr1,29767,80.25666005979777
HG02559.paternal,0.026848340545086075,310373,10918,AFR,8333,307788,chr14,10918,76.3235024729804
HG02559.paternal,0.012889209779092995,308863,5056,AFR,3981,307788,chr21,5056,78.7381329113924
HG02559.paternal,0.04438257975744776,312510,18592,AFR,13870,307788,chr11,18592,74.60197934595524
HG02559.paternal,0.046001689200079944,310206,16688,AFR,14270,307788,chr3,16688,85.51054650047939
HG02559.paternal,0.036817369388831026,311076,14741,AFR,11453,307788,chr12,14741,77.69486466318432
HG02559.paternal,0.04131285951371993,310315,15347,AFR,12820,307788,chr16,15347,83.53424121978237
HG02559.paternal,0.04472111875464264,309630,15689,AFR,13847,307788,chr9,15689,88.25928994837147
HG02559.paternal,3.248947341061496e-06,307792,5,AFR,1,307788,chrM,5,20.0
HG02559.paternal,0.06162300728991428,312075,23518,AFR,19231,307788,chr2,23518,81.77140913342971
HG02559.paternal,0.03282109412234488,310532,12936,AFR,10192,307788,chr4,12936,78.78787878787878
HG02559.paternal,0.03637031121187139,310528,14034,AFR,11294,307788,chr8,14034,80.4759868889839
HG02559.paternal,0.04055213615659557,309996,14779,AFR,12571,307788,chr6,14779,85.05988226537654
HG02559.maternal,0.04160067608759463,310019,15028,AFR,12897,307888,chr5,15028,85.8198030343359
HG02559.maternal,0.02534180206224065,310633,10617,AFR,7872,307888,chr22,10617,74.14523876801357
HG02559.maternal,0.02097053052819706,308862,7451,AFR,6477,307888,chr13,7451,86.92792913702858
HG02559.maternal,0.04462761562770243,311063,17057,AFR,13882,307888,chr7,17057,81.38594125578942
HG02559.maternal,0.03266334095251643,309307,11522,AFR,10103,307888,chr20,11522,87.6844297864954
HG02559.maternal,0.019671483313412435,308721,6906,AFR,6073,307888,chr18,6906,87.93802490587895
HG02559.maternal,0.027666059247552853,310055,10745,AFR,8578,307888,chr15,10745,79.8324802233597
HG02559.maternal,0.049087221095334685,310590,17948,AFR,15246,307888,chr17,17948,84.94539781591264
HG02559.maternal,0.04815643638528991,312357,19511,AFR,15042,307888,chr19,19511,77.09497206703911
HG02559.maternal,0.03973792815505917,311365,15850,AFR,12373,307888,chr10,15850,78.06309148264984
