,average,q0025,q0975
0,0.784,0.658,0.915
1,0.769,0.643,0.899
2,0.784,0.662,0.914
3,0.809,0.684,0.95
4,0.784,0.658,0.92
5,0.794,0.674,0.934
6,0.774,0.657,0.91
7,0.759,0.644,0.89
8,0.744,0.628,0.881
9,0.749,0.633,0.88
10,0.749,0.633,0.875
11,0.749,0.638,0.879
12,0.744,0.629,0.869
13,0.739,0.623,0.864
14,0.759,0.647,0.88
15,0.754,0.638,0.881
16,0.754,0.637,0.88
17,0.754,0.643,0.88
18,0.769,0.653,0.895
19,0.789,0.673,0.909
20,0.794,0.669,0.909
21,0.779,0.658,0.895
22,0.789,0.663,0.91
23,0.794,0.663,0.907
24,0.784,0.659,0.895
25,0.799,0.673,0.918
26,0.814,0.688,0.94
27,0.819,0.693,0.939
28,0.824,0.698,0.943
29,0.819,0.689,0.935
30,0.779,0.662,0.896
31,0.779,0.663,0.899
32,0.779,0.663,0.899
33,0.774,0.658,0.898
34,0.769,0.658,0.893
35,0.779,0.668,0.898
36,0.779,0.667,0.895
37,0.774,0.664,0.894
38,0.784,0.672,0.9
39,0.774,0.659,0.899
40,0.774,0.667,0.894
41,0.784,0.674,0.905
42,0.779,0.672,0.895
43,0.804,0.687,0.929
44,0.784,0.662,0.906
45,0.779,0.659,0.9
46,0.729,0.618,0.84
47,0.708,0.598,0.824
48,0.708,0.597,0.825
49,0.744,0.623,0.86
50,0.714,0.592,0.834
51,0.729,0.608,0.85
52,0.749,0.628,0.875
53,0.784,0.659,0.905
54,0.824,0.7,0.95
55,0.819,0.694,0.953
56,0.799,0.67,0.933
57,0.784,0.667,0.915
58,0.799,0.684,0.933
59,0.804,0.688,0.934
60,0.799,0.684,0.931
61,0.799,0.683,0.93
62,0.824,0.706,0.96
63,0.834,0.714,0.968
64,0.829,0.713,0.955
65,0.834,0.714,0.965
66,0.864,0.749,0.996
67,0.864,0.748,1.001
68,0.854,0.738,0.985
69,0.874,0.754,1.01
70,0.864,0.748,0.994
71,0.869,0.749,0.997
72,0.854,0.738,0.984
73,0.859,0.743,0.985
74,0.829,0.714,0.955
75,0.794,0.678,0.919
76,0.779,0.665,0.908
77,0.784,0.658,0.914
78,0.774,0.652,0.899
79,0.774,0.654,0.899
80,0.769,0.649,0.895
81,0.789,0.669,0.919
82,0.774,0.658,0.9
83,0.764,0.648,0.889
84,0.759,0.647,0.883
85,0.744,0.628,0.865
86,0.724,0.608,0.84
87,0.759,0.633,0.885
88,0.769,0.648,0.894
89,0.754,0.634,0.879
90,0.764,0.644,0.893
91,0.774,0.658,0.9
92,0.769,0.653,0.894
93,0.749,0.634,0.875
94,0.749,0.632,0.874
95,0.764,0.647,0.887
96,0.759,0.644,0.879
97,0.749,0.638,0.868
98,0.749,0.633,0.87
99,0.759,0.639,0.88
100,0.799,0.679,0.924
101,0.794,0.674,0.915
102,0.779,0.659,0.904
103,0.764,0.647,0.881
104,0.784,0.663,0.903
105,0.789,0.672,0.911
106,0.779,0.663,0.896
107,0.799,0.68,0.919
108,0.784,0.663,0.905
109,0.774,0.643,0.897
110,0.779,0.657,0.907
111,0.769,0.648,0.894
112,0.754,0.633,0.88
113,0.784,0.658,0.91
114,0.794,0.668,0.923
115,0.794,0.658,0.92
116,0.794,0.658,0.924
117,0.784,0.653,0.913
118,0.759,0.632,0.884
119,0.774,0.642,0.896
120,0.774,0.639,0.894
121,0.789,0.658,0.909
122,0.814,0.683,0.935
123,0.814,0.677,0.941
124,0.799,0.673,0.923
125,0.809,0.683,0.934
126,0.809,0.678,0.931
127,0.799,0.673,0.919
128,0.819,0.685,0.941
129,0.809,0.673,0.925
130,0.794,0.658,0.908
131,0.809,0.673,0.929
132,0.794,0.662,0.914
133,0.784,0.659,0.903
134,0.809,0.684,0.932
135,0.809,0.684,0.93
136,0.804,0.679,0.919
137,0.794,0.669,0.914
138,0.814,0.688,0.935
139,0.814,0.693,0.935
140,0.834,0.718,0.956
141,0.839,0.724,0.964
142,0.844,0.728,0.969
143,0.854,0.728,0.984
144,0.874,0.747,1.001
145,0.879,0.749,1.009
146,0.859,0.729,0.99
147,0.854,0.733,0.984
148,0.874,0.75,1.004
149,0.869,0.747,1.001
150,0.859,0.733,0.989
151,0.859,0.737,0.981
152,0.874,0.744,1.005
153,0.864,0.738,0.995
154,0.879,0.754,1.01
155,0.874,0.742,1.007
156,0.839,0.708,0.971
157,0.834,0.704,0.969
158,0.839,0.713,0.97
159,0.839,0.717,0.975
160,0.804,0.689,0.935
161,0.814,0.699,0.95
162,0.789,0.678,0.913
163,0.819,0.703,0.951
164,0.819,0.694,0.952
165,0.824,0.708,0.959
166,0.834,0.713,0.969
167,0.859,0.734,0.998
168,0.839,0.719,0.978
169,0.854,0.734,0.993
170,0.854,0.738,0.989
171,0.874,0.754,1.008
172,0.904,0.779,1.05
173,0.899,0.783,1.041
174,0.909,0.782,1.047
175,0.889,0.765,1.024
176,0.915,0.789,1.05
177,0.894,0.77,1.029
178,0.864,0.74,0.997
179,0.854,0.729,0.989
180,0.859,0.739,0.994
181,0.839,0.713,0.969
182,0.829,0.705,0.958
183,0.819,0.694,0.949
184,0.834,0.71,0.959
185,0.839,0.718,0.965
186,0.849,0.729,0.979
187,0.869,0.744,0.994
188,0.854,0.724,0.98
189,0.879,0.754,1.014
190,0.869,0.743,1.0
191,0.874,0.749,1.01
192,0.859,0.738,0.999
193,0.879,0.752,1.018
194,0.894,0.769,1.03
195,0.859,0.743,0.99
196,0.849,0.733,0.975
197,0.859,0.737,0.986
198,0.839,0.718,0.965
199,0.799,0.678,0.924
200,0.834,0.714,0.964
201,0.854,0.729,0.988
202,0.839,0.719,0.968
203,0.799,0.683,0.921
204,0.819,0.699,0.945
205,0.829,0.714,0.959
206,0.839,0.725,0.969
207,0.854,0.737,0.987
208,0.864,0.743,0.995
209,0.859,0.735,0.986
210,0.849,0.724,0.981
211,0.844,0.723,0.971
212,0.799,0.68,0.921
213,0.819,0.702,0.946
214,0.829,0.714,0.951
215,0.839,0.713,0.965
216,0.834,0.704,0.96
217,0.839,0.709,0.961
218,0.839,0.712,0.964
219,0.849,0.718,0.97
220,0.844,0.718,0.965
221,0.824,0.702,0.95
222,0.824,0.703,0.948
223,0.834,0.713,0.961
224,0.849,0.723,0.98
225,0.839,0.714,0.965
226,0.844,0.72,0.969
227,0.819,0.698,0.94
228,0.839,0.713,0.961
229,0.834,0.708,0.956
230,0.819,0.693,0.94
231,0.819,0.694,0.934
232,0.854,0.719,0.979
233,0.844,0.718,0.961
234,0.869,0.743,0.995
235,0.884,0.759,1.01
236,0.884,0.758,1.014
237,0.859,0.729,0.985
238,0.889,0.76,1.016
239,0.849,0.724,0.975
240,0.864,0.739,0.996
241,0.859,0.733,0.99
242,0.874,0.753,1.009
243,0.879,0.754,1.015
244,0.869,0.747,1.009
245,0.869,0.744,1.006
246,0.874,0.754,1.011
247,0.864,0.744,1.0
248,0.874,0.753,1.013
249,0.894,0.768,1.034
250,0.894,0.774,1.026
251,0.869,0.744,1.003
252,0.874,0.748,1.006
253,0.894,0.769,1.031
254,0.889,0.764,1.029
255,0.864,0.739,1.005
256,0.864,0.739,0.998
257,0.864,0.749,1.004
258,0.849,0.729,0.984
259,0.844,0.724,0.979
260,0.849,0.732,0.979
261,0.854,0.738,0.989
262,0.829,0.715,0.954
263,0.809,0.693,0.94
264,0.814,0.693,0.944
265,0.829,0.703,0.962
266,0.794,0.677,0.929
267,0.834,0.712,0.962
268,0.824,0.708,0.949
269,0.814,0.694,0.936
270,0.809,0.689,0.934
271,0.819,0.699,0.94
272,0.809,0.697,0.935
273,0.789,0.678,0.91
274,0.774,0.663,0.902
275,0.759,0.648,0.881
276,0.764,0.653,0.886
277,0.734,0.628,0.858
278,0.729,0.624,0.854
279,0.739,0.632,0.868
280,0.764,0.654,0.89
281,0.749,0.643,0.874
282,0.739,0.624,0.859
283,0.754,0.638,0.87
284,0.749,0.633,0.868
285,0.774,0.658,0.886
286,0.789,0.673,0.9
287,0.784,0.668,0.895
288,0.789,0.673,0.907
289,0.764,0.644,0.88
290,0.784,0.654,0.905
291,0.789,0.658,0.919
292,0.779,0.658,0.899
293,0.794,0.668,0.914
294,0.799,0.673,0.916
295,0.779,0.659,0.899
296,0.789,0.674,0.915
297,0.814,0.698,0.939
298,0.834,0.715,0.951
299,0.854,0.727,0.982
300,0.859,0.732,0.98
301,0.874,0.743,0.999
302,0.824,0.698,0.948
303,0.799,0.678,0.92
304,0.799,0.683,0.915
305,0.804,0.684,0.919
306,0.814,0.693,0.933
307,0.814,0.692,0.93
308,0.839,0.709,0.96
309,0.834,0.708,0.955
310,0.834,0.708,0.955
311,0.834,0.709,0.955
312,0.819,0.698,0.938
313,0.794,0.674,0.909
314,0.814,0.693,0.935
315,0.819,0.698,0.944
316,0.839,0.713,0.965
317,0.854,0.729,0.985
318,0.814,0.698,0.941
319,0.799,0.679,0.92
320,0.779,0.655,0.9
321,0.754,0.634,0.874
322,0.749,0.633,0.869
323,0.774,0.658,0.891
324,0.799,0.682,0.93
325,0.794,0.684,0.92
326,0.784,0.672,0.91
327,0.789,0.677,0.91
328,0.809,0.689,0.94
329,0.839,0.719,0.974
330,0.834,0.714,0.971
331,0.839,0.722,0.974
332,0.849,0.732,0.99
333,0.849,0.737,0.995
334,0.844,0.728,0.975
335,0.844,0.734,0.971
336,0.849,0.734,0.98
337,0.814,0.698,0.944
338,0.814,0.694,0.945
339,0.809,0.698,0.931
340,0.809,0.689,0.939
341,0.799,0.683,0.921
342,0.829,0.708,0.953
343,0.809,0.694,0.936
344,0.814,0.698,0.944
345,0.819,0.703,0.954
346,0.789,0.674,0.92
347,0.789,0.677,0.918
348,0.784,0.668,0.912
349,0.779,0.659,0.907
350,0.794,0.678,0.916
351,0.774,0.654,0.896
352,0.764,0.642,0.885
353,0.759,0.643,0.885
354,0.804,0.683,0.93
355,0.784,0.659,0.91
356,0.829,0.703,0.957
357,0.819,0.698,0.946
358,0.809,0.685,0.937
359,0.804,0.679,0.934
360,0.799,0.674,0.92
361,0.824,0.698,0.946
362,0.884,0.763,1.016
363,0.889,0.769,1.025
364,0.849,0.733,0.979
365,0.849,0.724,0.981
366,0.859,0.729,0.994
367,0.879,0.758,1.015
368,0.879,0.748,1.014
369,0.889,0.763,1.026
370,0.849,0.719,0.974
371,0.859,0.73,0.989
372,0.839,0.718,0.955
373,0.869,0.745,0.995
374,0.854,0.73,0.976
375,0.819,0.689,0.945
376,0.824,0.689,0.95
377,0.849,0.729,0.978
378,0.859,0.739,0.991
379,0.864,0.744,0.996
380,0.859,0.738,0.986
381,0.834,0.714,0.963
382,0.829,0.708,0.955
383,0.809,0.689,0.94
384,0.834,0.712,0.963
385,0.849,0.733,0.98
386,0.854,0.733,0.983
387,0.824,0.704,0.942
388,0.874,0.749,1.008
389,0.869,0.745,1.001
390,0.844,0.723,0.979
391,0.814,0.694,0.941
392,0.789,0.673,0.914
393,0.819,0.703,0.949
394,0.804,0.684,0.933
395,0.809,0.698,0.937
396,0.814,0.703,0.943
397,0.814,0.699,0.943
398,0.814,0.699,0.944
399,0.814,0.695,0.944
400,0.779,0.663,0.902
401,0.774,0.658,0.894
402,0.804,0.692,0.925
403,0.784,0.673,0.909
404,0.804,0.689,0.936
405,0.769,0.659,0.891
406,0.764,0.655,0.885
407,0.774,0.662,0.896
408,0.814,0.7,0.943
409,0.839,0.723,0.97
410,0.824,0.709,0.948
411,0.834,0.723,0.96
412,0.824,0.704,0.953
413,0.799,0.687,0.929
414,0.799,0.688,0.925
415,0.799,0.688,0.923
416,0.799,0.679,0.924
417,0.804,0.689,0.924
418,0.824,0.709,0.946
419,0.834,0.718,0.964
420,0.874,0.749,1.005
421,0.899,0.769,1.03
