,average,q0025,q0975
0,0.824,0.76,0.899
1,0.826,0.762,0.902
2,0.826,0.758,0.899
3,0.813,0.748,0.887
4,0.805,0.737,0.884
5,0.805,0.734,0.884
6,0.808,0.738,0.885
7,0.797,0.727,0.873
8,0.799,0.729,0.876
9,0.812,0.738,0.891
10,0.808,0.734,0.884
11,0.805,0.734,0.88
12,0.804,0.732,0.878
13,0.818,0.747,0.888
14,0.828,0.756,0.899
15,0.829,0.759,0.898
16,0.84,0.77,0.913
17,0.85,0.78,0.922
18,0.863,0.792,0.932
19,0.858,0.786,0.928
20,0.876,0.803,0.947
21,0.884,0.812,0.956
22,0.887,0.815,0.96
23,0.874,0.802,0.941
24,0.863,0.79,0.933
25,0.853,0.784,0.92
26,0.848,0.78,0.915
27,0.847,0.779,0.916
28,0.85,0.781,0.917
29,0.863,0.798,0.931
30,0.869,0.801,0.937
31,0.869,0.799,0.938
32,0.861,0.792,0.928
33,0.879,0.811,0.945
34,0.858,0.789,0.928
35,0.855,0.787,0.922
36,0.844,0.775,0.912
37,0.839,0.77,0.909
38,0.829,0.76,0.9
39,0.852,0.781,0.919
40,0.866,0.795,0.936
41,0.868,0.795,0.937
42,0.884,0.809,0.955
43,0.89,0.818,0.963
44,0.879,0.808,0.956
45,0.871,0.796,0.952
46,0.85,0.776,0.929
47,0.845,0.774,0.923
48,0.85,0.774,0.926
49,0.844,0.772,0.914
50,0.844,0.772,0.916
51,0.847,0.774,0.92
52,0.844,0.772,0.92
53,0.855,0.78,0.929
54,0.856,0.784,0.933
55,0.86,0.789,0.938
56,0.848,0.777,0.928
57,0.848,0.778,0.928
58,0.852,0.78,0.933
59,0.847,0.777,0.924
60,0.837,0.77,0.911
61,0.845,0.775,0.919
62,0.848,0.778,0.926
63,0.847,0.776,0.921
64,0.84,0.77,0.912
65,0.832,0.761,0.904
66,0.845,0.772,0.917
67,0.853,0.781,0.927
68,0.855,0.777,0.93
69,0.852,0.773,0.927
70,0.852,0.772,0.927
71,0.84,0.767,0.917
72,0.842,0.77,0.92
73,0.852,0.778,0.929
74,0.85,0.778,0.93
