sampleA,sampleB,jaccard
HG02257.paternal,HG02257.paternal,1.0
HG02257.paternal,HG02257.maternal,0.7217520959859456
HG02257.paternal,HG02559.paternal,0.709968370687764
HG02257.paternal,HG02559.maternal,0.6954763438551285
HG02257.paternal,HG02486.paternal,0.6718961566144454
HG02257.paternal,HG02486.maternal,0.6920759752973191
HG02257.paternal,HG01891.maternal,0.6921470055494018
HG02257.paternal,HG01891.paternal,0.7030456080567135
HG02257.paternal,HG01258.maternal,0.711641718077704
HG02257.paternal,HG03516.paternal,0.7081435805382885
HG02257.paternal,HG03516.maternal,0.71287318512427
HG02257.paternal,HG01123.maternal,0.717656377246511
HG02257.paternal,HG01258.paternal,0.6852014022679822
HG02257.paternal,HG01361.maternal,0.703220757096396
HG02257.paternal,HG01123.paternal,0.6917377335726201
HG02257.paternal,HG01361.paternal,0.7218161132247415
HG02257.paternal,HG01358.maternal,0.718093063758052
HG02257.paternal,HG02622.maternal,0.716172545785811
HG02257.paternal,HG02622.paternal,0.7275284917266701
HG02257.paternal,HG02717.maternal,0.6973294095603391
HG02257.paternal,HG02630.paternal,0.7099450044557218
HG02257.paternal,HG02630.maternal,0.7160035430965327
HG02257.paternal,HG01358.paternal,0.6813756203043997
HG02257.paternal,HG02717.paternal,0.6802082640597636
HG02257.paternal,HG02572.paternal,0.6675970272502064
HG02257.paternal,HG02572.maternal,0.6730972580509247
HG02257.paternal,HG02886.maternal,0.7351115192419283
HG02257.paternal,HG02886.paternal,0.6928573981759241
HG02257.paternal,HG01175.paternal,0.718017995410529
HG02257.paternal,HG01106.paternal,0.6618273855829598
HG02257.paternal,HG01175.maternal,0.704878123171709
HG02257.paternal,HG00741.maternal,0.6783259662184626
HG02257.paternal,HG00741.paternal,0.6909571341460065
HG02257.paternal,HG01106.maternal,0.7244229316471279
HG02257.paternal,HG00438.maternal,0.7513281656390971
HG02257.paternal,HG02148.paternal,0.7022217306549059
HG02257.paternal,HG02148.maternal,0.6871083884731504
HG02257.paternal,HG01952.maternal,0.692525531085023
HG02257.paternal,HG01952.paternal,0.6859385775622344
HG02257.paternal,HG00673.maternal,0.7056856650160404
HG02257.paternal,HG00621.paternal,0.6916393858966093
HG02257.paternal,HG00673.paternal,0.6785529429674634
HG02257.paternal,HG00438.paternal,0.7182736158170014
HG02257.paternal,HG00621.maternal,0.7182720933931177
HG02257.paternal,HG01071.maternal,0.7036968413134738
HG02257.paternal,HG01928.maternal,0.6801858235822354
HG02257.paternal,HG01928.paternal,0.7048640408608683
HG02257.paternal,HG00735.paternal,0.7093571033981162
HG02257.paternal,HG01071.paternal,0.6918312720484276
HG02257.paternal,HG00735.maternal,0.7074491974162069
HG02257.paternal,HG03579.maternal,0.7115529392808825
HG02257.paternal,HG03579.paternal,0.6874020678810482
HG02257.paternal,HG01978.paternal,0.6648860754707809
HG02257.paternal,HG03453.maternal,0.7205677364567591
HG02257.paternal,HG01978.maternal,0.706956247160885
HG02257.paternal,HG03540.maternal,0.7096562884257216
HG02257.paternal,HG03453.paternal,0.7012999933673808
HG02257.paternal,HG03540.paternal,0.7026305672411266
HG02257.paternal,HG03486.paternal,0.7128259455130879
HG02257.paternal,NA18906.maternal,0.7078822775646733
HG02257.paternal,NA18906.paternal,0.6932836539122544
HG02257.paternal,HG03486.maternal,0.7030030910106333
HG02257.paternal,HG02818.paternal,0.7280905055583926
HG02257.paternal,HG02818.maternal,0.7040279628085783
HG02257.paternal,HG01243.paternal,0.6654841431009231
HG02257.paternal,HG02080.paternal,0.719219156427992
HG02257.paternal,HG02723.maternal,0.713857308730046
HG02257.paternal,HG02723.paternal,0.7241998515260599
HG02257.paternal,HG02080.maternal,0.6973074221493796
HG02257.paternal,HG01109.maternal,0.702427058414042
HG02257.paternal,HG01243.maternal,0.7004852398167302
HG02257.paternal,NA20129.paternal,0.7104314648924531
HG02257.paternal,NA20129.maternal,0.7039303267800212
HG02257.paternal,HG01109.paternal,0.6903380458931684
