,average,q0025,q0975
0,0.826,0.774,0.88
1,0.812,0.761,0.867
2,0.82,0.769,0.874
3,0.826,0.776,0.877
4,0.827,0.774,0.879
5,0.836,0.784,0.891
6,0.834,0.782,0.885
7,0.843,0.787,0.896
8,0.834,0.782,0.889
9,0.829,0.776,0.882
10,0.821,0.768,0.872
11,0.817,0.765,0.868
12,0.825,0.772,0.876
13,0.823,0.769,0.875
14,0.82,0.766,0.872
15,0.819,0.765,0.871
16,0.826,0.774,0.878
17,0.827,0.773,0.879
18,0.826,0.772,0.875
19,0.825,0.772,0.876
20,0.824,0.769,0.875
21,0.824,0.771,0.875
22,0.82,0.768,0.871
23,0.813,0.76,0.863
24,0.808,0.757,0.861
25,0.812,0.762,0.864
26,0.812,0.764,0.865
27,0.808,0.757,0.859
28,0.815,0.763,0.868
29,0.809,0.757,0.86
30,0.792,0.741,0.842
31,0.802,0.75,0.852
32,0.805,0.753,0.851
33,0.798,0.747,0.843
34,0.8,0.75,0.848
35,0.804,0.751,0.857
36,0.824,0.773,0.875
37,0.823,0.771,0.874
38,0.83,0.779,0.881
39,0.833,0.783,0.885
40,0.834,0.783,0.884
41,0.82,0.77,0.871
42,0.826,0.777,0.874
43,0.836,0.787,0.887
44,0.841,0.788,0.892
45,0.844,0.792,0.896
46,0.85,0.799,0.9
47,0.84,0.788,0.891
48,0.838,0.787,0.887
49,0.834,0.783,0.882
50,0.838,0.79,0.886
51,0.842,0.793,0.891
52,0.83,0.782,0.879
53,0.834,0.786,0.883
54,0.849,0.799,0.898
55,0.847,0.797,0.896
56,0.843,0.791,0.895
57,0.839,0.79,0.89
58,0.84,0.789,0.89
59,0.843,0.79,0.895
60,0.839,0.787,0.891
61,0.843,0.79,0.893
62,0.834,0.78,0.886
63,0.834,0.782,0.886
64,0.831,0.78,0.882
65,0.822,0.771,0.876
66,0.829,0.777,0.88
67,0.826,0.776,0.879
68,0.825,0.773,0.876
69,0.819,0.768,0.871
70,0.804,0.754,0.857
71,0.789,0.738,0.84
72,0.785,0.737,0.834
73,0.783,0.734,0.831
74,0.773,0.725,0.821
75,0.776,0.728,0.825
76,0.78,0.732,0.828
77,0.786,0.737,0.836
78,0.781,0.733,0.833
79,0.785,0.736,0.835
80,0.78,0.728,0.83
81,0.773,0.721,0.824
82,0.77,0.718,0.82
83,0.771,0.72,0.82
84,0.779,0.727,0.828
85,0.783,0.731,0.834
86,0.784,0.732,0.834
87,0.783,0.73,0.832
88,0.77,0.719,0.82
89,0.777,0.725,0.827
90,0.763,0.713,0.812
91,0.766,0.713,0.816
92,0.763,0.712,0.812
93,0.76,0.709,0.808
94,0.759,0.71,0.808
95,0.764,0.714,0.814
96,0.773,0.721,0.823
97,0.774,0.724,0.822
98,0.772,0.724,0.821
99,0.771,0.723,0.822
100,0.763,0.714,0.813
101,0.762,0.713,0.812
102,0.763,0.713,0.814
103,0.77,0.72,0.821
104,0.781,0.731,0.83
105,0.784,0.737,0.833
106,0.791,0.743,0.84
107,0.812,0.76,0.863
108,0.819,0.767,0.869
109,0.82,0.769,0.872
110,0.817,0.763,0.87
111,0.824,0.772,0.876
112,0.834,0.784,0.887
113,0.839,0.789,0.89
114,0.85,0.799,0.901
115,0.843,0.791,0.895
