,average,q0025,q0975
0,0.842,0.786,0.896
1,0.828,0.773,0.885
2,0.824,0.765,0.881
3,0.823,0.767,0.881
4,0.812,0.756,0.871
5,0.813,0.76,0.869
6,0.817,0.762,0.872
7,0.824,0.771,0.88
8,0.825,0.772,0.882
9,0.831,0.776,0.886
10,0.831,0.776,0.889
11,0.846,0.791,0.902
12,0.843,0.79,0.899
13,0.853,0.797,0.91
14,0.849,0.793,0.907
15,0.853,0.796,0.911
16,0.862,0.802,0.921
17,0.87,0.811,0.93
18,0.872,0.814,0.931
19,0.874,0.816,0.932
20,0.87,0.814,0.927
21,0.86,0.804,0.916
22,0.853,0.797,0.909
23,0.855,0.798,0.91
24,0.847,0.79,0.902
25,0.831,0.774,0.883
26,0.829,0.774,0.884
27,0.822,0.767,0.876
28,0.816,0.763,0.869
29,0.812,0.76,0.865
30,0.822,0.769,0.877
31,0.825,0.769,0.879
32,0.822,0.77,0.877
33,0.815,0.763,0.871
34,0.819,0.767,0.873
35,0.805,0.752,0.858
36,0.798,0.744,0.852
37,0.788,0.734,0.839
38,0.789,0.736,0.84
39,0.782,0.726,0.833
40,0.768,0.713,0.821
41,0.766,0.71,0.818
42,0.767,0.711,0.821
43,0.763,0.707,0.817
44,0.776,0.72,0.828
45,0.772,0.717,0.824
46,0.775,0.72,0.828
47,0.779,0.724,0.834
48,0.784,0.729,0.839
49,0.788,0.731,0.843
50,0.784,0.728,0.837
51,0.786,0.729,0.84
52,0.78,0.725,0.832
53,0.783,0.728,0.835
54,0.79,0.735,0.845
55,0.788,0.735,0.843
56,0.79,0.736,0.843
57,0.79,0.735,0.843
58,0.799,0.745,0.85
59,0.812,0.758,0.864
60,0.814,0.76,0.866
61,0.809,0.754,0.862
62,0.812,0.758,0.864
63,0.815,0.758,0.867
64,0.807,0.75,0.86
65,0.809,0.753,0.862
66,0.802,0.746,0.855
67,0.805,0.749,0.86
68,0.81,0.752,0.867
69,0.806,0.752,0.861
70,0.815,0.761,0.871
71,0.813,0.759,0.87
72,0.807,0.752,0.863
73,0.807,0.752,0.863
74,0.825,0.771,0.881
75,0.824,0.768,0.88
76,0.826,0.77,0.885
77,0.83,0.774,0.887
78,0.835,0.78,0.892
79,0.845,0.789,0.9
80,0.849,0.792,0.907
81,0.856,0.797,0.914
82,0.858,0.798,0.915
83,0.858,0.801,0.913
84,0.842,0.785,0.898
85,0.846,0.791,0.905
86,0.834,0.777,0.891
