Haplotype,unique_seq
HG02572,20750
HG02055,18165
HG02145,16803
HG03098,15336
NA21309,15118
HG02109,14108
HG01071,13802
HG03516,13499
HG01109,13312
HG03492,12653
HG02080,12359
HG03486,11962
HG02257,11913
HG02486,11880
HG02559,11810
HG03579,11636
HG02818,11601
HG01891,11535
HG02717,11420
HG01175,11382
HG02622,11269
HG03453,11185
HG02886,11096
HG00741,11020
NA18906,10907
HG02630,10809
NA20129,10763
HG01243,10755
HG03540,10475
HG00438,10386
HG02723,10328
HG01978,10179
HG00621,9507
HG00673,9380
HG01361,9026
HG00735,8784
HG01258,8639
HG00733,8257
HG01928,8067
HG01123,7997
HG01106,7992
HG01358,7932
HG01952,7134
HG02148,6697
