,average,q0025,q0975
0,0.785,0.655,0.91
1,0.828,0.694,0.962
2,0.806,0.682,0.929
3,0.785,0.657,0.909
4,0.747,0.628,0.861
5,0.742,0.624,0.855
6,0.758,0.64,0.877
7,0.758,0.64,0.877
8,0.747,0.629,0.872
9,0.769,0.65,0.893
10,0.763,0.64,0.887
11,0.758,0.634,0.877
12,0.785,0.66,0.908
13,0.796,0.667,0.915
14,0.828,0.693,0.947
15,0.849,0.714,0.974
16,0.876,0.742,0.999
17,0.892,0.763,1.023
18,0.866,0.741,0.99
19,0.844,0.715,0.967
20,0.839,0.709,0.963
21,0.828,0.7,0.946
22,0.806,0.687,0.926
23,0.823,0.698,0.952
24,0.849,0.725,0.978
25,0.839,0.711,0.972
26,0.849,0.719,0.969
27,0.812,0.678,0.929
28,0.769,0.64,0.887
29,0.806,0.677,0.926
30,0.833,0.704,0.957
31,0.828,0.699,0.956
32,0.806,0.682,0.935
33,0.823,0.689,0.951
34,0.833,0.699,0.962
35,0.833,0.705,0.957
36,0.823,0.698,0.947
37,0.866,0.736,0.995
38,0.855,0.727,0.988
39,0.806,0.678,0.936
40,0.753,0.629,0.872
41,0.747,0.623,0.87
42,0.769,0.644,0.889
43,0.79,0.662,0.915
44,0.769,0.645,0.888
45,0.785,0.661,0.907
46,0.806,0.678,0.924
47,0.796,0.666,0.913
48,0.763,0.635,0.883
49,0.763,0.639,0.884
50,0.769,0.64,0.887
51,0.79,0.663,0.909
52,0.801,0.672,0.92
53,0.796,0.666,0.919
54,0.758,0.638,0.881
55,0.774,0.652,0.897
56,0.78,0.661,0.909
57,0.79,0.672,0.916
58,0.78,0.656,0.909
59,0.79,0.668,0.918
60,0.801,0.677,0.925
61,0.79,0.671,0.915
62,0.812,0.683,0.947
63,0.801,0.678,0.936
64,0.812,0.682,0.947
65,0.785,0.661,0.918
66,0.796,0.667,0.927
67,0.785,0.656,0.919
68,0.769,0.639,0.898
69,0.731,0.607,0.854
70,0.747,0.618,0.867
71,0.769,0.635,0.894
72,0.78,0.651,0.909
73,0.78,0.655,0.91
74,0.785,0.666,0.92
75,0.758,0.64,0.888
76,0.769,0.652,0.899
77,0.774,0.655,0.904
78,0.763,0.651,0.891
79,0.774,0.657,0.904
80,0.758,0.644,0.882
81,0.774,0.656,0.903
82,0.785,0.671,0.913
83,0.79,0.678,0.92
84,0.769,0.651,0.894
85,0.78,0.666,0.904
86,0.774,0.656,0.899
87,0.806,0.683,0.936
88,0.796,0.677,0.93
89,0.806,0.687,0.941
90,0.769,0.645,0.899
91,0.758,0.629,0.888
92,0.769,0.645,0.899
93,0.747,0.628,0.885
94,0.72,0.606,0.854
95,0.731,0.618,0.861
96,0.747,0.628,0.881
97,0.774,0.656,0.904
98,0.753,0.635,0.885
99,0.763,0.645,0.888
100,0.774,0.646,0.899
101,0.78,0.657,0.908
102,0.801,0.678,0.931
103,0.796,0.672,0.924
104,0.839,0.705,0.963
105,0.839,0.71,0.967
106,0.812,0.678,0.937
107,0.844,0.715,0.974
108,0.823,0.693,0.956
109,0.855,0.726,0.984
110,0.849,0.721,0.974
111,0.817,0.689,0.942
112,0.844,0.715,0.974
113,0.855,0.725,0.988
114,0.828,0.693,0.957
115,0.833,0.71,0.962
116,0.839,0.716,0.968
117,0.839,0.716,0.966
118,0.823,0.703,0.955
119,0.801,0.677,0.93
120,0.801,0.676,0.926
121,0.785,0.656,0.909
122,0.78,0.655,0.899
123,0.774,0.646,0.897
124,0.823,0.688,0.944
125,0.812,0.672,0.934
126,0.844,0.705,0.973
127,0.876,0.735,1.006
128,0.866,0.719,0.995
129,0.866,0.72,0.999
130,0.882,0.741,1.016
131,0.86,0.72,0.989
132,0.844,0.707,0.973
133,0.828,0.698,0.956
134,0.833,0.698,0.968
135,0.86,0.725,1.001
136,0.871,0.736,1.011
137,0.849,0.72,0.998
138,0.839,0.715,0.985
139,0.817,0.698,0.957
140,0.828,0.705,0.979
141,0.823,0.699,0.968
142,0.817,0.693,0.963
143,0.828,0.7,0.975
144,0.839,0.714,0.984
145,0.855,0.727,1.002
146,0.86,0.734,0.998
147,0.871,0.746,1.011
148,0.871,0.742,1.003
149,0.876,0.752,1.016
150,0.882,0.753,1.021
151,0.839,0.715,0.979
152,0.806,0.689,0.937
153,0.806,0.683,0.936
154,0.844,0.716,0.979
155,0.817,0.694,0.955
156,0.817,0.695,0.945
157,0.817,0.699,0.942
158,0.828,0.708,0.956
159,0.839,0.711,0.968
160,0.871,0.741,1.001
161,0.882,0.747,1.012
162,0.855,0.721,0.989
163,0.849,0.721,0.989
164,0.849,0.726,0.983
165,0.855,0.729,0.991
166,0.839,0.715,0.972
167,0.855,0.732,0.99
168,0.882,0.753,1.021
169,0.914,0.78,1.06
170,0.898,0.758,1.043
171,0.876,0.747,1.01
172,0.892,0.757,1.031
173,0.93,0.791,1.08
174,0.93,0.791,1.072
175,0.935,0.795,1.076
176,0.914,0.773,1.058
177,0.946,0.807,1.094
178,0.952,0.817,1.096
179,0.946,0.805,1.091
180,0.946,0.805,1.087
181,0.935,0.801,1.075
182,0.93,0.794,1.067
183,0.903,0.769,1.04
184,0.892,0.762,1.028
185,0.876,0.747,1.005
186,0.866,0.735,0.996
187,0.844,0.715,0.986
188,0.839,0.704,0.973
189,0.796,0.666,0.926
190,0.78,0.645,0.919
191,0.79,0.66,0.926
192,0.78,0.655,0.914
193,0.806,0.677,0.941
194,0.78,0.651,0.913
195,0.785,0.657,0.92
196,0.79,0.666,0.931
197,0.774,0.65,0.914
198,0.785,0.655,0.925
199,0.774,0.645,0.914
200,0.78,0.651,0.915
201,0.774,0.645,0.898
202,0.758,0.629,0.884
203,0.726,0.603,0.85
204,0.72,0.602,0.844
205,0.731,0.617,0.855
206,0.753,0.633,0.878
207,0.742,0.624,0.866
208,0.737,0.618,0.854
209,0.726,0.607,0.843
210,0.694,0.574,0.811
211,0.715,0.597,0.834
212,0.715,0.597,0.828
213,0.731,0.608,0.855
214,0.726,0.607,0.849
215,0.763,0.641,0.892
216,0.801,0.679,0.93
217,0.817,0.697,0.951
218,0.812,0.689,0.95
219,0.817,0.698,0.952
220,0.839,0.715,0.972
221,0.833,0.71,0.961
222,0.823,0.699,0.947
223,0.817,0.689,0.941
224,0.844,0.719,0.973
225,0.839,0.707,0.968
226,0.86,0.732,0.988
227,0.855,0.724,0.984
228,0.86,0.722,0.984
229,0.849,0.71,0.982
230,0.839,0.71,0.962
231,0.828,0.694,0.95
232,0.86,0.721,0.984
233,0.855,0.715,0.978
234,0.866,0.726,0.991
235,0.86,0.72,0.991
236,0.839,0.698,0.964
237,0.833,0.698,0.959
238,0.839,0.704,0.966
239,0.833,0.699,0.962
240,0.817,0.683,0.941
241,0.828,0.699,0.952
242,0.849,0.716,0.984
243,0.849,0.719,0.985
244,0.839,0.704,0.977
245,0.828,0.694,0.968
246,0.812,0.684,0.954
247,0.806,0.687,0.947
248,0.801,0.678,0.937
249,0.823,0.699,0.957
250,0.801,0.678,0.931
251,0.78,0.655,0.918
252,0.79,0.666,0.929
253,0.796,0.677,0.935
254,0.79,0.676,0.93
255,0.796,0.671,0.94
256,0.817,0.698,0.972
257,0.812,0.693,0.955
258,0.844,0.715,0.993
259,0.855,0.725,0.999
260,0.887,0.753,1.031
261,0.909,0.774,1.064
262,0.903,0.774,1.059
263,0.914,0.78,1.07
264,0.876,0.746,1.027
265,0.855,0.725,1.001
266,0.828,0.698,0.969
267,0.833,0.703,0.974
268,0.849,0.72,0.994
269,0.844,0.709,0.994
270,0.849,0.716,0.994
271,0.823,0.694,0.961
272,0.79,0.666,0.926
273,0.812,0.683,0.947
274,0.79,0.662,0.92
275,0.774,0.649,0.904
276,0.796,0.667,0.934
277,0.812,0.678,0.947
278,0.812,0.678,0.942
279,0.817,0.684,0.952
280,0.806,0.677,0.935
281,0.849,0.716,0.978
282,0.844,0.71,0.972
283,0.801,0.677,0.924
284,0.79,0.667,0.914
285,0.817,0.693,0.947
286,0.806,0.683,0.93
287,0.823,0.694,0.952
288,0.844,0.71,0.968
289,0.871,0.737,1.002
290,0.887,0.752,1.02
291,0.903,0.765,1.034
292,0.914,0.775,1.048
293,0.909,0.779,1.04
294,0.882,0.749,1.01
295,0.909,0.774,1.039
296,0.887,0.753,1.017
297,0.903,0.769,1.046
298,0.871,0.738,1.001
299,0.866,0.736,0.99
300,0.882,0.752,1.012
301,0.892,0.758,1.024
302,0.876,0.742,1.006
303,0.844,0.72,0.977
304,0.849,0.722,0.985
305,0.855,0.731,0.991
306,0.828,0.709,0.97
307,0.801,0.682,0.945
308,0.79,0.673,0.93
309,0.769,0.65,0.904
310,0.758,0.64,0.887
311,0.753,0.629,0.884
312,0.737,0.618,0.857
313,0.737,0.617,0.862
314,0.726,0.602,0.844
315,0.726,0.608,0.85
316,0.726,0.607,0.85
317,0.71,0.592,0.832
318,0.72,0.602,0.841
319,0.71,0.586,0.833
320,0.704,0.586,0.827
321,0.715,0.596,0.843
322,0.694,0.575,0.823
323,0.683,0.564,0.811
324,0.694,0.58,0.818
325,0.72,0.607,0.85
326,0.747,0.623,0.877
327,0.731,0.608,0.859
328,0.763,0.644,0.894
329,0.753,0.63,0.883
330,0.753,0.63,0.886
331,0.731,0.608,0.861
332,0.737,0.617,0.871
333,0.72,0.607,0.854
334,0.704,0.587,0.837
335,0.71,0.598,0.838
336,0.737,0.624,0.861
337,0.742,0.628,0.87
338,0.742,0.624,0.866
339,0.731,0.612,0.85
340,0.715,0.597,0.829
341,0.731,0.608,0.854
342,0.72,0.602,0.835
343,0.758,0.645,0.876
344,0.774,0.651,0.899
345,0.796,0.667,0.92
346,0.785,0.657,0.913
347,0.79,0.661,0.915
348,0.801,0.672,0.932
349,0.823,0.694,0.952
350,0.823,0.693,0.951
351,0.839,0.704,0.973
352,0.823,0.694,0.946
353,0.823,0.699,0.946
354,0.812,0.683,0.939
355,0.806,0.683,0.935
356,0.79,0.666,0.91
357,0.817,0.684,0.943
358,0.833,0.694,0.957
359,0.817,0.683,0.945
360,0.823,0.689,0.947
361,0.839,0.704,0.969
362,0.812,0.678,0.94
363,0.806,0.678,0.936
364,0.796,0.667,0.926
365,0.812,0.678,0.941
