,average,q0025,q0975
0,0.95,0.805,1.118
1,0.915,0.771,1.077
2,0.922,0.777,1.083
3,0.902,0.756,1.06
4,0.929,0.777,1.087
5,0.888,0.743,1.042
6,0.902,0.751,1.049
7,0.936,0.785,1.094
8,0.929,0.771,1.087
9,0.908,0.749,1.066
10,0.895,0.737,1.048
11,0.881,0.722,1.033
12,0.902,0.742,1.056
13,0.888,0.736,1.041
14,0.895,0.737,1.053
15,0.908,0.751,1.068
16,0.902,0.737,1.061
17,0.936,0.779,1.101
18,0.915,0.769,1.074
19,0.929,0.776,1.088
20,0.936,0.779,1.1
21,0.908,0.757,1.065
22,0.915,0.764,1.074
23,0.908,0.763,1.061
24,0.874,0.723,1.02
25,0.847,0.702,0.993
26,0.874,0.729,1.026
27,0.874,0.722,1.034
28,0.867,0.716,1.018
29,0.84,0.695,0.985
30,0.84,0.69,0.991
31,0.853,0.703,1.005
32,0.874,0.723,1.019
33,0.881,0.736,1.026
34,0.853,0.709,1.007
35,0.867,0.716,1.026
36,0.881,0.728,1.04
37,0.895,0.743,1.052
38,0.881,0.73,1.034
39,0.874,0.724,1.026
40,0.881,0.723,1.038
41,0.867,0.716,1.024
42,0.895,0.743,1.055
43,0.881,0.729,1.034
44,0.86,0.709,1.013
45,0.84,0.695,0.998
46,0.84,0.695,0.99
47,0.833,0.689,0.985
48,0.847,0.707,0.992
49,0.84,0.701,0.986
50,0.84,0.701,0.984
51,0.819,0.682,0.962
52,0.805,0.669,0.949
53,0.812,0.675,0.956
54,0.798,0.667,0.94
55,0.778,0.647,0.923
56,0.785,0.648,0.922
57,0.785,0.647,0.923
58,0.764,0.626,0.902
59,0.757,0.618,0.901
60,0.736,0.605,0.875
61,0.73,0.599,0.866
62,0.778,0.64,0.92
63,0.736,0.6,0.868
64,0.778,0.639,0.917
65,0.798,0.666,0.937
66,0.785,0.647,0.929
67,0.798,0.661,0.943
68,0.798,0.661,0.943
69,0.785,0.641,0.923
70,0.771,0.633,0.914
71,0.778,0.64,0.924
72,0.791,0.654,0.941
73,0.812,0.674,0.957
74,0.812,0.668,0.957
75,0.833,0.689,0.981
76,0.826,0.681,0.976
77,0.833,0.681,0.978
78,0.86,0.703,1.017
79,0.874,0.723,1.025
80,0.867,0.704,1.012
81,0.84,0.682,0.984
82,0.847,0.695,0.992
83,0.833,0.682,0.985
84,0.84,0.687,0.991
85,0.86,0.708,1.013
86,0.86,0.704,1.018
87,0.826,0.674,0.978
88,0.798,0.647,0.949
89,0.819,0.663,0.977
90,0.805,0.661,0.957
91,0.819,0.668,0.972
92,0.812,0.661,0.963
93,0.819,0.674,0.97
94,0.84,0.69,0.991
95,0.84,0.688,0.989
96,0.847,0.696,0.997
97,0.847,0.695,1.003
98,0.84,0.689,0.997
99,0.853,0.703,1.006
100,0.84,0.694,0.999
101,0.791,0.647,0.932
102,0.805,0.66,0.945
103,0.826,0.682,0.971
104,0.853,0.71,0.999
105,0.888,0.742,1.046
106,0.908,0.764,1.061
107,0.902,0.752,1.055
108,0.922,0.778,1.081
109,0.922,0.778,1.069
110,0.902,0.763,1.052
111,0.902,0.758,1.041
112,0.908,0.765,1.054
113,0.922,0.783,1.079
114,0.895,0.757,1.052
115,0.929,0.792,1.087
116,0.895,0.764,1.048
117,0.902,0.764,1.047
118,0.902,0.764,1.053
119,0.902,0.763,1.053
120,0.915,0.776,1.068
121,0.902,0.762,1.049
122,0.888,0.743,1.04
123,0.84,0.695,0.992
124,0.833,0.688,0.997
125,0.84,0.702,0.998
126,0.847,0.702,1.006
127,0.867,0.723,1.025
128,0.908,0.759,1.065
129,0.895,0.75,1.04
130,0.895,0.75,1.046
131,0.888,0.745,1.04
132,0.867,0.723,1.011
133,0.84,0.694,0.984
134,0.819,0.674,0.957
135,0.819,0.675,0.963
136,0.833,0.689,0.976
137,0.812,0.667,0.956
138,0.798,0.661,0.936
139,0.833,0.689,0.979
140,0.833,0.696,0.98
141,0.853,0.722,1.004
142,0.874,0.736,1.027
143,0.874,0.73,1.019
144,0.888,0.744,1.039
145,0.881,0.737,1.033
146,0.915,0.769,1.07
147,0.943,0.798,1.101
148,0.929,0.785,1.086
149,0.867,0.724,1.019
150,0.915,0.766,1.074
151,0.915,0.759,1.08
152,0.902,0.75,1.054
153,0.929,0.77,1.087
154,0.908,0.751,1.061
155,0.874,0.716,1.026
156,0.895,0.737,1.053
157,0.922,0.757,1.074
158,0.902,0.743,1.06
159,0.915,0.75,1.074
160,0.908,0.743,1.067
161,0.902,0.736,1.061
162,0.95,0.779,1.116
163,0.957,0.79,1.122
164,0.943,0.771,1.108
165,0.936,0.77,1.094
166,0.915,0.75,1.076
167,0.881,0.723,1.039
168,0.881,0.73,1.031
169,0.888,0.737,1.039
170,0.915,0.758,1.075
171,0.95,0.798,1.113
172,0.943,0.785,1.1
173,0.943,0.784,1.107
174,0.964,0.805,1.131
175,0.984,0.819,1.142
176,1.012,0.846,1.171
177,1.026,0.861,1.197
178,1.053,0.89,1.216
179,1.046,0.874,1.213
180,1.074,0.904,1.239
181,1.039,0.881,1.206
182,1.087,0.922,1.26
183,1.06,0.903,1.218
184,1.067,0.909,1.233
185,1.067,0.903,1.225
186,1.081,0.915,1.239
187,1.032,0.866,1.19
188,0.984,0.826,1.152
189,1.019,0.86,1.184
190,0.991,0.833,1.157
191,1.005,0.846,1.171
192,0.991,0.838,1.156
193,0.991,0.828,1.154
194,0.97,0.811,1.134
195,0.929,0.772,1.082
196,0.929,0.779,1.083
197,0.943,0.79,1.096
198,0.929,0.776,1.084
199,0.915,0.765,1.07
200,0.915,0.765,1.074
201,0.902,0.752,1.053
202,0.908,0.759,1.074
203,0.888,0.743,1.047
204,0.874,0.735,1.025
205,0.847,0.708,0.997
206,0.847,0.702,0.995
207,0.847,0.7,0.99
208,0.881,0.729,1.024
209,0.847,0.689,0.997
210,0.86,0.708,1.01
211,0.847,0.701,0.998
212,0.84,0.689,0.991
213,0.84,0.688,0.989
214,0.798,0.654,0.943
215,0.84,0.694,0.995
216,0.812,0.675,0.958
217,0.826,0.689,0.977
218,0.833,0.689,0.988
219,0.86,0.714,1.017
220,0.853,0.71,1.004
221,0.84,0.696,0.987
222,0.847,0.702,0.985
223,0.826,0.681,0.971
224,0.826,0.695,0.984
225,0.826,0.694,0.971
226,0.833,0.696,0.984
227,0.84,0.696,0.983
228,0.847,0.702,0.986
229,0.833,0.69,0.976
230,0.812,0.675,0.956
231,0.819,0.682,0.951
232,0.86,0.717,1.004
233,0.86,0.716,1.005
234,0.895,0.75,1.039
235,0.943,0.785,1.105
236,0.922,0.777,1.079
237,0.95,0.792,1.111
238,0.964,0.81,1.128
239,0.936,0.778,1.088
240,0.929,0.771,1.087
241,0.908,0.755,1.067
242,0.895,0.743,1.051
243,0.867,0.717,1.024
244,0.867,0.722,1.019
245,0.833,0.695,0.988
246,0.867,0.73,1.018
247,0.833,0.696,0.983
248,0.833,0.694,0.984
249,0.84,0.696,0.989
250,0.847,0.717,1.004
251,0.833,0.701,0.988
252,0.833,0.694,0.986
253,0.791,0.661,0.949
254,0.791,0.661,0.949
255,0.785,0.66,0.937
256,0.812,0.675,0.963
257,0.826,0.682,0.978
258,0.819,0.682,0.977
259,0.826,0.682,0.991
260,0.826,0.683,0.987
261,0.819,0.687,0.983
262,0.812,0.675,0.978
263,0.798,0.654,0.957
264,0.785,0.653,0.943
265,0.757,0.619,0.907
266,0.75,0.613,0.901
267,0.743,0.605,0.89
268,0.757,0.62,0.901
269,0.75,0.613,0.893
270,0.75,0.612,0.9
271,0.736,0.598,0.883
272,0.791,0.654,0.941
273,0.791,0.646,0.935
274,0.819,0.667,0.97
275,0.819,0.667,0.97
276,0.791,0.647,0.929
277,0.764,0.618,0.9
278,0.757,0.612,0.889
279,0.75,0.605,0.888
280,0.791,0.633,0.935
281,0.785,0.634,0.929
282,0.826,0.673,0.97
283,0.826,0.681,0.977
284,0.847,0.696,0.998
285,0.847,0.702,0.997
286,0.853,0.708,1.01
287,0.853,0.704,1.011
288,0.888,0.724,1.046
289,0.908,0.75,1.065
290,0.881,0.73,1.031
291,0.853,0.702,1.004
292,0.84,0.696,0.978
293,0.819,0.675,0.969
294,0.847,0.702,0.994
295,0.84,0.702,0.991
296,0.853,0.717,1.004
297,0.826,0.688,0.971
298,0.812,0.674,0.957
299,0.84,0.695,0.983
300,0.84,0.701,0.977
301,0.853,0.709,0.999
302,0.847,0.702,0.991
303,0.853,0.709,1.006
304,0.853,0.709,1.005
305,0.853,0.703,1.011
306,0.881,0.73,1.04
307,0.908,0.764,1.068
308,0.922,0.778,1.086
309,0.902,0.75,1.054
310,0.902,0.751,1.051
311,0.908,0.758,1.067
312,0.853,0.702,1.012
313,0.86,0.708,1.012
314,0.867,0.709,1.019
315,0.847,0.688,1.003
316,0.84,0.674,0.997
317,0.84,0.688,0.992
318,0.847,0.688,0.992
319,0.908,0.743,1.067
320,0.929,0.758,1.086
321,0.895,0.736,1.041
322,0.936,0.764,1.095
323,0.943,0.777,1.1
324,0.957,0.786,1.121
325,0.964,0.792,1.115
326,0.957,0.786,1.12
327,0.915,0.751,1.069
328,0.86,0.709,1.011
329,0.805,0.66,0.956
330,0.791,0.646,0.942
331,0.785,0.639,0.935
332,0.798,0.647,0.944
333,0.84,0.695,0.985
334,0.847,0.702,0.994
335,0.86,0.716,1.006
336,0.819,0.681,0.962
337,0.791,0.648,0.937
338,0.778,0.64,0.922
339,0.736,0.606,0.877
340,0.716,0.585,0.86
341,0.73,0.599,0.874
342,0.73,0.599,0.877
343,0.73,0.605,0.875
344,0.736,0.611,0.888
345,0.743,0.613,0.901
346,0.764,0.633,0.908
347,0.736,0.598,0.882
348,0.75,0.606,0.901
349,0.785,0.646,0.935
350,0.771,0.627,0.92
351,0.812,0.669,0.97
352,0.847,0.7,1.01
353,0.812,0.662,0.979
354,0.819,0.674,0.979
355,0.833,0.694,0.998
356,0.84,0.695,1.006
357,0.84,0.696,0.999
358,0.853,0.704,1.017
359,0.847,0.701,1.006
360,0.84,0.696,0.999
361,0.874,0.722,1.034
362,0.86,0.709,1.019
363,0.84,0.695,0.992
364,0.86,0.709,1.019
365,0.867,0.717,1.024
366,0.853,0.709,1.005
367,0.84,0.696,0.997
368,0.874,0.731,1.032
369,0.867,0.728,1.031
370,0.895,0.756,1.056
371,0.915,0.772,1.074
372,0.902,0.75,1.058
373,0.908,0.757,1.066
374,0.86,0.717,1.017
375,0.881,0.745,1.038
376,0.847,0.715,0.998
377,0.847,0.714,0.998
378,0.881,0.742,1.034
379,0.902,0.751,1.061
380,0.915,0.763,1.079
381,0.902,0.751,1.055
382,0.929,0.777,1.087
383,0.929,0.778,1.088
384,0.936,0.79,1.1
385,0.929,0.783,1.075
386,0.915,0.773,1.063
387,0.929,0.79,1.083
388,0.943,0.797,1.106
389,0.922,0.771,1.089
390,0.915,0.77,1.078
391,0.922,0.778,1.088
392,0.915,0.773,1.087
393,0.915,0.777,1.081
394,0.895,0.763,1.051
395,0.902,0.765,1.067
396,0.895,0.757,1.066
397,0.874,0.737,1.038
398,0.915,0.765,1.075
399,0.957,0.805,1.121
400,0.97,0.812,1.136
