haplotype,total_g4
HG02257.paternal,2050612
HG02257.maternal,2059844
HG02559.paternal,2056146
HG02559.maternal,2073648
HG02486.paternal,1989385
HG02486.maternal,2054043
HG01891.maternal,2067812
HG01891.paternal,2085681
HG01258.maternal,2053212
HG03516.paternal,2076909
HG03516.maternal,2077914
HG01123.maternal,2041573
HG01258.paternal,1965253
HG01361.maternal,2056589
HG01123.paternal,2052336
HG01361.paternal,2055954
HG01358.maternal,2046831
HG02622.maternal,2094504
HG02622.paternal,2086911
HG02717.maternal,2053802
HG02630.paternal,2088001
HG02630.maternal,2088996
HG01358.paternal,1987580
HG02717.paternal,1986147
HG02572.paternal,1983178
HG02572.maternal,2059308
HG02886.maternal,2094448
HG02886.paternal,2081386
HG01175.paternal,2069776
HG01106.paternal,1988156
HG01175.maternal,2060141
HG00741.maternal,2062285
HG00741.paternal,2059194
HG01106.maternal,2058904
HG00438.maternal,2047805
HG02148.paternal,2059819
HG02148.maternal,2036877
HG01952.maternal,2063058
HG01952.paternal,1996891
HG00673.maternal,2053946
HG00621.paternal,1991709
HG00673.paternal,1977523
HG00438.paternal,2051573
HG00621.maternal,2057904
HG01071.maternal,2046923
HG01928.maternal,2033699
HG01928.paternal,1981335
HG00735.paternal,2060306
HG01071.paternal,2048072
HG00735.maternal,2062134
HG03579.maternal,2062618
HG03579.paternal,1996791
HG01978.paternal,2083994
HG03453.maternal,2084964
HG01978.maternal,2071423
HG03540.maternal,2109428
HG03453.paternal,2076448
HG03540.paternal,2128619
HG03486.paternal,2065304
NA18906.maternal,2088158
NA18906.paternal,2086506
HG03486.maternal,2057243
HG02818.paternal,2064662
HG02818.maternal,2071811
HG01243.paternal,1995495
HG02080.paternal,2049433
HG02723.maternal,2063674
HG02723.paternal,2071866
HG02080.maternal,2046900
HG01109.maternal,2059774
HG01243.maternal,2054564
NA20129.paternal,2061091
NA20129.maternal,2059998
HG01109.paternal,1989079
NA21309.maternal,2043452
NA21309.paternal,2045264
HG02109.maternal,2049875
HG03492.paternal,1984299
HG03492.maternal,2059010
HG02055.paternal,1980701
HG02109.paternal,2051218
HG02055.maternal,2037075
HG03098.paternal,1982986
HG03098.maternal,2045647
HG00733.paternal,2064762
HG00733.maternal,2062897
HG02145.maternal,2047773
HG02145.paternal,2011139
