,average,q0025,q0975
0,0.913,0.849,0.981
1,0.915,0.849,0.982
2,0.922,0.856,0.99
3,0.918,0.852,0.985
4,0.919,0.855,0.986
5,0.908,0.844,0.974
6,0.919,0.856,0.988
7,0.913,0.852,0.98
8,0.917,0.856,0.982
9,0.926,0.865,0.99
10,0.929,0.869,0.995
11,0.932,0.872,0.997
12,0.929,0.867,0.999
13,0.921,0.859,0.987
14,0.922,0.86,0.988
15,0.929,0.865,0.994
16,0.939,0.875,1.006
17,0.951,0.886,1.019
18,0.957,0.895,1.024
19,0.967,0.903,1.033
20,0.973,0.907,1.04
21,0.974,0.911,1.041
22,0.969,0.906,1.037
23,0.977,0.912,1.044
24,0.975,0.911,1.045
25,0.985,0.919,1.056
26,0.989,0.922,1.06
27,0.999,0.93,1.073
28,0.994,0.925,1.062
29,0.985,0.919,1.055
30,0.986,0.921,1.054
31,0.979,0.916,1.047
32,0.975,0.912,1.04
33,0.983,0.918,1.05
34,0.97,0.907,1.036
35,0.97,0.907,1.037
36,0.97,0.907,1.039
37,0.977,0.913,1.045
38,0.972,0.906,1.039
39,0.973,0.912,1.04
40,0.968,0.908,1.038
41,0.963,0.9,1.034
42,0.954,0.892,1.026
43,0.947,0.884,1.018
44,0.946,0.884,1.017
45,0.948,0.885,1.015
46,0.948,0.887,1.015
47,0.951,0.888,1.017
48,0.952,0.89,1.025
49,0.943,0.881,1.016
50,0.931,0.868,1.003
51,0.937,0.872,1.006
52,0.927,0.862,0.995
53,0.919,0.854,0.988
54,0.933,0.866,1.003
55,0.942,0.877,1.011
56,0.967,0.9,1.034
57,0.977,0.908,1.045
58,0.97,0.904,1.038
59,0.993,0.926,1.063
60,0.986,0.92,1.056
61,0.978,0.915,1.045
62,0.989,0.925,1.058
63,0.989,0.921,1.058
64,0.988,0.922,1.058
65,0.998,0.932,1.069
66,0.999,0.934,1.073
67,1.001,0.934,1.076
68,1.003,0.933,1.077
69,0.999,0.928,1.074
70,0.999,0.928,1.073
71,0.999,0.927,1.072
72,0.989,0.919,1.062
73,0.974,0.903,1.048
74,0.967,0.898,1.04
75,0.974,0.906,1.049
76,0.98,0.913,1.056
77,0.982,0.916,1.055
78,0.979,0.913,1.052
79,0.983,0.92,1.057
80,0.985,0.921,1.058
81,0.973,0.91,1.042
82,0.968,0.904,1.038
83,0.964,0.898,1.031
84,0.943,0.876,1.013
85,0.943,0.878,1.01
86,0.948,0.882,1.014
87,0.952,0.889,1.02
88,0.958,0.895,1.025
89,0.948,0.883,1.018
90,0.941,0.877,1.009
91,0.938,0.875,1.003
92,0.927,0.865,0.994
93,0.913,0.854,0.98
94,0.916,0.855,0.982
95,0.927,0.868,0.993
96,0.927,0.867,0.993
97,0.921,0.862,0.989
98,0.917,0.857,0.985
99,0.91,0.848,0.979
100,0.901,0.843,0.972
101,0.901,0.844,0.972
102,0.91,0.853,0.979
103,0.921,0.864,0.99
104,0.917,0.858,0.984
105,0.907,0.847,0.976
106,0.893,0.835,0.962
107,0.903,0.842,0.969
108,0.91,0.847,0.978
109,0.924,0.865,0.991
110,0.929,0.871,0.999
111,0.924,0.863,0.993
112,0.921,0.858,0.989
113,0.916,0.856,0.983
114,0.917,0.857,0.985
115,0.91,0.85,0.976
116,0.922,0.862,0.988
117,0.918,0.856,0.984
118,0.912,0.852,0.976
119,0.91,0.846,0.976
120,0.917,0.854,0.989
121,0.911,0.848,0.982
122,0.902,0.842,0.974
123,0.896,0.832,0.965
124,0.911,0.85,0.979
125,0.902,0.844,0.97
126,0.916,0.855,0.985
127,0.916,0.854,0.981
128,0.929,0.871,0.993
129,0.939,0.876,1.006
