,average,q0025,q0975
0,1.063,0.899,1.241
1,1.043,0.885,1.213
2,1.023,0.872,1.199
3,1.063,0.905,1.234
4,1.017,0.859,1.176
5,0.997,0.845,1.15
6,1.017,0.865,1.175
7,1.01,0.864,1.167
8,1.017,0.866,1.18
9,0.997,0.845,1.167
10,0.984,0.826,1.148
11,0.997,0.839,1.156
12,1.017,0.871,1.176
13,1.017,0.872,1.181
14,0.977,0.833,1.148
15,0.938,0.795,1.102
16,0.925,0.78,1.081
17,0.925,0.787,1.08
18,0.938,0.787,1.094
19,0.899,0.749,1.055
20,0.905,0.748,1.063
21,0.879,0.728,1.036
22,0.912,0.761,1.074
23,0.918,0.761,1.081
24,0.885,0.733,1.046
25,0.853,0.707,1.006
26,0.872,0.721,1.029
27,0.866,0.715,1.024
28,0.905,0.748,1.063
29,0.866,0.714,1.016
30,0.866,0.715,1.022
31,0.833,0.682,0.984
32,0.84,0.689,0.996
33,0.833,0.689,0.99
34,0.807,0.669,0.953
35,0.781,0.643,0.924
36,0.807,0.669,0.957
37,0.781,0.643,0.925
38,0.781,0.643,0.924
39,0.781,0.649,0.925
40,0.767,0.636,0.906
41,0.735,0.604,0.878
42,0.748,0.621,0.885
43,0.781,0.655,0.918
44,0.781,0.651,0.925
45,0.774,0.636,0.919
46,0.767,0.634,0.912
47,0.794,0.669,0.938
48,0.781,0.656,0.925
49,0.794,0.663,0.932
50,0.794,0.665,0.938
51,0.8,0.675,0.944
52,0.859,0.725,1.008
53,0.866,0.734,1.011
54,0.853,0.721,0.996
55,0.866,0.727,1.009
56,0.885,0.741,1.031
57,0.879,0.735,1.028
58,0.859,0.716,1.01
59,0.892,0.748,1.038
60,0.879,0.741,1.023
61,0.931,0.793,1.083
62,0.918,0.768,1.069
63,0.925,0.78,1.073
64,0.931,0.779,1.08
65,0.918,0.766,1.068
66,0.912,0.754,1.05
67,0.879,0.734,1.028
68,0.918,0.767,1.068
69,0.951,0.8,1.097
70,0.99,0.833,1.148
71,0.997,0.84,1.152
72,0.984,0.82,1.13
73,1.01,0.847,1.154
74,0.977,0.826,1.127
75,0.984,0.827,1.129
76,1.017,0.86,1.175
77,1.023,0.865,1.183
78,1.017,0.853,1.169
79,0.997,0.838,1.155
80,0.984,0.828,1.142
81,1.01,0.847,1.179
82,1.023,0.871,1.183
83,1.049,0.898,1.222
84,1.049,0.893,1.226
85,1.036,0.884,1.206
86,1.063,0.911,1.239
87,1.089,0.934,1.26
88,1.049,0.892,1.221
89,1.01,0.854,1.176
90,0.99,0.84,1.156
91,0.964,0.816,1.135
92,0.964,0.813,1.134
93,0.977,0.821,1.141
94,0.971,0.82,1.133
95,0.938,0.787,1.101
96,0.925,0.774,1.088
97,0.899,0.748,1.056
98,0.866,0.721,1.022
99,0.859,0.715,1.005
100,0.84,0.69,0.985
101,0.794,0.655,0.932
102,0.794,0.649,0.938
103,0.8,0.656,0.953
104,0.781,0.642,0.93
105,0.781,0.642,0.937
106,0.754,0.617,0.904
107,0.787,0.643,0.938
108,0.787,0.649,0.938
109,0.774,0.635,0.918
110,0.794,0.655,0.939
111,0.761,0.628,0.904
112,0.741,0.61,0.886
113,0.735,0.603,0.878
114,0.728,0.596,0.867
115,0.748,0.61,0.885
116,0.748,0.61,0.892
117,0.82,0.668,0.963
118,0.813,0.668,0.964
119,0.826,0.676,0.979
120,0.853,0.703,1.01
121,0.846,0.707,1.005
122,0.872,0.728,1.041
123,0.899,0.748,1.057
124,0.905,0.763,1.065
125,0.925,0.773,1.088
126,0.931,0.775,1.095
127,0.938,0.781,1.101
128,0.951,0.793,1.116
129,0.938,0.781,1.101
130,0.964,0.807,1.135
131,0.958,0.8,1.113
132,0.951,0.793,1.102
133,0.977,0.82,1.135
134,0.977,0.82,1.136
135,0.977,0.822,1.137
136,0.984,0.821,1.153
137,1.01,0.851,1.183
138,1.036,0.866,1.213
139,1.036,0.872,1.207
140,1.023,0.855,1.185
141,1.03,0.867,1.2
142,0.99,0.833,1.155
143,0.951,0.8,1.114
144,0.944,0.8,1.102
145,0.971,0.813,1.135
146,0.984,0.826,1.152
147,0.984,0.827,1.147
148,0.958,0.801,1.114
149,0.958,0.802,1.114
150,0.931,0.779,1.082
151,0.931,0.787,1.084
152,0.931,0.78,1.083
153,0.938,0.793,1.089
154,0.912,0.767,1.068
155,0.918,0.766,1.081
156,0.918,0.767,1.076
157,0.918,0.768,1.07
158,0.892,0.747,1.049
159,0.84,0.695,0.984
160,0.84,0.695,0.99
